step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,virtual_hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,virtual_hand_action_x,virtual_hand_action_y,virtual_hand_action_norm,virtual_hand_command_dx_cm,virtual_hand_command_dy_cm,virtual_hand_command_norm_cm,virtual_hand_delayed_dx_cm,virtual_hand_delayed_dy_cm,virtual_hand_delayed_norm_cm,virtual_hand_smoothed_dx_cm,virtual_hand_smoothed_dy_cm,virtual_hand_smoothed_norm_cm,virtual_hand_exec_dx_cm,virtual_hand_exec_dy_cm,virtual_hand_exec_norm_cm,virtual_hand_actual_dx_cm,virtual_hand_actual_dy_cm,virtual_hand_actual_norm_cm,virtual_hand_accel_clipped,virtual_hand_workspace_clipped,virtual_hand_policy_inference_ms,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1787576605.1672165,2.998858690261841e-07,,,False,,,,,False,False,False,,3.0116748809814453,4.666248798370361,7.499267101287842,5.000190258026123,,,4.5,True,0.202364325,0.803824171214,3,1.0,1.0,1.4142135381698608,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,2.6176003739237785,1.0214997455477715,0.0,0.0,0.0,0.0,0.0,767.9249267578125,524.0198974609375,767.9249267578125,524.0198974609375,False,False,-0.22711084650812213,-0.5227304906185334,0.11295034535591986,False,,False,caught
1,1787576605.2255962,0.05913299974054098,0.059132699854671955,16.911116902452612,False,,,,,False,False,False,,3.0116748809814453,4.666248798370361,7.4986572265625,5.000193119049072,,,4.499392032623291,True,0.202364325,0.803824171214,3,1.0,1.0,1.4142135381698608,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1.520100049674511,1.1159991845488548,0.0,0.0,0.0,0.0,0.0,767.8624877929688,524.0202026367188,767.8624877929688,524.0202026367188,False,False,-0.22713411517652451,-0.5227130031589962,0.11295647247954005,False,,False,caught
2,1787576605.2864633,0.1204754002392292,0.06134240049868822,16.301937841858415,False,,,,,False,False,False,,3.0116748809814453,4.666248798370361,7.495728015899658,5.000488758087158,,,4.496493339538574,True,0.202364325,0.803824171214,3,1.0,0.5413578748703003,1.137131690979004,0.20236432552337646,0.10955151915550232,0.2301148772239685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1.7865002155303955,0.9285006672143936,0.0,0.0,0.0,0.0,0.0,767.5625610351562,524.0512084960938,767.5625610351562,524.0512084960938,False,False,-0.22725411515529,-0.5226410383282999,0.1129668273928213,False,,False,caught
3,1787576605.34818,0.18173160031437874,0.061256200075149536,16.324878114757247,False,,,,,False,False,False,,3.0116748809814453,4.666248798370361,7.494255065917969,5.000589370727539,,,4.495031356811523,True,0.202364325,0.803824171214,3,1.0,1.0,1.4142135381698608,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.16266533732414246,0.16266533732414246,0.23004353046417236,0.16266533732414246,0.16266533732414246,0.23004353046417236,0.16266536712646484,0.16266536712646484,0.23004357516765594,False,False,1.8857000395655632,0.9195003658533096,0.0,0.0,0.0,0.0,0.0,767.4117431640625,524.061767578125,767.4117431640625,524.061767578125,False,False,-0.22731305435281243,-0.5226028836103067,0.11296341424778575,False,,False,caught
4,1787576605.4096322,0.24366649985313416,0.06193489953875542,16.14598566312771,False,,,,,False,False,False,,3.17434024810791,4.828914165496826,7.493698596954346,5.000718593597412,,,4.3227739334106445,True,0.202364325,0.803824171214,3,1.0,0.13103264570236206,1.0085482597351074,0.20236432552337646,0.02651633322238922,0.20409418642520905,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.19457635283470154,0.19457635283470154,0.27517253160476685,0.19457635283470154,0.19457635283470154,0.27517253160476685,0.19457626342773438,0.19457626342773438,0.2751723825931549,False,False,1.6117999330163002,0.8779000490903854,0.5,0.0,0.5,0.0,0.0,798.0747680664062,524.0753173828125,798.0747680664062,524.0753173828125,False,False,-0.22733799705246274,-0.5225922228976723,0.11296993992795953,False,,False,caught
5,1787576605.470398,0.3044052002951503,0.060738700442016125,16.463967663493964,False,,,,,False,False,False,,3.3689165115356445,5.0234904289245605,7.49265193939209,5.000324726104736,,,4.123800277709961,True,0.202364325,0.803824171214,3,1.0,0.6234087347984314,1.1784050464630127,0.20236432552337646,0.12615568935871124,0.23846714198589325,0.20236432552337646,0.10955151915550232,0.2301148772239685,0.20083649456501007,0.1262313276529312,0.23721224069595337,0.20083649456501007,0.1262313276529312,0.23721224069595337,0.2008364200592041,0.12623119354248047,0.23721210658550262,False,False,1.6149003058671951,0.934000127017498,1.0,0.0,1.0,0.5,0.0,828.6876220703125,524.0340576171875,828.6876220703125,524.0340576171875,False,False,-0.22736617701593045,-0.5225455000832456,0.11296023240062379,False,,False,caught
6,1787576605.5321205,0.36563329957425594,0.06122809927910566,16.332370460195783,False,,,,,False,False,False,,3.5697529315948486,5.149721622467041,7.568096160888672,5.000848293304443,,,4.0011138916015625,True,0.202364325,0.803824171214,3,1.0,-0.4599590301513672,1.1007099151611328,0.20236432552337646,-0.09307929873466492,0.222744420170784,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.20206458866596222,0.18742884695529938,0.2756078243255615,0.20206458866596222,0.18742884695529938,0.2756078243255615,0.20206451416015625,0.18742895126342773,0.2756078541278839,False,False,1.8338998779654503,0.9166998788714409,1.0,-1.0,1.4142135381698608,1.0,0.0,836.4130859375,461.2088928222656,836.4130859375,461.2088928222656,False,False,-0.22451385788291459,-0.5247420932104838,0.11302639270230769,False,,False,caught
7,1787576605.5928476,0.42688370030373335,0.061250400729477406,16.326423796256723,False,,,,,False,False,False,,3.771817445755005,5.337150573730469,7.775080680847168,5.002768039703369,,,4.017204284667969,True,0.202364325,0.803824171214,3,1.0,0.6552163362503052,1.1955368518829346,0.20236432552337646,0.13259240984916687,0.24193401634693146,0.20236432552337646,0.02651633322238922,0.20409418642520905,0.20230551064014435,0.05808349698781967,0.2104785293340683,0.20230551064014435,0.05808350443840027,0.2104785293340683,0.20230555534362793,0.058083534240722656,0.21047858893871307,False,False,1.5282994136214256,0.9363004937767982,1.0,-1.0,1.4142135381698608,1.0,-1.0,857.6083374023438,461.41009521484375,857.6083374023438,461.41009521484375,False,False,-0.2166932458256777,-0.5307959880240329,0.11312452796219526,False,,False,caught
8,1787576605.653658,0.4876672998070717,0.06078359950333834,16.451806213698784,False,,,,,False,False,False,,3.974123001098633,5.395234107971191,7.951072692871094,4.845977306365967,,,4.014699459075928,True,0.202364325,0.803824171214,3,1.0,-0.41591930389404297,1.0830460786819458,0.20236432552337646,-0.0841672271490097,0.21916989982128143,0.20236432552337646,0.12615568935871124,0.23846714198589325,0.20235279202461243,0.11280157417058945,0.23166969418525696,0.20235279202461243,0.11280157417058945,0.23166969418525696,0.20235300064086914,0.11280155181884766,0.23166987299919128,False,False,1.588200218975544,0.9286999702453613,1.0,-1.0,1.4142135381698608,1.0,-1.0,875.6298828125,444.9784240722656,875.6298828125,444.9784240722656,False,False,-0.20533115878719835,-0.5292791213240268,0.112836399189309,False,,False,caught
9,1787576605.7145152,0.5485523995012045,0.060885099694132805,16.424379774750783,False,,,,,False,False,False,,4.176476001739502,5.508035659790039,8.129822731018066,4.6067352294921875,,,4.054786205291748,True,0.202364325,0.803824171214,3,1.0,-0.386400043964386,1.0720564126968384,0.20236432552337646,-0.07819358259439468,0.21694597601890564,0.20236432552337646,-0.09307929873466492,0.222744420170784,0.20236210525035858,-0.052690453827381134,0.20910930633544922,0.20236210525035858,-0.05269044637680054,0.20910930633544922,0.202362060546875,-0.05269050598144531,0.20910927653312683,False,False,1.5891995280981064,0.9442996233701706,1.0,-0.5,1.1180340051651,1.0,-1.0,893.933837890625,451.3458557128906,893.933837890625,451.3458557128906,False,False,-0.1913487364492918,-0.5243470058255473,0.11292618050837964,False,,False,caught
