step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,virtual_hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,virtual_hand_action_x,virtual_hand_action_y,virtual_hand_action_norm,virtual_hand_command_dx_cm,virtual_hand_command_dy_cm,virtual_hand_command_norm_cm,virtual_hand_delayed_dx_cm,virtual_hand_delayed_dy_cm,virtual_hand_delayed_norm_cm,virtual_hand_smoothed_dx_cm,virtual_hand_smoothed_dy_cm,virtual_hand_smoothed_norm_cm,virtual_hand_exec_dx_cm,virtual_hand_exec_dy_cm,virtual_hand_exec_norm_cm,virtual_hand_actual_dx_cm,virtual_hand_actual_dy_cm,virtual_hand_actual_norm_cm,virtual_hand_accel_clipped,virtual_hand_workspace_clipped,virtual_hand_policy_inference_ms,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1787576679.1309173,2.0023435354232788e-07,,,False,,,,,False,False,False,,7.172346115112305,9.48781967163086,7.5001983642578125,5.000068187713623,,,4.499711036682129,True,0.152322427,0.558178210011,0,-1.0,-1.0,1.4142135381698608,-0.1523224264383316,-0.1523224264383316,0.21541644632816315,-0.1523224264383316,-0.1523224264383316,0.21541644632816315,-0.08502305299043655,-0.08502305299043655,0.12024075537919998,-0.08502305299043655,-0.08502305299043655,0.12024075537919998,-0.0850229263305664,-0.0850229263305664,0.12024057656526566,False,False,1.1690007522702217,2.5265002623200417,0.4846884608268738,-0.5873721241950989,0.7615306377410889,0.0,0.0,797.799560546875,487.07318115234375,797.799560546875,487.07318115234375,False,False,-0.22707188478583293,-0.5227521454007741,0.11296474820778545,False,,False,caught
1,1787576679.1845686,0.058453699573874474,0.05845349933952093,17.107615648322547,False,,,,,False,False,False,,7.087323188781738,9.402796745300293,7.537970066070557,4.95051383972168,,,4.47503137588501,True,0.152322427,0.558178210011,0,-1.0,-1.0,1.4142135381698608,-0.1523224264383316,-0.1523224264383316,0.21541644632816315,-0.1523224264383316,-0.1523224264383316,0.21541644632816315,-0.12258803844451904,-0.12258803844451904,0.17336566746234894,-0.12258803844451904,-0.12258803844451904,0.17336566746234894,-0.1225881576538086,-0.1225881576538086,0.17336583137512207,False,False,1.155700534582138,1.7381003126502037,1.0,-1.0,1.4142135381698608,0.4846884608268738,-0.5873721241950989,833.328125,455.933837890625,833.328125,455.933837890625,False,False,-0.2241763096059212,-0.5217538836896054,0.11296633371957197,False,,False,caught
2,1787576679.2454917,0.11980049964040518,0.061346800066530704,16.300768726575768,False,,,,,False,False,False,,6.96473503112793,9.280208587646484,7.668433666229248,4.790461540222168,,,4.544559478759766,True,0.152322427,0.558178210011,0,0.060642242431640625,-1.0,1.0018370151519775,0.009237173944711685,-0.1523224264383316,0.15260225534439087,0.009237173944711685,-0.1523224264383316,0.15260225534439087,-0.049006130546331406,-0.13918517529964447,0.14756055176258087,-0.049006134271621704,-0.13918517529964447,0.14756055176258087,-0.049005985260009766,-0.13918495178222656,0.14756028354167938,False,False,1.1658994480967522,1.6791997477412224,0.7446711659431458,-1.0,1.246809959411621,1.0,-1.0,831.0001831054688,439.160400390625,831.0001831054688,439.160400390625,False,False,-0.21447734817106034,-0.5187660516023584,0.11300419530773306,False,,False,caught
3,1787576679.3074334,0.18175659980624914,0.061956100165843964,16.140460702387692,False,,,,,False,False,False,,6.91572904586792,9.141023635864258,7.823770999908447,4.638613700866699,,,4.593063831329346,True,0.152322427,0.558178210011,0,-0.13392549753189087,-1.0,1.0089281797409058,-0.020399857312440872,-0.1523224264383316,0.1536823809146881,-0.020399857312440872,-0.1523224264383316,0.1536823809146881,-0.0330386683344841,-0.14651799201965332,0.15019679069519043,-0.0330386683344841,-0.14651799201965332,0.15019679069519043,-0.03303861618041992,-0.14651775360107422,0.15019653737545013,False,False,1.20449997484684,1.693999394774437,0.35368120670318604,-1.0,1.0607028007507324,0.7446711659431458,-1.0,822.8842163085938,423.2467346191406,822.8842163085938,423.2467346191406,False,False,-0.20403234846834206,-0.5168331551196237,0.1129504207538576,False,,False,caught
4,1787576679.369243,0.24363890010863543,0.061882300302386284,16.159709563373138,False,,,,,False,False,False,,6.8826904296875,8.994505882263184,7.991607666015625,4.430387496948242,,,4.696900367736816,True,0.152322427,0.558178210011,0,-0.8641032576560974,-1.0,1.3216180801391602,-0.1316222995519638,-0.1523224264383316,0.20131206512451172,-0.1316222995519638,-0.1523224264383316,0.20131206512451172,-0.08806587755680084,-0.14975778758525848,0.17373253405094147,-0.08806587755680084,-0.14975778758525848,0.17373253405094147,-0.08806610107421875,-0.14975738525390625,0.17373229563236237,False,False,1.199900172650814,1.6826000064611435,0.056154631078243256,-1.0,1.0015754699707031,0.35368120670318604,-1.0,821.790771484375,401.42462158203125,821.790771484375,401.42462158203125,False,False,-0.1913772020333699,-0.5128605461008058,0.11290232030102407,False,,False,caught
5,1787576679.430469,0.30454539973288774,0.06090649962425232,16.418608952562604,False,,,,,False,False,False,,6.794624328613281,8.844748497009277,8.036444664001465,4.247772693634033,,,4.761754512786865,True,0.152322427,0.558178210011,0,1.0,-1.0,1.4142135381698608,0.1523224264383316,-0.1523224264383316,0.21541644632816315,0.1523224264383316,-0.1523224264383316,0.21541644632816315,0.04611353203654289,-0.15118911862373352,0.15806519985198975,0.04611353576183319,-0.15118911862373352,0.15806519985198975,0.04611349105834961,-0.15118885040283203,0.15806493163108826,False,False,1.3829004019498825,2.0357994362711906,-0.26753440499305725,-1.0,1.0351688861846924,0.056154631078243256,-1.0,806.4946899414062,382.2865905761719,806.4946899414062,382.2865905761719,False,False,-0.18417055151895229,-0.5063897077925347,0.11282651230145144,False,,False,caught
6,1787576679.4916925,0.36604239977896214,0.06149700004607439,16.26095580680011,False,,,,,False,False,False,,6.840737819671631,8.693559646606445,8.029145240783691,4.08400297164917,,,4.760286331176758,True,0.152322427,0.558178210011,0,-1.0,-1.0,1.4142135381698608,-0.1523224264383316,-0.1523224264383316,0.21541644632816315,-0.1523224264383316,-0.1523224264383316,0.21541644632816315,-0.06464910507202148,-0.1518215835094452,0.16501303017139435,-0.06464910507202148,-0.1518215835094452,0.16501303017139435,-0.06464910507202148,-0.15182113647460938,0.16501261293888092,False,False,1.1725006625056267,1.7760004848241806,-0.3043755292892456,-1.0,1.045296311378479,-0.26753440499305725,-1.0,803.483642578125,365.1235046386719,803.483642578125,365.1235046386719,False,False,-0.17951977158490293,-0.4991881020058475,0.11284633343846175,False,,False,caught
7,1787576679.5524545,0.4268370997160673,0.06079469993710518,16.448802297478966,False,,,,,False,False,False,,6.776088714599609,8.541738510131836,7.980937480926514,3.8895070552825928,,,4.8057169914245605,True,0.152322427,0.558178210011,0,-0.44233953952789307,-1.0,1.0934643745422363,-0.06737823039293289,-0.1523224264383316,0.1665591448545456,-0.06737823039293289,-0.1523224264383316,0.1665591448545456,-0.06617244333028793,-0.15210093557834625,0.16587190330028534,-0.06617244333028793,-0.15210093557834625,0.16587190330028534,-0.06617259979248047,-0.1521005630493164,0.16587162017822266,False,False,1.1712992563843727,1.6842000186443329,-0.38070836663246155,-1.0,1.0700181722640991,-0.3043755292892456,-1.0,793.8572998046875,344.7403259277344,793.8572998046875,344.7403259277344,False,False,-0.17550889533627342,-0.4894612326216649,0.11285131907963689,False,,False,caught
8,1787576679.6133175,0.48767019994556904,0.060833100229501724,16.438419153838197,False,,,,,False,False,False,,6.709916114807129,8.38963794708252,7.913802146911621,3.7043778896331787,,,4.83745813369751,True,0.152322427,0.558178210011,0,0.23390954732894897,-1.0,1.0269925594329834,0.035629671066999435,-0.1523224264383316,0.15643399953842163,0.035629671066999435,-0.1523224264383316,0.15643399953842163,-0.009348791092634201,-0.15222439169883728,0.15251119434833527,-0.009348791092634201,-0.15222439169883728,0.15251119434833527,-0.009348869323730469,-0.15222454071044922,0.1525113582611084,False,False,1.1184997856616974,1.5660999342799187,-0.42181476950645447,-0.9821279644966125,1.0688793659210205,-0.38070836663246155,-1.0,784.45703125,326.46258544921875,784.45703125,326.46258544921875,False,False,-0.17250327430588608,-0.4795588944665095,0.11285068010245895,False,,False,caught
9,1787576679.674084,0.548437099903822,0.06076689995825291,16.45632738689984,False,,,,,False,False,False,,6.700567245483398,8.23741340637207,7.849489688873291,3.5362651348114014,,,4.839505672454834,True,0.152322427,0.558178210011,0,-0.5299946069717407,-1.0,1.1317659616470337,-0.08073006570339203,-0.1523224264383316,0.172393336892128,-0.08073006570339203,-0.1523224264383316,0.172393336892128,-0.04919229820370674,-0.15227916836738586,0.16002757847309113,-0.04919229820370674,-0.15227916836738586,0.16002757847309113,-0.04919242858886719,-0.15227890014648438,0.1600273698568344,False,False,1.19050033390522,1.7095999792218208,-0.43011578917503357,-0.8780950307846069,0.9777783155441284,-0.42181476950645447,-0.9821279644966125,777.3614501953125,315.3859558105469,777.3614501953125,315.3859558105469,False,False,-0.16989676875217222,-0.4704463697488587,0.11279990150190235,False,,False,caught
