step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,policy_dt_s,policy_loop_hz_inst,policy_deadline_overrun_s,policy_deadline_overrun,servo_dt_s,servo_loop_hz_inst,servo_target_age_s,servo_interpolation_phase,servo_command_sequence,servo_policy_step,servo_commanded_world_x,servo_commanded_world_y,servo_commanded_world_z,servo_target_world_x,servo_target_world_y,servo_target_world_z,servo_tracking_error_cm,servo_target_error_cm,servo_deadline_overrun_s,servo_deadline_overrun_count,servo_watchdog_stopped,servo_stop_reason,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,virtual_hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,virtual_hand_action_x,virtual_hand_action_y,virtual_hand_action_norm,virtual_hand_command_dx_cm,virtual_hand_command_dy_cm,virtual_hand_command_norm_cm,virtual_hand_delayed_dx_cm,virtual_hand_delayed_dy_cm,virtual_hand_delayed_norm_cm,virtual_hand_smoothed_dx_cm,virtual_hand_smoothed_dy_cm,virtual_hand_smoothed_norm_cm,virtual_hand_exec_dx_cm,virtual_hand_exec_dy_cm,virtual_hand_exec_norm_cm,virtual_hand_actual_dx_cm,virtual_hand_actual_dy_cm,virtual_hand_actual_norm_cm,virtual_hand_accel_clipped,virtual_hand_workspace_clipped,virtual_hand_policy_inference_ms,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1787662449.786303,4.0046870708465576e-07,,,,,4.0046870708465576e-07,False,,,,0.0,0,-1,-0.22707814850973776,-0.5227415862724204,0.113,-0.22707814850973776,-0.5227415862724204,0.113,0.000352514292509265,0.000352514292509265,0.0,0,False,,False,,,,,False,False,False,,5.915765285491943,0.788053035736084,7.499963283538818,4.999978542327881,,,4.5,True,0.238548674,0.735872641092,2,1.0,1.0,1.4142135381698608,0.23854868113994598,0.23854868113994598,0.3373587727546692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1.4535002410411835,2.5638993829488754,0.7581059336662292,0.11757217347621918,0.7671687006950378,0.0,0.0,814.5742797851562,531.3906860351562,814.5742797851562,531.3906860351562,False,False,-0.22707814850973776,-0.5227415862724204,0.1130035251429251,False,,False,caught
1,1787662449.8444974,0.05773149989545345,0.05773109942674637,17.321686403510753,0.05773109942674637,17.321686403510753,0.007731500081717968,True,0.00817989930510521,122.2508936480286,0.04719979967921972,0.9439959935843945,1,0,-0.22050785971441608,-0.5295955168745174,0.113,-0.21195171431249532,-0.5385210342502488,0.113,0.8480667689197409,2.0844630846180987,0.003959697671234608,4,False,,True,1,0.029916299507021904,,,False,False,False,,5.915765285491943,0.788053035736084,7.520528793334961,5.004515171051025,,,4.511520862579346,True,0.238548674,0.735872641092,2,1.0,1.0,1.4142135381698608,0.23854868113994598,0.23854868113994598,0.3373587727546692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1.64830032736063,1.6691004857420921,-0.8717303276062012,-0.29017600417137146,0.9187577962875366,0.7581059336662292,0.11757217347621918,716.5430297851562,506.2268981933594,716.5430297851562,506.2268981933594,False,False,-0.22643013255823372,-0.5235252373371538,0.11298926891236871,False,,False,caught
2,1787662449.8917916,0.10357220005244017,0.04584070015698671,21.81467553015957,0.04584070015698671,21.81467553015957,0.0035722004249691963,True,0.008065099827945232,123.99102569506232,0.03773690015077591,0.7547380030155182,2,1,-0.22413380730445306,-0.5243009506707859,0.113,-0.2413106170872603,-0.5008952072584392,0.113,0.1637630174666615,3.0364499189509573,0.004521195776760578,10,False,,True,3,0.013480599969625473,0.03403550013899803,29.38108727405464,False,False,False,,5.915765285491943,0.788053035736084,7.588927745819092,5.014967441558838,,,4.546018123626709,True,0.238548674,0.735872641092,2,1.0,1.0,1.4142135381698608,0.23854868113994598,0.23854868113994598,0.3373587727546692,0.23854868113994598,0.23854868113994598,0.3373587727546692,0.1755414456129074,0.1755414456129074,0.24825309216976166,0.1755414456129074,0.1755414456129074,0.24825309216976166,0.17554140090942383,0.1755414605140686,0.24825306236743927,False,False,1.7402004450559616,2.1764999255537987,-0.7035296559333801,-0.07577964663505554,0.7075991630554199,-0.8717303276062012,-0.29017600417137146,733.8814086914062,520.8035888671875,733.8814086914062,520.8035888671875,False,False,-0.22413775213875894,-0.5259369781497932,0.11307232644878387,False,,False,caught
3,1787662449.9508698,0.1650881003588438,0.06151590030640364,16.25595976030774,0.06151590030640364,16.25595976030774,0.015088100917637348,True,0.008039100095629692,124.3920324544325,0.047200500033795834,0.9440100006759167,3,2,-0.23241109891693826,-0.5168125301102414,0.113,-0.2389295531523484,-0.5113007928057639,0.113,1.0767942194151174,1.9287722640986917,0.0050573935732245445,17,False,,True,5,0.016945100389420986,0.03026619926095009,33.04015781361141,False,False,False,,6.091306686401367,0.9635944962501526,7.559445858001709,4.999200344085693,,,4.2943620681762695,True,0.238548674,0.735872641092,2,0.5496891736984253,1.0,1.1411213874816895,0.13112762570381165,0.23854868113994598,0.27221301198005676,0.23854868113994598,0.23854868113994598,0.3373587727546692,0.22190673649311066,0.22190675139427185,0.31382352113723755,0.22190673649311066,0.22190675139427185,0.31382352113723755,0.2219066619873047,0.22190672159194946,0.3138234615325928,False,False,1.1897999793291092,1.6719000414013863,-0.5434178709983826,1.0,1.1381137371063232,-0.7035296559333801,-0.07577964663505554,740.6996459960938,586.7962036132812,740.6996459960938,586.7962036132812,False,False,-0.22479420267586425,-0.5244233239566373,0.1129146315224631,False,,False,caught
4,1787662449.9879937,0.20075219962745905,0.035664099268615246,28.039401541258318,0.035664099268615246,28.039401541258318,0.0007522003725171089,False,0.008075599558651447,123.829815079017,0.02746440004557371,0.5492880009114742,4,3,-0.23786718976442833,-0.5205784649130645,0.113,-0.25470438251442845,-0.5396611297948085,0.113,1.0154691633089397,3.23610587697078,0.005358991213142872,22,False,,False,,,,,False,False,False,,6.313213348388672,1.185501217842102,7.475585460662842,4.992236137390137,,,3.980243682861328,True,0.238548674,0.735872641092,2,1.0,1.0,1.4142135381698608,0.23854868113994598,0.23854868113994598,0.3373587727546692,0.23854868113994598,0.23854868113994598,0.3373587727546692,0.23415306210517883,0.23415309190750122,0.33114245533943176,0.23415306210517883,0.23415309190750122,0.33114245533943176,0.23415327072143555,0.234153151512146,0.3311426639556885,False,False,1.7046993598341942,2.5216005742549896,-0.4105095863342285,1.0,1.0809801816940308,-0.5434178709983826,1.0,740.2782592773438,586.0663452148438,740.2782592773438,586.0663452148438,False,False,-0.2277766818965483,-0.5217132762263279,0.11289222052757562,False,,False,caught
5,1787662450.044391,0.25756779965013266,0.05681560002267361,17.600799773318005,0.05681560002267361,17.600799773318005,0.007567800581455231,True,0.008094800636172295,123.53608753888469,0.0481907008215785,0.96381401643157,5,4,-0.24527724007046567,-0.5289767477412382,0.113,-0.25470438251442845,-0.5396611297948085,0.113,1.3567884775352517,2.7481136044782737,0.005936888977885246,29,False,,True,6,0.04940059967339039,0.027788800187408924,35.98572062327106,False,False,False,,6.547366619110107,1.419654369354248,7.378910064697266,5.06611442565918,,,3.7400715351104736,True,0.238548674,0.735872641092,2,0.17582207918167114,1.0,1.0153390169143677,0.04194212332367897,0.23854868113994598,0.24220779538154602,0.13112762570381165,0.23854868113994598,0.27221301198005676,0.1583395153284073,0.23738770186901093,0.2853494882583618,0.1583395153284073,0.23738770186901093,0.2853494882583618,0.1583395004272461,0.23738765716552734,0.28534942865371704,False,False,1.8248995766043663,2.346300520002842,-0.3161366581916809,1.0,1.048781394958496,-0.4105095863342285,1.0,736.1769409179688,593.8087768554688,736.1769409179688,593.8087768554688,False,False,-0.23361769608354496,-0.5220383051727723,0.11297663296329269,False,,False,caught
6,1787662450.0890968,0.30336569994688034,0.045797900296747684,21.835062164869914,0.045797900296747684,21.835062164869914,0.00336570106446743,True,0.008078199811279774,123.78995609933754,0.030491400510072708,0.6098280102014542,6,5,-0.2509834677703392,-0.534576429474151,0.113,-0.2581096071953182,-0.5413227420717264,0.113,1.4742065224700855,2.4528294825161896,0.006231486797332764,34,False,,True,7,0.03197070024907589,0.06000520009547472,16.6652223208804,False,False,False,,6.7057061195373535,1.6570420265197754,7.321521759033203,5.187954425811768,,,3.5842113494873047,True,0.238548674,0.735872641092,2,1.0,1.0,1.4142135381698608,0.23854868113994598,0.23854868113994598,0.3373587727546692,0.23854868113994598,0.23854868113994598,0.3373587727546692,0.21736323833465576,0.2382420301437378,0.32249966263771057,0.21736323833465576,0.2382420301437378,0.32249966263771057,0.2173633575439453,0.2382420301437378,0.32249975204467773,False,False,1.1334000155329704,1.6155000776052475,-0.25764602422714233,1.0,1.032657504081726,-0.3161366581916809,1.0,733.8939819335938,606.57763671875,733.8939819335938,606.57763671875,False,False,-0.23936197204462992,-0.5255061882374891,0.11299306491431882,False,,False,caught
7,1787662450.1502335,0.36447439994663,0.06110869999974966,16.364282009011756,0.06110869999974966,16.364282009011756,0.014474401250481606,True,0.008079100400209427,123.77615705506989,0.05082180071622133,1.0,7,6,-0.2596583669464993,-0.5427054097059275,0.113,-0.26279705999110237,-0.5456419073852702,0.113,1.7627361406490232,2.192119848906424,0.006773483939468861,42,False,,True,8,0.01368040032684803,0.06290780007839203,15.896279932756485,False,False,False,,6.923069477081299,1.8952840566635132,7.273280143737793,5.3597493171691895,,,3.482120990753174,False,0.238548674,0.735872641092,2,1.0,1.0,1.4142135381698608,0.23854868113994598,0.23854868113994598,0.3373587727546692,0.04194212332367897,0.23854868113994598,0.24220779538154602,0.08827567100524902,0.23846769332885742,0.2542821764945984,0.08827567100524902,0.23846769332885742,0.2542821764945984,0.08827543258666992,0.23846781253814697,0.25428223609924316,False,False,1.1417996138334274,1.6574999317526817,-0.26194337010383606,1.0,1.0337380170822144,-0.25764602422714233,1.0,728.6901245117188,624.5817260742188,728.6901245117188,624.5817260742188,False,False,-0.2462021003344482,-0.5313193153084791,0.11290195208919172,False,,False,caught
8,1787662450.1961207,0.4103198004886508,0.0458454005420208,21.812438939941728,0.0458454005420208,21.812438939941728,0.010319801978766918,True,0.008060700260102749,124.05870057587939,0.038061399944126606,0.7612279988825321,8,7,-0.2666842732938715,-0.5488651993949774,0.113,-0.26957819326986254,-0.5513683990869191,0.113,1.847759252831151,2.2303666134316935,0.007113381288945675,48,False,,False,,,,,False,False,False,,7.011344909667969,2.13375186920166,7.23106050491333,5.523551940917969,,,3.3969132900238037,False,0.238548674,0.735872641092,2,-0.8022786378860474,1.0,1.282049536705017,-0.1913825124502182,0.23854868113994598,0.3058312237262726,0.23854868113994598,0.23854868113994598,0.3373587727546692,0.1988573968410492,0.2385273277759552,0.3105471730232239,0.1988573968410492,0.2385273277759552,0.3105471730232239,0.19885730743408203,0.2385272979736328,0.3105470836162567,False,False,1.5003001317381859,2.1365005522966385,-0.22305017709732056,1.0,1.024573802947998,-0.26194337010383606,1.0,726.7564086914062,641.7482299804688,726.7564086914062,641.7482299804688,False,False,-0.252559955744723,-0.5369520414775049,0.11295819274594623,False,,False,caught
9,1787662450.2428641,0.45624990016222,0.0459300996735692,21.772214889737263,0.0459300996735692,21.772214889737263,0.0062499018386006355,True,0.008089300245046616,123.62008699236226,0.04086670000106096,0.8173340000212193,9,8,-0.2723021792035266,-0.5547345912851628,0.113,-0.27496828521188843,-0.5575200457294887,0.113,1.81405864383083,2.1991191497371276,0.007512679323554039,54,False,,True,9,0.04077930003404617,0.07940699998289347,12.593348196197168,False,False,False,,7.210202217102051,2.372279167175293,7.183738708496094,5.685779571533203,,,3.313606023788452,False,0.238548674,0.735872641092,2,0.5818742513656616,1.0,1.1569691896438599,0.1388053297996521,0.23854868113994598,0.2759934663772583,0.23854868113994598,0.23854868113994598,0.3373587727546692,0.2280651032924652,0.23854303359985352,0.33002495765686035,0.2280651032924652,0.23854303359985352,0.33002495765686035,0.22806501388549805,0.23854303359985352,0.3300248980522156,False,False,1.588599756360054,2.1625999361276627,-0.23637619614601135,1.0,1.027557134628296,-0.22305017709732056,1.0,721.0919189453125,658.7496948242188,721.0919189453125,658.7496948242188,False,False,-0.25904359275294647,-0.5423547163274123,0.1128283675768113,False,,False,caught
