step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,policy_dt_s,policy_loop_hz_inst,policy_deadline_overrun_s,policy_deadline_overrun,servo_dt_s,servo_loop_hz_inst,servo_target_age_s,servo_interpolation_phase,servo_command_sequence,servo_policy_step,servo_commanded_world_x,servo_commanded_world_y,servo_commanded_world_z,servo_target_world_x,servo_target_world_y,servo_target_world_z,servo_tracking_error_cm,servo_target_error_cm,servo_deadline_overrun_s,servo_deadline_overrun_count,servo_watchdog_stopped,servo_stop_reason,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,virtual_hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,virtual_hand_action_x,virtual_hand_action_y,virtual_hand_action_norm,virtual_hand_command_dx_cm,virtual_hand_command_dy_cm,virtual_hand_command_norm_cm,virtual_hand_delayed_dx_cm,virtual_hand_delayed_dy_cm,virtual_hand_delayed_norm_cm,virtual_hand_smoothed_dx_cm,virtual_hand_smoothed_dy_cm,virtual_hand_smoothed_norm_cm,virtual_hand_exec_dx_cm,virtual_hand_exec_dy_cm,virtual_hand_exec_norm_cm,virtual_hand_actual_dx_cm,virtual_hand_actual_dy_cm,virtual_hand_actual_norm_cm,virtual_hand_accel_clipped,virtual_hand_workspace_clipped,virtual_hand_policy_inference_ms,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1787662786.9124439,2.998858690261841e-07,,,,,2.998858690261841e-07,False,,,0.0002138996496796608,0.004277992993593216,0,-1,-0.2271190028534093,-0.5227329537463156,0.113,-0.2271190028534093,-0.5227329537463156,0.113,0.0060941916039340726,0.0060941916039340726,1.5003606677055359e-06,0,False,,False,,,,,False,False,False,,5.3246073722839355,8.940037727355957,7.498672962188721,4.999856472015381,,,4.500176429748535,True,0.166053767,0.820383631853,1,1.0,-1.0,1.4142135381698608,0.16605377197265625,-0.16605377197265625,0.23483550548553467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,3.4987004473805428,0.9726006537675858,0.0,0.0,0.0,0.0,0.0,767.8641357421875,523.9849853515625,767.8641357421875,523.9849853515625,False,False,-0.22712361593727826,-0.5226993137044812,0.11294939383265702,False,,False,caught
1,1787662786.9721012,0.058099400252103806,0.05809910036623478,17.211970472802122,0.05809910036623478,17.211970472802122,0.00809940043836832,True,0.00804240070283413,124.34098187219166,0.04652500059455633,0.9305000118911266,1,0,-0.22716430248003447,-0.5221072005348312,0.113,-0.22716768595501732,-0.5220604623938301,0.113,0.05645506915743378,0.06113004042226619,0.003679698333144188,4,False,,True,2,0.0032502999529242516,0.027920099906623363,35.81649074840074,False,False,False,,5.3246073722839355,8.940037727355957,7.498044013977051,4.999591827392578,,,4.5001044273376465,True,0.166053767,0.820383631853,1,1.0,-1.0,1.4142135381698608,0.16605377197265625,-0.16605377197265625,0.23483550548553467,0.16605377197265625,-0.16605377197265625,0.23483550548553467,0.1362277865409851,-0.1362277865409851,0.19265519082546234,0.1362277865409851,-0.1362277865409851,0.19265519082546234,0.13622760772705078,-0.13622760772705078,0.19265493750572205,False,False,2.0444002002477646,2.1417997777462006,0.0,0.0,0.0,0.0,0.0,767.7997436523438,523.9572143554688,767.7997436523438,523.9572143554688,False,False,-0.22713972800683935,-0.5226700011058547,0.11296299870434935,False,,False,caught
2,1787662787.014965,0.10403410065919161,0.0459347004070878,21.770034225491504,0.0459347004070878,21.770034225491504,0.004034101031720638,True,0.008114900439977646,123.23010089853359,0.036355200223624706,0.7271040044724941,2,1,-0.22716768595501732,-0.5220604623938301,0.113,-0.22716768595501732,-0.5220604623938301,0.113,0.03944532850455461,0.03944532850455461,0.0045064957812428474,10,False,,True,3,0.021208600141108036,0.028552900068461895,35.022712144905725,False,False,False,,5.460834980010986,8.803810119628906,7.495879650115967,4.995842933654785,,,4.317640781402588,True,0.166053767,0.820383631853,1,1.0,-1.0,1.4142135381698608,0.16605377197265625,-0.16605377197265625,0.23483550548553467,0.16605377197265625,-0.16605377197265625,0.23483550548553467,0.16069649159908295,-0.16069649159908295,0.22725915908813477,0.16069649159908295,-0.16069649159908295,0.22725915908813477,0.16069650650024414,-0.16069602966308594,0.2272588461637497,False,False,1.9514001905918121,1.0128002613782883,-0.5,-0.5,0.7071067690849304,0.0,0.0,736.8580932617188,492.12432861328125,736.8580932617188,492.12432861328125,False,False,-0.22711164130550007,-0.5224498241338501,0.11297084821185087,False,,False,caught
3,1787662787.0622544,0.1502996003255248,0.0462654996663332,21.614378040051452,0.0462654996663332,21.614378040051452,0.00029960088431835175,False,0.00805989932268858,124.07102867712064,0.03987859934568405,0.797571986913681,3,2,-0.22821588747490756,-0.5141294300793263,0.113,-0.22997021020119965,-0.5008556559354508,0.113,0.789393936715943,2.128306432870175,0.004966093227267265,16,False,,True,4,0.03775219991803169,0.027642499655485153,36.176178437667744,False,False,False,,5.6215314865112305,8.64311408996582,7.4893879890441895,4.988405227661133,,,4.104361534118652,True,0.166053767,0.820383631853,1,1.0,-1.0,1.4142135381698608,0.16605377197265625,-0.16605377197265625,0.23483550548553467,0.16605377197265625,-0.16605377197265625,0.23483550548553467,0.16509151458740234,-0.16509142518043518,0.23347459733486176,0.16509151458740234,-0.16509142518043518,0.23347459733486176,0.16509151458740234,-0.16509151458740234,0.23347465693950653,False,False,2.0348001271486282,1.0629994794726372,0.0,-1.0,1.0,-0.5,-0.5,766.913330078125,459.9048767089844,766.913330078125,459.9048767089844,False,False,-0.2271394371097227,-0.5219496225621747,0.11298891510556848,False,,False,caught
4,1787662787.123301,0.21132460050284863,0.06102500017732382,16.386726703715578,0.06102500017732382,16.386726703715578,0.011324601247906685,True,0.00805910024791956,124.08333055022463,0.04997170064598322,0.9994340129196644,4,3,-0.22070280441880819,-0.5068339630972608,0.113,-0.20947123569069784,-0.49592771619423953,0.113,1.2145366978067105,2.7539554583979973,0.005305791273713112,23,False,,True,5,0.050034199841320515,0.029719499871134758,33.647941733072564,False,False,False,,5.786623001098633,8.478022575378418,7.440439701080322,4.912784576416016,,,3.9301440715789795,True,0.166053767,0.820383631853,1,0.6916494369506836,-1.0,1.215886116027832,0.11485099792480469,-0.16605377197265625,0.20190246403217316,0.16605377197265625,-0.16605377197265625,0.23483550548553467,0.16588091850280762,-0.16588091850280762,0.2345910370349884,0.16588091850280762,-0.16588091850280762,0.2345910370349884,0.16588115692138672,-0.16588115692138672,0.23459137976169586,False,False,1.8669003620743752,1.157599501311779,1.0,-1.0,1.4142135381698608,0.0,-1.0,823.3410034179688,451.9798278808594,823.3410034179688,451.9798278808594,False,False,-0.2267737817597356,-0.5173531441494404,0.11299822536376433,False,,False,caught
5,1787662787.1685514,0.2575909001752734,0.04626629967242479,21.614004298597724,0.04626629967242479,21.614004298597724,0.007590901106595993,True,0.008060500025749207,124.06178237150394,0.03738530073314905,0.747706014662981,5,4,-0.21158765482582076,-0.5064421798076613,0.113,-0.1858181776890364,-0.5087801485768718,0.113,1.4451600439561558,3.877940165483977,0.005808388814330101,29,False,,True,6,0.03285459987819195,0.048751600086688995,20.51214725715305,False,False,False,,5.9525041580200195,8.312141418457031,7.4329047203063965,4.820481300354004,,,3.7925288677215576,True,0.166053767,0.820383631853,1,0.023643136024475098,-1.0,1.000279426574707,0.00392603175714612,-0.16605377197265625,0.1661001741886139,0.11485099792480469,-0.16605377197265625,0.20190246403217316,0.12401684373617172,-0.16602276265621185,0.20722870528697968,0.12401684373617172,-0.16602276265621185,0.20722870528697968,0.12401676177978516,-0.16602230072021484,0.20722827315330505,False,False,1.776999793946743,0.9170006960630417,1.0,-1.0,1.4142135381698608,1.0,-1.0,822.5693969726562,442.30645751953125,822.5693969726562,442.30645751953125,False,False,-0.22434017191143027,-0.5132408607381316,0.11299907716052507,False,,False,caught
6,1787662787.214373,0.30343940015882254,0.04584849998354912,21.810964379615683,0.04584849998354912,21.810964379615683,0.003439401276409626,True,0.008076800033450127,123.8114099468221,0.032033500261604786,0.6406700052320957,6,5,-0.20360821873290022,-0.5061633685900193,0.113,-0.18361232559290708,-0.5048376754063505,0.113,1.567166855496006,3.554971917101118,0.00630088709294796,34,False,,True,7,0.014308099634945393,0.06343839969485998,15.763323236557365,False,False,False,,6.076520919799805,8.146119117736816,7.491781234741211,4.707529544830322,,,3.7184486389160156,True,0.166053767,0.820383631853,1,0.03632563352584839,-1.0,1.0006595849990845,0.0060320086777210236,-0.16605377197265625,0.16616329550743103,0.00392603175714612,-0.16605377197265625,0.1661001741886139,0.025496292859315872,-0.1660481095314026,0.1679941564798355,0.025496289134025574,-0.1660481095314026,0.1679941564798355,0.025496482849121094,-0.1660480499267578,0.16799412667751312,False,False,1.4688996598124504,1.0770000517368317,1.0,-1.0,1.4142135381698608,1.0,-1.0,828.5984497070312,430.4690856933594,828.5984497070312,430.4690856933594,False,False,-0.21876092288628413,-0.5101629467060688,0.11298872923408049,False,,False,caught
7,1787662787.2748663,0.3649224005639553,0.06148300040513277,16.264658416320835,0.06148300040513277,16.264658416320835,0.014922401867806911,True,0.00805519986897707,124.1434124870436,0.05105399992316961,1.0,7,6,-0.19124736484939528,-0.5040898256197242,0.113,-0.17790177626458023,-0.5016502850966815,0.113,1.785366373647376,3.1416420350156655,0.006809183396399021,42,False,,False,,,,,False,False,False,,6.102017402648926,7.980071067810059,7.636529445648193,4.554609775543213,,,3.7534666061401367,True,0.166053767,0.820383631853,1,1.0,-1.0,1.4142135381698608,0.16605377197265625,-0.16605377197265625,0.23483550548553467,0.0060320086777210236,-0.16605377197265625,0.16616329550743103,0.0095281470566988,-0.16605272889137268,0.1663258671760559,0.0095281470566988,-0.16605272889137268,0.1663258671760559,0.009528160095214844,-0.16605281829833984,0.16632595658302307,False,False,2.282499335706234,1.0740002617239952,1.0,-1.0,1.4142135381698608,1.0,-1.0,843.4205932617188,414.443115234375,843.4205932617188,414.443115234375,False,False,-0.20869806367083538,-0.5078615137743611,0.1129719300402744,False,,False,caught
8,1787662787.3216214,0.4106572000309825,0.04573479946702719,21.86518825169348,0.04573479946702719,21.86518825169348,0.010657201521098614,True,0.008093600161373615,123.55441090016532,0.03828500024974346,0.7657000049948692,8,7,-0.18182991595736503,-0.5022276163000435,0.113,-0.16761794588303452,-0.4993747223660553,0.113,2.0304869677755977,3.479981732699384,0.007180081680417061,48,False,,True,8,0.04261679947376251,0.06440100073814392,15.52770901908846,False,False,False,,6.111545562744141,7.814018249511719,7.739110946655273,4.451282978057861,,,3.735901117324829,True,0.166053767,0.820383631853,1,1.0,-1.0,1.4142135381698608,0.16605377197265625,-0.16605377197265625,0.23483550548553467,0.16605377197265625,-0.16605377197265625,0.23483550548553467,0.1379391998052597,-0.16605359315872192,0.21587269008159637,0.1379391998052597,-0.16605359315872192,0.21587269008159637,0.1379389762878418,-0.16605377197265625,0.21587269008159637,False,False,2.085699699819088,0.929499976336956,1.0,-1.0,1.4142135381698608,1.0,-1.0,853.9249877929688,403.6144714355469,853.9249877929688,403.6144714355469,False,False,-0.20169306821927566,-0.506439375599372,0.11293676665967457,False,,False,caught
9,1787662787.367882,0.45692270062863827,0.04626550059765577,21.61437760495493,0.04626550059765577,21.61437760495493,0.006922702305018902,True,0.008045800030231476,124.28844816457988,0.040303099900484085,0.8060619980096817,9,8,-0.17398664226427168,-0.500557549541318,0.113,-0.1606424691962235,-0.4977161773368453,0.113,1.9600883194396204,3.3244147984669783,0.007491579279303551,54,False,,True,9,0.024449000135064125,0.07923719938844442,12.620334990610928,False,False,False,,6.249484539031982,7.6479644775390625,7.863439559936523,4.325152397155762,,,3.694040060043335,True,0.166053767,0.820383631853,1,1.0,-1.0,1.4142135381698608,0.16605377197265625,-0.16605377197265625,0.23483550548553467,0.16605377197265625,-0.16605377197265625,0.23483550548553467,0.16100388765335083,-0.16605375707149506,0.2312922328710556,0.16100388765335083,-0.16605375707149506,0.2312922328710556,0.16100406646728516,-0.16605377197265625,0.23129238188266754,False,False,1.658800058066845,0.9711002930998802,1.0,-1.0,1.4142135381698608,1.0,-1.0,866.65625,390.3959655761719,866.65625,390.3959655761719,False,False,-0.19315062986925222,-0.5046723338989425,0.11293107419376536,False,,False,caught
