step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,policy_dt_s,policy_loop_hz_inst,policy_deadline_overrun_s,policy_deadline_overrun,servo_dt_s,servo_loop_hz_inst,servo_target_age_s,servo_interpolation_phase,servo_command_sequence,servo_policy_step,servo_commanded_world_x,servo_commanded_world_y,servo_commanded_world_z,servo_target_world_x,servo_target_world_y,servo_target_world_z,servo_segment_start_world_x,servo_segment_start_world_y,servo_segment_start_world_z,servo_segment_end_world_x,servo_segment_end_world_y,servo_segment_end_world_z,servo_segment_start_perf,servo_segment_end_perf,servo_segment_elapsed_s,servo_segment_duration_s,servo_pending_segment_count,servo_command_step_limited,servo_command_step_limited_count,servo_publish_rejected_count,servo_tracking_error_cm,servo_target_error_cm,servo_deadline_overrun_s,servo_deadline_overrun_count,servo_watchdog_stopped,servo_stop_reason,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,virtual_hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,virtual_hand_action_x,virtual_hand_action_y,virtual_hand_action_norm,virtual_hand_command_dx_cm,virtual_hand_command_dy_cm,virtual_hand_command_norm_cm,virtual_hand_delayed_dx_cm,virtual_hand_delayed_dy_cm,virtual_hand_delayed_norm_cm,virtual_hand_smoothed_dx_cm,virtual_hand_smoothed_dy_cm,virtual_hand_smoothed_norm_cm,virtual_hand_exec_dx_cm,virtual_hand_exec_dy_cm,virtual_hand_exec_norm_cm,virtual_hand_actual_dx_cm,virtual_hand_actual_dy_cm,virtual_hand_actual_norm_cm,virtual_hand_accel_clipped,virtual_hand_workspace_clipped,virtual_hand_policy_inference_ms,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,planned_anchor_x_cm,planned_anchor_y_cm,planned_target_x_cm,planned_target_y_cm,planned_delta_dx_cm,planned_delta_dy_cm,planned_delta_norm_cm,actual_robot_move_dx_cm,actual_robot_move_dy_cm,actual_robot_move_norm_cm,actual_to_planned_step_projection,planned_endpoint_actual_lag_cm,servo_lag_warning_cm,servo_lag_hard_limit_cm,servo_publish_accepted,servo_publish_reject_reason,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1787723254.3082526,3.995373845100403e-07,,,,,3.995373845100403e-07,False,0.008010899648070335,124.82992471898957,0.000532299280166626,0.010645985642991906,1,0,-0.2269186124949517,-0.5227323634865702,0.113,-0.21380015656990567,-0.5167852361046233,0.113,-0.22705977419380732,-0.5227963578018572,0.113,-0.21380015656990567,-0.5167852361046233,0.113,7264459.4163442,7264459.4663442,0.000532299280166626,0.049999999813735485,1,False,0,0,0.014332917391948818,1.4544020861417966,1.0899648070335222e-05,0,False,,False,,,,,False,False,False,,3.013345241546631,4.666670322418213,7.500889778137207,5.000257968902588,,,4.4999260902404785,True,0.202364325,0.803824171214,3,1.0,1.0,1.4142135381698608,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,2.4445001035928726,3.266899846494198,0.2707897424697876,-0.4106782376766205,0.4919183850288391,0.0,0.0,784.7333374023438,498.24066162109375,784.7333374023438,498.24066162109375,7.500937461853027,5.000611782073975,7.6634111404418945,4.754204750061035,0.1624736785888672,-0.24640703201293945,0.2951509952545166,0.0,0.0,0.0,,0.000357011886080727,1.5,3.0,True,,False,False,-0.22705118570610047,-0.5227800737439556,0.11297370689971951,False,,False,safety_servo_tracking_lag
1,1787723254.358197,0.05283159948885441,0.0528311999514699,18.9282091059561,0.0528311999514699,18.9282091059561,0.002831599675118923,True,0.008001700043678284,124.97344246114882,0.0471538994461298,0.9430779924358352,1,0,-0.2156736945161347,-0.5176345867358865,0.113,-0.21380015656990567,-0.5167852361046233,0.113,-0.22705977419380732,-0.5227963578018572,0.113,-0.21380015656990567,-0.5167852361046233,0.113,7264459.4163442,7264459.4663442,0.0471538994461298,0.049999999813735485,1,True,3,0,1.1850073111973365,1.390712873221883,1.7000436782835249e-06,1,False,,True,1,0.01740949973464012,,,False,False,False,,3.013345241546631,4.666670322418213,7.507057189941406,4.989015102386475,,,4.505258560180664,True,0.202364325,0.803824171214,3,1.0,1.0,1.4142135381698608,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1.5847999602556229,2.2320998832583427,-0.2496691346168518,-1.0,1.030696153640747,0.2707897424697876,-0.4106782376766205,769.3936157226562,435.36065673828125,769.3936157226562,435.36065673828125,7.6634111404418945,4.754204750061035,7.513609886169434,4.154204845428467,-0.14980125427246094,-0.5999999046325684,0.6184175610542297,0.006167411804199219,-0.011242866516113281,0.012823378667235374,0.04330369830131531,0.28210362792015076,1.5,3.0,True,,False,False,-0.22648585216326753,-0.5224844569286748,0.11301545592973208,False,,False,safety_servo_tracking_lag
2,1787723254.40417,0.10000399965792894,0.047172400169074535,21.19883653186644,0.047172400169074535,21.19883653186644,4.00003045797348e-06,False,0.008009699173271656,124.84863393334386,0.043675199151039124,0.8735039862748384,2,1,-0.2086975670615937,-0.5040783957858893,0.113,-0.20152080920411597,-0.4870074752440132,0.113,-0.21380015656990567,-0.5167852361046233,0.113,-0.20152080920411597,-0.4870074752440132,0.113,7264459.4679011,7264459.5179011,0.043675199151039124,0.049999999813735485,1,True,9,0,2.079142394386604,3.885607316037272,9.69917327165587e-06,1,False,,True,2,0.03039069939404726,0.041731199249625206,23.962886712607023,False,False,False,,3.013345241546631,4.666670322418213,7.551340579986572,4.898472309112549,,,4.543911457061768,True,0.202364325,0.803824171214,3,1.0,0.4600210189819336,1.1007357835769653,0.20236432552337646,0.09309184551239014,0.22274965047836304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1.155800186097622,1.5564998611807823,-0.17124226689338684,-1.0,1.0145560503005981,-0.2496691346168518,-1.0,758.8724975585938,372.4806823730469,758.8724975585938,372.4806823730469,7.513609886169434,4.154204845428467,7.410864353179932,3.5542049407958984,-0.10274553298950195,-0.5999999046325684,0.6087335348129272,0.044283390045166016,-0.09054279327392578,0.10079194605350494,0.12470432370901108,0.7452232241630554,1.5,3.0,True,,False,False,-0.22213278842042658,-0.5199459135363792,0.11300413407971191,False,,False,safety_servo_tracking_lag
3,1787723254.4570296,0.1500032003968954,0.049999200738966465,20.000319709524042,0.049999200738966465,20.000319709524042,3.2009556889533997e-06,False,0.008005299605429173,124.91724848396713,0.0016956999897956848,0.9945219978486076,3,2,-0.20136562486726653,-0.48772817659991047,0.113,-0.18761669385886717,-0.4580783369297845,0.113,-0.20152080920411597,-0.4870074752440132,0.113,-0.18761669385886717,-0.4580783369297845,0.113,7264459.5179011,7264459.5679011,0.04972609970718622,0.049999999813735485,2,True,16,0,2.9351982481851713,6.197490240782983,5.299605429172349e-06,1,False,,True,3,0.049198100343346596,0.034189000725746155,29.249173089956567,False,False,False,,3.013345241546631,4.666670322418213,7.575209140777588,4.721766948699951,,,4.562196731567383,True,0.202364325,0.803824171214,3,1.0,0.9436029195785522,1.374913215637207,0.20236432552337646,0.19095157086849213,0.2782333791255951,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.16266533732414246,0.16266533732414246,0.23004353046417236,0.16266533732414246,0.16266533732414246,0.23004353046417236,0.16266536712646484,0.16266536712646484,0.23004357516765594,False,False,1.8486995249986649,2.485699951648712,-0.11252176016569138,-1.0,1.0063105821609497,-0.17124226689338684,-1.0,751.9591674804688,309.6006774902344,751.9591674804688,309.6006774902344,7.410864353179932,3.5542049407958984,7.343351364135742,2.95420503616333,-0.06751298904418945,-0.5999999046325684,0.603786289691925,0.023868560791015625,-0.17670536041259766,0.1783100962638855,0.27950069308280945,1.1790717840194702,1.5,3.0,True,,False,False,-0.21599994567347464,-0.5131716703768553,0.1129355439802318,False,,False,safety_servo_tracking_lag
4,1787723254.504294,0.20000119972974062,0.04999799933284521,20.00080029888455,0.04999799933284521,20.00080029888455,1.2004747986793518e-06,False,0.008005600422620773,124.9125546129409,0.001356600783765316,0.9551420098362193,4,3,-0.19455370177420533,-0.47396208566720105,0.113,-0.17205682898183375,-0.4299954497897856,0.113,-0.18761669385886717,-0.4580783369297845,0.113,-0.17205682898183375,-0.4299954497897856,0.113,7264459.5679011,7264459.6179011,0.0477571003139019,0.049999999813735485,2,True,22,0,3.2867732182622387,8.225396912304312,5.600422620773149e-06,1,False,,True,4,0.035499799996614456,0.031180699355900288,32.071121580240344,False,False,False,,3.1760106086730957,4.829335689544678,7.5591139793396,4.493907451629639,,,4.395919322967529,True,0.202364325,0.803824171214,3,1.0,-0.16200274229049683,1.0130374431610107,0.20236432552337646,-0.03278357535600662,0.20500263571739197,0.20236432552337646,0.20236432552337646,0.2861863672733307,0.19457635283470154,0.19457635283470154,0.27517253160476685,0.19457635283470154,0.19457635283470154,0.27517253160476685,0.19457626342773438,0.19457626342773438,0.2751723825931549,False,False,1.108899712562561,1.499599777162075,-0.037908993661403656,-1.0,1.0007182359695435,-0.11252176016569138,-1.0,749.6300048828125,246.720703125,749.6300048828125,246.720703125,7.343351364135742,2.95420503616333,7.320605754852295,2.3542051315307617,-0.022745609283447266,-0.5999999046325684,0.6004309058189392,-0.01609516143798828,-0.2278594970703125,0.2284272462129593,0.3779984414577484,1.5547466278076172,1.5,3.0,True,,False,False,-0.20985521420202136,-0.5030498342926023,0.11276672729381598,False,,False,safety_servo_tracking_lag
5,1787723254.5560622,0.25177530013024807,0.05177410040050745,19.314676493928975,0.05177410040050745,19.314676493928975,0.0017753010615706444,True,0.008002799935638905,124.95626631208104,0.04940030071884394,0.9160160121173263,5,4,-0.18719452960591426,-0.46048107726082094,0.113,-0.15442516274682497,-0.40303998104739847,0.113,-0.17205682898183375,-0.4299954497897856,0.113,-0.15442516274682497,-0.40303998104739847,0.113,7264459.6179011,7264459.6679011,0.04580080043524504,0.049999999813735485,1,True,28,0,3.2427027478791093,9.854828266024999,2.799935638904405e-06,1,False,,True,5,0.011232600547373295,0.063705800101161,15.69715784766944,False,False,False,,3.37058687210083,5.023911952972412,7.517832279205322,4.1936116218566895,,,4.229544162750244,True,0.202364325,0.803824171214,3,1.0,0.12190573662519455,1.0074031352996826,0.20236432552337646,0.02466937154531479,0.20386244356632233,0.20236432552337646,0.09309184551239014,0.22274965047836304,0.20083649456501007,0.11300063133239746,0.2304440140724182,0.20083649456501007,0.11300063133239746,0.2304440140724182,0.2008364200592041,0.11300039291381836,0.2304438203573227,False,False,1.2974999845027924,1.6390001401305199,0.0030210986733436584,-1.0,1.000004529953003,-0.037908993661403656,-1.0,749.8156127929688,183.8406982421875,749.8156127929688,183.8406982421875,7.320605754852295,2.3542051315307617,7.322418212890625,1.7542051076889038,0.0018124580383300781,-0.6000000238418579,0.6000027656555176,-0.041281700134277344,-0.3002958297729492,0.30312004685401917,0.5023794174194336,1.849949836730957,1.5,3.0,True,,False,False,-0.20249097885506834,-0.4890706348073184,0.11259018202353059,False,,False,safety_servo_tracking_lag
6,1787723254.6043239,0.3000034997239709,0.04822819959372282,20.7347570181773,0.04822819959372282,20.7347570181773,3.5008415579795837e-06,False,0.008022500202059746,124.64942035691739,0.04596670065075159,0.877188018996969,6,5,-0.17935662153237447,-0.4472720509962442,0.113,-0.13583417309686263,-0.37636308565231164,0.113,-0.15442516274682497,-0.40303998104739847,0.113,-0.13583417309686263,-0.37636308565231164,0.113,7264459.6679011,7264459.7179010995,0.043859400786459446,0.049999999813735485,1,True,34,0,3.3383522888313153,11.655399411595514,2.2500202059745622e-05,1,False,,False,,,,,False,False,False,,3.571423292160034,5.1369123458862305,7.488685131072998,3.9202284812927246,,,4.101860523223877,True,0.202364325,0.803824171214,3,1.0,-1.0,1.4142135381698608,0.20236432552337646,-0.20236432552337646,0.2861863672733307,0.20236432552337646,0.19095157086849213,0.2782333791255951,0.20206458866596222,0.1756594479084015,0.2677430510520935,0.20206458866596222,0.1756594479084015,0.2677430510520935,0.20206451416015625,0.1756596565246582,0.26774314045906067,False,False,1.5034005045890808,2.070300281047821,0.060521192848682404,-1.0,1.001829743385315,0.0030210986733436584,-1.0,753.5340576171875,120.960693359375,753.5340576171875,120.960693359375,7.322418212890625,1.7542051076889038,7.358730792999268,1.154205083847046,0.03631258010864258,-0.6000000238418579,0.601097822189331,-0.02914714813232422,-0.27338314056396484,0.27493253350257874,0.4554876983165741,2.1723952293395996,1.5,3.0,True,,False,False,-0.19543026643618394,-0.47652759207529777,0.11254080928518122,False,,False,safety_servo_tracking_lag
7,1787723254.655103,0.3500026995316148,0.04999919980764389,20.000320082064988,0.04999919980764389,20.000320082064988,2.7008354663848877e-06,False,0.008006399497389793,124.90008777678594,0.04602140001952648,0.837718009344183,7,6,-0.17109874422214244,-0.43432162393714163,0.113,-0.11548601393756218,-0.35052947604485013,0.113,-0.13583417309686263,-0.37636308565231164,0.113,-0.11548601393756218,-0.35052947604485013,0.113,7264459.7179010995,7264459.767901099,0.04188590031117201,0.049999999813735485,1,True,40,0,3.3948057119241404,13.44605299656303,6.3994973897932295e-06,1,False,,True,6,0.04227590002119541,0.07603450026363134,13.151924409744794,False,False,False,,3.7734878063201904,5.312572002410889,7.462732791900635,3.640490770339966,,,4.050479888916016,True,0.202364325,0.803824171214,3,1.0,-0.40358883142471313,1.0783710479736328,0.20236432552337646,-0.08167198300361633,0.21822381019592285,0.20236432552337646,-0.03278357535600662,0.20500263571739197,0.20230551064014435,0.008107949048280716,0.2024679183959961,0.20230551064014435,0.008107945322990417,0.2024679183959961,0.20230555534362793,0.008108139038085938,0.20246796309947968,False,False,1.5120003372430801,2.0405007526278496,0.0839080885052681,-1.0,1.0035141706466675,0.060521192848682404,-1.0,758.6893310546875,58.0806884765625,758.6893310546875,58.0806884765625,7.358730792999268,1.154205083847046,7.409075736999512,0.554205060005188,0.05034494400024414,-0.6000000238418579,0.6021084785461426,-0.02595233917236328,-0.2797377109527588,0.280938982963562,0.4619198143482208,2.488459825515747,1.5,3.0,True,,False,False,-0.18802225952809806,-0.4637452516757572,0.11243844629844008,False,,False,safety_servo_tracking_lag
8,1787723254.7094557,0.40512819960713387,0.055125500075519085,18.140425005307012,0.055125500075519085,18.140425005307012,0.005128201097249985,True,0.0080035999417305,124.9437762107566,0.05114310048520565,0.9583620203970448,8,7,-0.1609958300124648,-0.41952176535859415,0.113,-0.09481944855850209,-0.32512265173077837,0.113,-0.11548601393756218,-0.35052947604485013,0.113,-0.09481944855850209,-0.32512265173077837,0.113,7264459.767901099,7264459.817901099,0.0479181008413434,0.049999999813735485,1,True,47,0,3.422683121070423,14.946050155473042,3.599941730499101e-06,1,False,,True,7,0.03600499965250492,0.06735229957848787,14.847303006108453,False,False,False,,3.9757933616638184,5.320680141448975,7.437921524047852,3.308234691619873,,,4.004530906677246,True,0.202364325,0.803824171214,3,1.0,-1.0,1.4142135381698608,0.20236432552337646,-0.20236432552337646,0.2861863672733307,0.20236432552337646,0.02466937154531479,0.20386244356632233,0.20235279202461243,0.02142045833170414,0.20348338782787323,0.20235279202461243,0.02142045833170414,0.20348338782787323,0.20235300064086914,0.02142047882080078,0.20348359644412994,False,False,1.1754995211958885,1.5839003026485443,0.15986254811286926,-0.9840984344482422,0.9969983696937561,0.0839080885052681,-1.0,768.5113525390625,52.400001525878906,768.5113525390625,-3.799424409866333,7.409075736999512,0.554205060005188,7.504993438720703,0.5,0.0959177017211914,-0.05420506000518799,0.11017438024282455,-0.024811267852783203,-0.3322560787200928,0.3331811726093292,0.5464430451393127,2.754180908203125,1.5,3.0,True,,True,False,-0.17894456009334542,-0.4486581375442639,0.11237479677875324,False,,False,safety_servo_tracking_lag
9,1787723254.7552602,0.4509551003575325,0.045826900750398636,21.82124437012689,0.045826900750398636,21.82124437012689,0.0009551020339131355,False,0.00800469983369112,124.92660821472438,0.04465429950505495,0.8930859934281036,9,8,-0.1519146977877363,-0.40713512214178504,0.113,-0.08907453949647749,-0.32535349960172394,0.113,-0.09481944855850209,-0.32512265173077837,0.113,-0.08907453949647749,-0.32535349960172394,0.113,7264459.8192015,7264459.8692015,0.04465429950505495,0.049999999813735485,1,True,53,0,3.428980460868272,13.735166701419436,4.699833691119981e-06,1,False,,True,8,0.0018035005778074265,0.061230000108480453,16.33186343668646,False,False,False,,4.1781463623046875,5.342100620269775,7.424479007720947,3.021117687225342,,,3.9906938076019287,True,0.202364325,0.803824171214,3,1.0,-1.0,1.4142135381698608,0.20236432552337646,-0.20236432552337646,0.2861863672733307,0.20236432552337646,-0.20236432552337646,0.2861863672733307,0.20236210525035858,-0.15846315026283264,0.25702333450317383,0.20236210525035858,-0.15846315026283264,0.25702333450317383,0.202362060546875,-0.1584630012512207,0.2570231854915619,False,False,1.1334000155329704,1.6498994082212448,0.22966209053993225,-0.8628239631652832,0.8928660750389099,0.15986254811286926,-0.9840984344482422,782.6217651367188,52.400001525878906,782.6217651367188,-1.8543745279312134,7.504993438720703,0.5,7.642790794372559,0.5,0.13779735565185547,0.0,0.13779735565185547,-0.013442516326904297,-0.28711700439453125,0.2874315083026886,1.175923228263855,2.5224030017852783,1.5,3.0,True,,True,False,-0.17074722753984342,-0.43578270826989823,0.11233491935077325,False,,False,safety_servo_tracking_lag
