step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,policy_dt_s,policy_loop_hz_inst,policy_deadline_overrun_s,policy_deadline_overrun,servo_dt_s,servo_loop_hz_inst,servo_target_age_s,servo_interpolation_phase,servo_command_sequence,servo_policy_step,servo_commanded_world_x,servo_commanded_world_y,servo_commanded_world_z,servo_target_world_x,servo_target_world_y,servo_target_world_z,servo_segment_start_world_x,servo_segment_start_world_y,servo_segment_start_world_z,servo_segment_end_world_x,servo_segment_end_world_y,servo_segment_end_world_z,servo_segment_start_perf,servo_segment_end_perf,servo_segment_elapsed_s,servo_segment_duration_s,servo_pending_segment_count,servo_command_step_limited,servo_command_step_limited_count,servo_publish_rejected_count,servo_tracking_error_cm,servo_target_error_cm,servo_deadline_overrun_s,servo_deadline_overrun_count,servo_watchdog_stopped,servo_stop_reason,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,virtual_hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,virtual_hand_action_x,virtual_hand_action_y,virtual_hand_action_norm,virtual_hand_command_dx_cm,virtual_hand_command_dy_cm,virtual_hand_command_norm_cm,virtual_hand_delayed_dx_cm,virtual_hand_delayed_dy_cm,virtual_hand_delayed_norm_cm,virtual_hand_smoothed_dx_cm,virtual_hand_smoothed_dy_cm,virtual_hand_smoothed_norm_cm,virtual_hand_exec_dx_cm,virtual_hand_exec_dy_cm,virtual_hand_exec_norm_cm,virtual_hand_actual_dx_cm,virtual_hand_actual_dy_cm,virtual_hand_actual_norm_cm,virtual_hand_accel_clipped,virtual_hand_workspace_clipped,virtual_hand_policy_inference_ms,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,planned_anchor_x_cm,planned_anchor_y_cm,planned_target_x_cm,planned_target_y_cm,planned_delta_dx_cm,planned_delta_dy_cm,planned_delta_norm_cm,actual_robot_move_dx_cm,actual_robot_move_dy_cm,actual_robot_move_norm_cm,actual_to_planned_step_projection,planned_endpoint_actual_lag_cm,planned_endpoint_actual_lag_excess_cm,servo_follower_lag_allowance_cm,servo_lag_warning_cm,servo_lag_hard_limit_cm,servo_publish_accepted,servo_publish_reject_reason,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1787728731.135519,2.0023435354232788e-07,,,,,2.0023435354232788e-07,False,,,0.000444900244474411,1.0,0,-1,-0.22708076019296763,-0.522780291990319,0.113,-0.22708076019296763,-0.522780291990319,0.113,-0.22708076019296763,-0.522780291990319,0.113,-0.22708076019296763,-0.522780291990319,0.113,7269936.1530104,7269936.1530104,0.000444900244474411,0.0,1,False,0,0,0.004569374026044917,0.004569374026044917,0.0,0,False,,False,,,,,False,False,False,,11.715414047241211,3.4246912002563477,7.500280380249023,5.00065803527832,,,4.500113487243652,True,0.288611221,0.554899431908,2,-1.0,1.0,1.4142135381698608,-0.2886112332344055,0.2886112332344055,0.40815791487693787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,2.1174997091293335,0.9958995506167412,0.0,0.0,0.0,0.0,0.0,768.039306640625,524.0639038085938,768.039306640625,524.0639038085938,7.5003838539123535,5.000609874725342,7.5003838539123535,5.000609874725342,0.0,0.0,0.0,0.0,0.0,0.0,,0.00011413254833314568,0.0,3.0000000000000004,1.5,3.0,True,,False,False,-0.22708611832600373,-0.522779339654415,0.11295463149368028,False,,False,caught
1,1787728731.1874828,0.051460400223731995,0.05146019998937845,19.43249346497688,0.05146019998937845,19.43249346497688,0.0014604004099965096,True,0.008016200736165047,124.74737508611845,0.04960780031979084,0.9921560100918859,1,0,-0.2270774288765523,-0.5227438639700093,0.113,-0.22707740253914963,-0.5227435759699157,0.113,-0.22708076019296763,-0.522780291990319,0.113,-0.22707740253914963,-0.5227435759699157,0.113,7269936.1573382,7269936.2073382,0.04960780031979084,0.049999999813735485,1,False,0,0,0.004021028058268649,0.0040382966362692285,1.6200736165046525e-05,1,False,,True,1,0.025366200134158134,,,False,False,False,,11.715414047241211,3.4246912002563477,7.5004377365112305,5.000295162200928,,,4.4998393058776855,True,0.288611221,0.554899431908,2,-0.47092437744140625,1.0,1.1053370237350464,-0.13591407239437103,0.2886112332344055,0.3190126419067383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1.623000018298626,1.1772001162171364,0.0,0.0,0.0,0.0,0.0,768.039306640625,524.0639038085938,768.039306640625,524.0639038085938,7.5003838539123535,5.000609874725342,7.5003838539123535,5.000609874725342,0.0,0.0,0.0,0.00015735626220703125,-0.0003628730773925781,0.0003955222782678902,,0.0003192918957211077,0.0,3.0000000000000004,1.5,3.0,True,,False,False,-0.22706945632130676,-0.522768609834879,0.11296932513733948,False,,False,caught
2,1787728731.2357311,0.10000280011445284,0.048542399890720844,20.600547196908483,0.048542399890720844,20.600547196908483,2.800486981868744e-06,False,0.008379899896681309,119.33316773820054,0.04590569995343685,0.9181140024889782,2,1,-0.22707740253914963,-0.5227435759699157,0.113,-0.22707740253914963,-0.5227435759699157,0.113,-0.22707740253914963,-0.5227435759699157,0.113,-0.22707740253914963,-0.5227435759699157,0.113,7269936.2094973,7269936.2594973,0.04590569995343685,0.049999999813735485,1,False,0,0,0.004499114574881425,0.004499114574881425,0.0003798998966813086,1,False,,True,3,0.011670900508761406,0.030891899950802326,32.370945186038256,False,False,False,,11.715414047241211,3.4246912002563477,7.500462532043457,5.000295162200928,,,4.499815940856934,True,0.288611221,0.554899431908,2,-1.0,0.6913049221038818,1.2156901359558105,-0.2886112332344055,0.1995183676481247,0.3508618175983429,-0.2886112332344055,0.2886112332344055,0.40815791487693787,-0.1601502150297165,0.1601502150297165,0.22648660838603973,-0.1601502150297165,0.1601502150297165,0.22648660838603973,-0.16015052795410156,0.16015028953552246,0.22648687660694122,False,False,1.639300025999546,1.09849963337183,0.0,0.0,0.0,0.0,0.0,768.039306640625,524.0639038085938,768.039306640625,524.0639038085938,7.5003838539123535,5.000609874725342,7.5003838539123535,5.000609874725342,0.0,0.0,0.0,2.47955322265625e-05,0.0,2.47955322265625e-05,,0.000324398250086233,0.0,3.0000000000000004,1.5,3.0,True,,False,False,-0.22706851967926953,-0.52276931330548,0.11296418258029686,False,,False,caught
3,1787728731.2854912,0.1500025000423193,0.04999969992786646,20.000120029573768,0.04999969992786646,20.000120029573768,2.50060111284256e-06,False,0.008001100271940231,124.98281061505863,0.04527360014617443,0.8795600044710934,3,2,-0.22707740253914963,-0.5227435759699157,0.113,-0.22707740253914963,-0.5227435759699157,0.113,-0.22707740253914963,-0.5227435759699157,0.113,-0.22707740253914963,-0.5227435759699157,0.113,7269936.2594973,7269936.3094973,0.043978000059723854,0.049999999813735485,1,False,0,0,0.00592944607182483,0.00592944607182483,1.1002719402311567e-06,1,False,,True,4,0.012724599801003933,0.03159609995782375,31.649475768682088,False,False,False,,11.55526351928711,3.58484148979187,7.5003790855407715,5.000240325927734,,,4.294815540313721,True,0.288611221,0.554899431908,2,-1.0,1.0,1.4142135381698608,-0.2886112332344055,0.2886112332344055,0.40815791487693787,-0.13591407239437103,0.2886112332344055,0.3190126419067383,-0.14670173823833466,0.2314331978559494,0.2740122675895691,-0.14670173823833466,0.2314331978559494,0.2740122675895691,-0.14670181274414062,0.23143315315246582,0.2740122675895691,False,False,1.4944002032279968,0.9343000128865242,-0.5,-0.5,0.7071067690849304,0.0,0.0,737.3192749023438,492.6238708496094,737.3192749023438,492.6238708496094,7.5003838539123535,5.000609874725342,7.20038366317749,4.7006096839904785,-0.3000001907348633,-0.3000001907348633,0.4242643415927887,-8.344650268554688e-05,-5.4836273193359375e-05,9.985156793845817e-05,,0.00036957956035621464,0.0,3.0000000000000004,1.5,3.0,True,,False,False,-0.2270700559685996,-0.5227646293566419,0.11294505806810479,False,,False,caught
4,1787728731.3408113,0.2047645002603531,0.05476200021803379,18.260837734533443,0.05476200021803379,18.260837734533443,0.004764501005411148,True,0.00802060030400753,124.67894697362557,0.05186240002512932,1.0,4,3,-0.2289576363454444,-0.5066303734745063,0.113,-0.22959870821490358,-0.50113652435206,0.113,-0.22707740253914963,-0.5227435759699157,0.113,-0.22959870821490358,-0.50113652435206,0.113,7269936.3094973,7269936.359497299,0.050037200562655926,0.049999999813735485,1,True,6,0,1.5285538131345886,2.081665181540803,2.0600304007530046e-05,1,False,,False,,,,,False,False,False,,11.408561706542969,3.816274642944336,7.486843585968018,4.98691463470459,,,4.092709541320801,True,0.288611221,0.554899431908,2,-1.0,1.0,1.4142135381698608,-0.2886112332344055,0.2886112332344055,0.40815791487693787,-0.2886112332344055,0.1995183676481247,0.3508618175983429,-0.22544726729393005,0.21372365951538086,0.31065136194229126,-0.22544726729393005,0.21372365951538086,0.31065136194229126,-0.2254476547241211,0.21372365951538086,0.31065165996551514,False,False,2.010100521147251,1.5182998031377792,-1.0,0.5,1.1180340051651,-0.5,-0.5,675.8792724609375,524.0639038085938,675.8792724609375,524.0639038085938,7.20038366317749,4.7006096839904785,6.600383758544922,5.000609874725342,-0.5999999046325684,0.3000001907348633,0.670820415019989,-0.013535499572753906,-0.013325691223144531,0.01899430900812149,0.044768624007701874,0.40500593185424805,0.0,3.0000000000000004,1.5,3.0,True,,False,False,-0.22719227303853926,-0.5218135822128576,0.11303661648695926,False,,False,caught
5,1787728731.3874874,0.2504749000072479,0.045710399746894836,21.876859654195677,0.045710399746894836,21.876859654195677,0.0004749009385704994,False,0.008008300326764584,124.87044181621094,0.044964900240302086,0.8992980081561879,5,4,-0.24238989262480817,-0.5004508435794203,0.113,-0.2614566166042727,-0.49667507533700156,0.113,-0.22959870821490358,-0.50113652435206,0.113,-0.2614566166042727,-0.49667507533700156,0.113,7269936.3626088,7269936.4126087995,0.044964900240302086,0.049999999813735485,1,True,12,0,2.057922721433832,3.811934120757011,8.300326764583421e-06,1,False,,True,5,0.04026770032942295,0.048696400597691536,20.535398668611357,False,False,False,,11.183114051818848,4.029998302459717,7.391551971435547,4.900156021118164,,,3.8901307582855225,True,0.288611221,0.554899431908,2,-1.0,1.0,1.4142135381698608,-0.2886112332344055,0.2886112332344055,0.40815791487693787,-0.2886112332344055,0.2886112332344055,0.40815791487693787,-0.2604970932006836,0.25527873635292053,0.364727258682251,-0.2604970932006836,0.25527873635292053,0.364727258682251,-0.2604970932006836,0.2552785873413086,0.3647271394729614,False,False,1.8835002556443214,0.9321002289652824,-1.0,0.5,1.1180340051651,-1.0,0.5,614.4393310546875,555.5039672851562,614.4393310546875,555.5039672851562,6.600383758544922,5.000609874725342,6.0003838539123535,5.300610065460205,-0.5999999046325684,0.3000001907348633,0.670820415019989,-0.0952916145324707,-0.08675861358642578,0.12887027859687805,0.06921634823083878,0.7975199222564697,0.0,3.0000000000000004,1.5,3.0,True,,False,False,-0.22826057260815863,-0.5154125011052947,0.11287464975103784,False,,False,caught
6,1787728731.4356728,0.3000026997178793,0.04952779971063137,20.19068090733991,0.04952779971063137,20.19068090733991,2.7008354663848877e-06,False,0.008012800477445126,124.80031205255334,0.04652460012584925,0.8603040160995127,6,5,-0.2575162942073138,-0.4977863445779572,0.113,-0.29234326630599455,-0.49213731327594756,0.113,-0.2614566166042727,-0.49667507533700156,0.113,-0.29234326630599455,-0.49213731327594756,0.113,7269936.4126087995,7269936.462608799,0.04301520064473152,0.049999999813735485,1,True,18,0,2.5944705171007536,6.059664026633779,1.2800477445125413e-05,1,False,,True,6,0.02106969989836216,0.0731546999886632,13.669661691661236,False,False,False,,10.922616958618164,4.285276889801025,7.213998317718506,4.87174654006958,,,3.7547035217285156,True,0.288611221,0.554899431908,2,-1.0,0.6790660619735718,1.2087724208831787,-0.2886112332344055,0.1959860920906067,0.3488653004169464,-0.2886112332344055,0.2886112332344055,0.40815791487693787,-0.2760976254940033,0.2737748622894287,0.3888220489025116,-0.2760976254940033,0.2737748622894287,0.3888220489025116,-0.27609729766845703,0.2737746238708496,0.38882163166999817,False,False,1.5495996922254562,1.0972004383802414,-1.0,1.0,1.4142135381698608,-1.0,0.5,552.9993286132812,618.3839111328125,552.9993286132812,618.3839111328125,6.0003838539123535,5.300610065460205,5.400383949279785,5.900609970092773,-0.5999999046325684,0.5999999046325684,0.8485280275344849,-0.17755365371704102,-0.028409481048583984,0.17981211841106415,0.21779851615428925,1.2871612310409546,0.0,3.0000000000000004,1.5,3.0,True,,False,False,-0.23417060338430798,-0.5091047540780144,0.1130072660953476,False,,False,caught
7,1787728731.4854665,0.3500022003427148,0.04999950062483549,20.000199752060826,0.04999950062483549,20.000199752060826,2.201646566390991e-06,False,0.00800930056720972,124.85484738755159,0.04568810015916824,0.821552018901527,7,6,-0.2728291870352311,-0.497067653060456,0.113,-0.3318616258342919,-0.500102680995423,0.113,-0.29234326630599455,-0.49213731327594756,0.113,-0.3318616258342919,-0.500102680995423,0.113,7269936.462608799,7269936.512608799,0.04107760079205036,0.049999999813735485,1,True,24,0,2.9317445155194597,8.75449289295517,9.300567209720445e-06,1,False,,True,7,0.009074999950826168,0.0684986999258399,14.598817219635551,False,False,False,,10.646519660949707,4.559051513671875,6.979227542877197,4.917632102966309,,,3.684781074523926,True,0.288611221,0.554899431908,2,-1.0,0.21217754483222961,1.0222618579864502,-0.2886112332344055,0.06123682111501694,0.295036256313324,-0.2886112332344055,0.2886112332344055,0.40815791487693787,-0.2830412983894348,0.28200745582580566,0.3995504677295685,-0.2830412983894348,0.28200745582580566,0.3995504677295685,-0.28304100036621094,0.28200721740722656,0.39955011010169983,False,False,1.4810999855399132,0.9076995775103569,-1.0,1.0,1.4142135381698608,-1.0,1.0,491.5592956542969,681.263916015625,491.5592956542969,681.263916015625,5.400383949279785,5.900609970092773,4.800384044647217,6.500609874725342,-0.5999999046325684,0.5999999046325684,0.8485280275344849,-0.2347707748413086,0.045885562896728516,0.23921288549900055,0.23388029634952545,1.8598366975784302,0.0,3.0000000000000004,1.5,3.0,True,,False,False,-0.24441727109938002,-0.5042978355354205,0.11299079887561975,False,,False,caught
8,1787728731.538872,0.40281989984214306,0.05281769949942827,18.93304724509678,0.05281769949942827,18.93304724509678,0.002819901332259178,True,0.008082899264991283,123.71798376001144,0.05218179989606142,0.9438420122259931,8,7,-0.29067623055728337,-0.49863182108383397,0.113,-0.3704164632506244,-0.5082196418446785,0.113,-0.3318616258342919,-0.500102680995423,0.113,-0.3704164632506244,-0.5082196418446785,0.113,7269936.512608799,7269936.562608799,0.04719210043549538,0.049999999813735485,1,True,31,0,3.385484619390343,11.370997415881313,8.289926499128325e-05,1,False,,False,,,,,False,False,False,,10.363478660583496,4.841058731079102,6.725423336029053,5.017415523529053,,,3.6423275470733643,True,0.288611221,0.554899431908,2,-1.0,1.0,1.4142135381698608,-0.2886112332344055,0.2886112332344055,0.40815791487693787,-0.2886112332344055,0.1959860920906067,0.3488653004169464,-0.28613191843032837,0.23427414894104004,0.36980515718460083,-0.28613191843032837,0.23427414894104004,0.36980515718460083,-0.2861318588256836,0.23427391052246094,0.3698049485683441,False,False,2.6368005201220512,1.0284995660185814,-1.0,-1.0,1.4142135381698608,-1.0,1.0,430.11932373046875,618.3839111328125,430.11932373046875,618.3839111328125,4.800384044647217,6.500609874725342,4.200384140014648,5.900609970092773,-0.5999999046325684,-0.5999999046325684,0.8485280275344849,-0.25380420684814453,0.09978342056274414,0.2727147042751312,0.2946563959121704,2.430152654647827,0.0,3.0000000000000004,1.5,3.0,True,,False,False,-0.2569214145303866,-0.5012318474506235,0.11305356020172244,False,,False,caught
9,1787728731.585586,0.45000379998236895,0.04718390014022589,21.19366981169634,0.04718390014022589,21.19366981169634,3.8016587495803833e-06,False,0.008004399947822094,124.93128860609828,0.00022139959037303925,0.9045000221747905,9,8,-0.3057124339938188,-0.49640296992987853,0.113,-0.37563522573973057,-0.46662605367603344,0.113,-0.3704164632506244,-0.5082196418446785,0.113,-0.37563522573973057,-0.46662605367603344,0.113,7269936.562608799,7269936.612608799,0.04522500094026327,0.049999999813735485,2,True,37,0,3.5362262443049226,11.031633125756162,4.399947822093797e-06,1,False,,True,8,0.03144560009241104,0.06199509929865599,16.130307255136202,False,False,False,,10.077346801757812,5.0753326416015625,6.475430965423584,5.162978649139404,,,3.6029820442199707,True,0.288611221,0.554899431908,2,-1.0,0.7027221918106079,1.222218632698059,-0.2886112332344055,0.202813521027565,0.35274603962898254,-0.2886112332344055,0.06123682111501694,0.295036256313324,-0.28750765323638916,0.13825573027133942,0.31902241706848145,-0.28750765323638916,0.13825573027133942,0.31902241706848145,-0.2875080108642578,0.13825559616088867,0.31902268528938293,False,False,1.4566006138920784,0.9238999336957932,-1.0,-0.5,1.1180340051651,-1.0,-1.0,368.6793518066406,586.9439086914062,368.6793518066406,586.9439086914062,4.200384140014648,5.900609970092773,3.60038423538208,5.60060977935791,-0.5999999046325684,-0.3000001907348633,0.670820415019989,-0.24999237060546875,0.14556312561035156,0.28928327560424805,0.08702439069747925,2.391639232635498,0.0,3.0000000000000004,1.5,3.0,True,,False,False,-0.2705559883274923,-0.5002124331104557,0.11304385746854709,False,,False,caught
