step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,policy_dt_s,policy_loop_hz_inst,policy_deadline_overrun_s,policy_deadline_overrun,servo_dt_s,servo_loop_hz_inst,servo_target_age_s,servo_interpolation_phase,servo_command_sequence,servo_policy_step,servo_commanded_world_x,servo_commanded_world_y,servo_commanded_world_z,servo_target_world_x,servo_target_world_y,servo_target_world_z,servo_segment_start_world_x,servo_segment_start_world_y,servo_segment_start_world_z,servo_segment_end_world_x,servo_segment_end_world_y,servo_segment_end_world_z,servo_segment_start_perf,servo_segment_end_perf,servo_segment_elapsed_s,servo_segment_duration_s,servo_pending_segment_count,servo_command_step_limited,servo_command_step_limited_count,servo_publish_rejected_count,servo_tracking_error_cm,servo_target_error_cm,servo_deadline_overrun_s,servo_deadline_overrun_count,servo_watchdog_stopped,servo_stop_reason,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,virtual_hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,virtual_hand_action_x,virtual_hand_action_y,virtual_hand_action_norm,virtual_hand_command_dx_cm,virtual_hand_command_dy_cm,virtual_hand_command_norm_cm,virtual_hand_delayed_dx_cm,virtual_hand_delayed_dy_cm,virtual_hand_delayed_norm_cm,virtual_hand_smoothed_dx_cm,virtual_hand_smoothed_dy_cm,virtual_hand_smoothed_norm_cm,virtual_hand_exec_dx_cm,virtual_hand_exec_dy_cm,virtual_hand_exec_norm_cm,virtual_hand_actual_dx_cm,virtual_hand_actual_dy_cm,virtual_hand_actual_norm_cm,virtual_hand_accel_clipped,virtual_hand_workspace_clipped,virtual_hand_policy_inference_ms,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,planned_anchor_x_cm,planned_anchor_y_cm,planned_target_x_cm,planned_target_y_cm,planned_delta_dx_cm,planned_delta_dy_cm,planned_delta_norm_cm,actual_robot_move_dx_cm,actual_robot_move_dy_cm,actual_robot_move_norm_cm,actual_to_planned_step_projection,planned_endpoint_actual_lag_cm,planned_endpoint_actual_lag_excess_cm,servo_follower_lag_allowance_cm,servo_lag_warning_cm,servo_lag_hard_limit_cm,servo_publish_accepted,servo_publish_reject_reason,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1787728753.4368632,4.0046870708465576e-07,,,,,4.0046870708465576e-07,False,,,0.00042430032044649124,1.0,0,-1,-0.22711166063167612,-0.5227088050557167,0.113,-0.22711166063167612,-0.5227088050557167,0.113,-0.22711166063167612,-0.5227088050557167,0.113,-0.22711166063167612,-0.5227088050557167,0.113,7269958.4527202,7269958.4527202,0.00042430032044649124,0.0,1,False,0,0,0.00331931239536107,0.00331931239536107,0.0,0,False,,False,,,,,False,False,False,,11.71402359008789,3.423945426940918,7.499039173126221,5.000126838684082,,,4.500049114227295,True,0.288611221,0.554899431908,2,-1.0,1.0,1.4142135381698608,-0.2886112332344055,0.2886112332344055,0.40815791487693787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1.8907999619841576,2.616199664771557,-0.2830131947994232,-0.47604987025260925,0.5538230538368225,0.0,0.0,750.508544921875,494.0517578125,750.508544921875,494.0517578125,7.498992919921875,4.999864101409912,7.3291850090026855,4.714234352111816,-0.16980791091918945,-0.2856297492980957,0.33229365944862366,0.0,0.0,0.0,,0.0002667774970177561,0.0,3.0000000000000004,1.5,3.0,True,,False,False,-0.22711764933394402,-0.5227212157855345,0.1129698024387022,False,,False,caught
1,1787728753.4877138,0.05065100081264973,0.05065060034394264,19.74310261298988,0.05065060034394264,19.74310261298988,0.0006510009989142418,False,0.008010799996554852,124.83147755905316,0.047330900095403194,0.9466180054344907,1,0,-0.22568343320938677,-0.5089969089875797,0.113,-0.22532937811558035,-0.5055977538019956,0.113,-0.22711166063167612,-0.5227088050557167,0.113,-0.22532937811558035,-0.5055977538019956,0.113,7269958.4585087,7269958.5085087,0.047330900095403194,0.049999999813735485,1,True,5,0,1.333024844523466,1.6747784068060978,1.0799996554851365e-05,1,False,,True,1,0.029506400227546692,,,False,False,False,,11.71402359008789,3.423945426940918,7.494964122772217,4.991932392120361,,,4.501005172729492,True,0.288611221,0.554899431908,2,-0.47121381759643555,1.0,1.105460286140442,-0.13599760830402374,0.2886112332344055,0.3190482556819916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1.9789999350905418,1.652199774980545,-0.03806840628385544,-0.8991142511367798,0.8999198079109192,-0.2830131947994232,-0.47604987025260925,748.169677734375,437.51544189453125,748.169677734375,437.51544189453125,7.3291850090026855,4.714234352111816,7.306344032287598,4.174765586853027,-0.02284097671508789,-0.5394687652587891,0.5399520993232727,-0.004075050354003906,-0.008194446563720703,0.009151775389909744,0.027464035898447037,0.3234175443649292,0.0,3.0000000000000004,1.5,3.0,True,,False,False,-0.22703131495197387,-0.5222588348011354,0.11300788260262638,False,,False,caught
2,1787728753.536521,0.10000260081142187,0.049351599998772144,20.262767570349894,0.049351599998772144,20.262767570349894,2.6011839509010315e-06,False,0.008003399707376957,124.94690213688466,0.044694299809634686,0.8938859995226786,2,1,-0.2184954366024594,-0.49548780309426416,0.113,-0.20995696401123987,-0.4819060610686376,0.113,-0.22532937811558035,-0.5055977538019956,0.113,-0.20995696401123987,-0.4819060610686376,0.113,7269958.5091988,7269958.5591988,0.044694299809634686,0.049999999813735485,1,True,11,0,2.2386135492280284,3.822306797571251,3.399707376956773e-06,1,False,,True,2,0.022238200530409813,0.02947000041604042,33.932812551156374,False,False,False,,11.71402359008789,3.423945426940918,7.440162181854248,4.8929033279418945,,,4.519261837005615,True,0.288611221,0.554899431908,2,-1.0,0.5929092168807983,1.1625580787658691,-0.2886112332344055,0.17112025618553162,0.33552733063697815,-0.2886112332344055,0.2886112332344055,0.40815791487693787,-0.1601502150297165,0.1601502150297165,0.22648660838603973,-0.1601502150297165,0.1601502150297165,0.22648660838603973,-0.16015052795410156,0.16015028953552246,0.22648687660694122,False,False,1.2287003919482231,1.7045000568032265,0.042921282351017,-0.634974479675293,0.6364234685897827,-0.03806840628385544,-0.8991142511367798,750.8067016601562,397.5882263183594,750.8067016601562,397.5882263183594,7.306344032287598,4.174765586853027,7.332096576690674,3.79378080368042,0.025752544403076172,-0.3809847831726074,0.38185417652130127,-0.05480194091796875,-0.0990290641784668,0.11318130791187286,0.18753263354301453,0.7304992079734802,0.0,3.0000000000000004,1.5,3.0,True,,False,False,-0.22619875831144615,-0.5165066616814464,0.11292596879969505,False,,False,caught
3,1787728753.5857618,0.1500020008534193,0.04999940004199743,20.000239986080658,0.04999940004199743,20.000239986080658,2.0014122128486633e-06,False,0.008017300628125668,124.73026101726535,0.04435920063406229,0.8622060189478323,3,2,-0.20985227488907918,-0.4827934702335194,0.113,-0.19780273705254006,-0.4661054410899688,0.113,-0.20995696401123987,-0.4819060610686376,0.113,-0.19780273705254006,-0.4661054410899688,0.113,7269958.5591988,7269958.609198799,0.04311030078679323,0.049999999813735485,1,True,17,0,2.5776263322573505,4.625910664911751,1.7300628125667405e-05,1,False,,True,3,0.009407100267708302,0.056615499779582024,17.66300754905007,False,False,False,,11.553873062133789,3.5840957164764404,7.379465579986572,4.673879146575928,,,4.314313888549805,True,0.288611221,0.554899431908,2,-1.0,1.0,1.4142135381698608,-0.2886112332344055,0.2886112332344055,0.40815791487693787,-0.13599760830402374,0.2886112332344055,0.3190482556819916,-0.14674809575080872,0.2314331978559494,0.27403709292411804,-0.14674809575080872,0.2314331978559494,0.27403709292411804,-0.14674854278564453,0.23143315315246582,0.27403730154037476,False,False,1.1517005041241646,1.5818001702427864,-0.08225711435079575,-0.6614243984222412,0.6665196418762207,0.042921282351017,-0.634974479675293,745.7528686523438,355.99786376953125,745.7528686523438,355.99786376953125,7.332096576690674,3.79378080368042,7.282742500305176,3.396926164627075,-0.04935407638549805,-0.3968546390533447,0.3999117612838745,-0.06069660186767578,-0.2190241813659668,0.22727882862091064,0.5615549087524414,0.8813721537590027,0.0,3.0000000000000004,1.5,3.0,True,,False,False,-0.22204800953413562,-0.5055014119476106,0.11282914786669168,False,,False,caught
4,1787728753.639652,0.20360590051859617,0.05360389966517687,18.6553591482382,0.05360389966517687,18.6553591482382,0.003605901263654232,True,0.008011800236999989,124.81589286036032,0.050678400322794914,0.9835480190200657,4,3,-0.20004920224388967,-0.4677993005852161,0.113,-0.18763261832503553,-0.44739405310419683,0.113,-0.19780273705254006,-0.4661054410899688,0.113,-0.18763261832503553,-0.44739405310419683,0.113,7269958.609198799,7269958.659198799,0.04917740076780319,0.049999999813735485,1,True,24,0,3.1159375391276036,5.504404592264899,1.180023699998839e-05,1,False,,False,,,,,False,False,False,,11.407124519348145,3.8155288696289062,7.353263854980469,4.434487819671631,,,4.100841045379639,True,0.288611221,0.554899431908,2,-1.0,1.0,1.4142135381698608,-0.2886112332344055,0.2886112332344055,0.40815791487693787,-0.2886112332344055,0.17112025618553162,0.33552733063697815,-0.22546806931495667,0.1979655623435974,0.3000437021255493,-0.22546806931495667,0.1979655623435974,0.3000437021255493,-0.22546768188476562,0.1979656219482422,0.3000434339046478,False,False,1.3448996469378471,2.1361997351050377,-0.0953684076666832,-0.7680937051773071,0.7739916443824768,-0.08225711435079575,-0.6614243984222412,739.8934326171875,307.70013427734375,739.8934326171875,307.70013427734375,7.282742500305176,3.396926164627075,7.225521564483643,2.936069965362549,-0.0572209358215332,-0.46085619926452637,0.4643949568271637,-0.026201725006103516,-0.23939132690429688,0.240820974111557,0.6021201014518738,1.039955496788025,0.0,3.0000000000000004,1.5,3.0,True,,False,False,-0.2159618025782633,-0.49458736973173545,0.11269149266742898,False,,False,caught
5,1787728753.6858096,0.2500032000243664,0.046397299505770206,21.552978527891153,0.046397299505770206,21.552978527891153,3.2009556889533997e-06,False,0.008020100183784962,124.6867217471672,0.045249199494719505,0.9049839932657182,5,4,-0.19231539864323688,-0.45452898057671876,0.113,-0.17603439608048807,-0.42577498860920104,0.113,-0.18763261832503553,-0.44739405310419683,0.113,-0.17603439608048807,-0.42577498860920104,0.113,7269958.6611753,7269958.7111753,0.045249199494719505,0.049999999813735485,1,True,30,0,3.2641290636718834,6.568194933621527,2.0100183784961534e-05,1,False,,True,4,0.041330999694764614,0.06283610034734011,15.914418534445712,False,False,False,,11.181656837463379,4.013494491577148,7.334913730621338,4.168553829193115,,,3.849867105484009,True,0.288611221,0.554899431908,2,-1.0,1.0,1.4142135381698608,-0.2886112332344055,0.2886112332344055,0.40815791487693787,-0.2886112332344055,0.2886112332344055,0.40815791487693787,-0.2605060040950775,0.24826481938362122,0.3598594069480896,-0.2605060040950775,0.24826481938362122,0.3598594069480896,-0.26050567626953125,0.24826478958129883,0.3598591685295105,False,False,1.1855000630021095,1.8458999693393707,-0.20045047998428345,-0.845945417881012,0.8693699240684509,-0.0953684076666832,-0.7680937051773071,727.5777587890625,254.507080078125,727.5777587890625,254.507080078125,7.225521564483643,2.936069965362549,7.105251312255859,2.4285025596618652,-0.1202702522277832,-0.5075674057006836,0.5216221213340759,-0.01835012435913086,-0.2659339904785156,0.26656633615493774,0.5731512904167175,1.2373290061950684,0.0,3.0000000000000004,1.5,3.0,True,,False,False,-0.20875994760345884,-0.4827221794542939,0.11258262609675927,False,,False,caught
6,1787728753.7366405,0.30000360030680895,0.05000040028244257,19.99983988830477,0.05000040028244257,19.99983988830477,3.6014243960380554e-06,False,0.008006900548934937,124.89227184581657,0.04656070005148649,0.8657280015413761,6,5,-0.18518526946372466,-0.4409264791324795,0.113,-0.16517639111879218,-0.40019392288719,0.113,-0.17603439608048807,-0.42577498860920104,0.113,-0.16517639111879218,-0.40019392288719,0.113,7269958.7111753,7269958.7611753,0.0432863999158144,0.049999999813735485,1,True,36,0,3.347568006673179,7.8833642777733655,6.900548934936357e-06,1,False,,True,5,0.015511900186538696,0.06825259979814291,14.651456544622482,False,False,False,,10.921151161193848,4.261759281158447,7.312916278839111,3.891925811767578,,,3.62713885307312,True,0.288611221,0.554899431908,2,-1.0,-0.3417397737503052,1.0567810535430908,-0.2886112332344055,-0.09862993657588959,0.30499887466430664,-0.2886112332344055,0.2886112332344055,0.40815791487693787,-0.2761014401912689,0.27065300941467285,0.3866329789161682,-0.2761014401912689,0.27065300941467285,0.3866329789161682,-0.27610111236572266,0.27065324783325195,0.38663288950920105,False,False,1.4797002077102661,1.8507996574044228,-0.3136337995529175,-0.8884957432746887,0.9422265291213989,-0.20045047998428345,-0.845945417881012,708.3080444335938,198.63845825195312,708.3080444335938,198.63845825195312,7.105251312255859,2.4285025596618652,6.9170708656311035,1.8954050540924072,-0.18818044662475586,-0.533097505569458,0.5653359889984131,-0.021997451782226562,-0.2766280174255371,0.27750125527381897,0.5257569551467896,1.4780839681625366,0.0,3.0000000000000004,1.5,3.0,True,,False,False,-0.2013456107037319,-0.4702387215146097,0.11249307449466811,False,,False,caught
7,1787728753.7848861,0.3500030003488064,0.04999940004199743,20.000239986080658,0.04999940004199743,20.000239986080658,3.0016526579856873e-06,False,0.00801329966634512,124.79253761092674,0.04418030008673668,0.8272760019722432,7,6,-0.17888412706954843,-0.426921646159395,0.113,-0.15603390762985075,-0.3711577148874589,0.113,-0.16517639111879218,-0.40019392288719,0.113,-0.15603390762985075,-0.3711577148874589,0.113,7269958.7611753,7269958.8111753,0.04136379994452,0.049999999813735485,1,True,42,0,3.385722336436312,9.40589643664326,1.329966634511931e-05,1,False,,False,,,,,False,False,False,,10.645050048828125,4.532412528991699,7.283424377441406,3.6090965270996094,,,3.4861209392547607,False,0.288611221,0.554899431908,2,-1.0,-1.0,1.4142135381698608,-0.2886112332344055,-0.2886112332344055,0.40815791487693787,-0.2886112332344055,0.2886112332344055,0.40815791487693787,-0.2830429673194885,0.2806181311607361,0.39857226610183716,-0.2830429673194885,0.2806181311607361,0.39857226610183716,-0.28304290771484375,0.28061819076538086,0.39857226610183716,False,False,1.1267000809311867,2.2314004600048065,-0.38813015818595886,-0.909111499786377,0.9884982109069824,-0.3136337995529175,-0.8884957432746887,684.4613037109375,141.47352600097656,684.4613037109375,141.47352600097656,6.9170708656311035,1.8954050540924072,6.684192657470703,1.349938154220581,-0.2328782081604004,-0.5454668998718262,0.5930989980697632,-0.029491901397705078,-0.28282928466796875,0.2843627631664276,0.48912087082862854,1.7524136304855347,0.0,3.0000000000000004,1.5,3.0,True,,False,False,-0.19399902784395745,-0.4572124718627925,0.11243677115615636,False,,False,caught
8,1787728753.8397949,0.4017136003822088,0.05171060003340244,19.338394823383414,0.05171060003340244,19.338394823383414,0.0017136018723249435,True,0.00801759958267212,124.72561016407336,0.05132860038429499,0.94840800742957,8,7,-0.17258802579977275,-0.4101474253023407,0.113,-0.14844962619182805,-0.3400507996611581,0.113,-0.15603390762985075,-0.3711577148874589,0.113,-0.14844962619182805,-0.3400507996611581,0.113,7269958.8111753,7269958.8611753,0.04742040019482374,0.049999999813735485,1,True,49,0,3.4149009802451133,10.82200690980999,1.7599582672118974e-05,1,False,,True,6,0.04963700007647276,0.07564130052924156,13.220290938987993,False,False,False,,10.362007141113281,4.81303071975708,7.23388671875,3.280165910720825,,,3.4835057258605957,False,0.288611221,0.554899431908,2,-1.0,-0.22893208265304565,1.0258703231811523,-0.2886112332344055,-0.06607236713171005,0.296077698469162,-0.2886112332344055,-0.09862993657588959,0.30499887466430664,-0.2861327826976776,0.07017362117767334,0.2946121394634247,-0.2861327826976776,0.07017362117767334,0.2946121394634247,-0.2861328125,0.07017374038696289,0.29461219906806946,False,False,1.7463993281126022,2.3982999846339226,-0.46080800890922546,-0.9188327789306641,1.0279093980789185,-0.38813015818595886,-0.909111499786377,656.1492919921875,83.69731140136719,656.1492919921875,83.69731140136719,6.684192657470703,1.349938154220581,6.407707691192627,0.7986384630203247,-0.27648496627807617,-0.5512996912002563,0.6167457103729248,-0.04953765869140625,-0.3289306163787842,0.3326399326324463,0.5428517460823059,2.0069735050201416,0.0,3.0000000000000004,1.5,3.0,True,,False,False,-0.186000889987744,-0.4415447930901701,0.11232528468320552,False,,False,caught
9,1787728753.8859622,0.4500032002106309,0.04828959982842207,20.708392770971454,0.04828959982842207,20.708392770971454,3.201887011528015e-06,False,0.008091299794614315,123.58953757536142,0.04538920056074858,0.9077840145967305,9,8,-0.1679656144772849,-0.39550073180454115,0.113,-0.14205755306196044,-0.3071426041131842,0.113,-0.14844962619182805,-0.3400507996611581,0.113,-0.14205755306196044,-0.3071426041131842,0.113,7269958.8613175,7269958.911317499,0.04538920056074858,0.049999999813735485,1,True,55,0,3.425814447538525,12.627293402409045,9.129979461431487e-05,1,False,,True,7,0.038373200222849846,0.0677787996828556,14.753875912218998,False,False,False,,10.075874328613281,4.883204460144043,7.174790859222412,2.999861478805542,,,3.4587955474853516,False,0.288611221,0.554899431908,2,-1.0,-1.0,1.4142135381698608,-0.2886112332344055,-0.2886112332344055,0.40815791487693787,-0.2886112332344055,-0.2886112332344055,0.40815791487693787,-0.287508100271225,-0.12891584634780884,0.31508761644363403,-0.287508100271225,-0.12891584634780884,0.31508761644363403,-0.2875080108642578,-0.12891578674316406,0.3150874972343445,False,False,1.2060999870300293,1.6131997108459473,-0.5350797176361084,-0.8453748226165771,1.0004843473434448,-0.46080800890922546,-0.9188327789306641,623.2739868164062,52.400001525878906,623.2739868164062,30.54014015197754,6.407707691192627,0.7986384630203247,6.086659908294678,0.5,-0.3210477828979492,-0.2986384630203247,0.4384707808494568,-0.05909585952758789,-0.2803044319152832,0.28646621108055115,0.4492165148258209,2.3310511112213135,0.0,3.0000000000000004,1.5,3.0,True,,True,False,-0.1798064202169468,-0.4276387055965602,0.11224738929355504,False,,False,caught
