run_id,pair_id,trial_index,internal_seed,hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,policy_freq_target_hz,servo_mode,servo_freq_target_hz,servo_target_timeout_s,servo_lookahead_time_s,servo_interpolation_mode,servo_trajectory_mode,servo_lag_warning_cm,servo_lag_hard_limit_cm,order_in_pair,controller,status,rollout_dir,done_reason,caught,duration_s,duration_target_s,num_control_steps,zpd_time_s,tiz_fixed_horizon_fraction,zpd_observed_occupancy_fraction,zpd_occupancy_fraction,distance_cm_mean,distance_cm_std,distance_cm_min,distance_cm_final,too_close_fraction,too_far_fraction,min_boundary_clearance_cm,boundary_occupancy_fraction,target_clipped_fraction,target_step_limited_fraction,control_loop_rate_hz_mean,policy_loop_rate_hz_mean,servo_loop_rate_hz_mean,servo_target_age_s_mean,servo_tracking_error_cm_mean,servo_tracking_error_cm_p95,servo_target_error_cm_mean,planned_endpoint_actual_lag_cm_mean,planned_endpoint_actual_lag_cm_p95,planned_endpoint_actual_lag_cm_max,planned_endpoint_actual_lag_excess_cm_p95,planned_endpoint_actual_lag_excess_cm_max,servo_follower_lag_allowance_cm,actual_to_planned_step_projection_mean,actual_to_planned_step_projection_p50,servo_command_step_limited_count,servo_publish_rejected_count,servo_deadline_overrun_count,servo_publish_latency_ms_mean,servo_publish_latency_ms_p95,servo_endpoint_lateness_s_p95,servo_endpoint_late_count,servo_watchdog_stop_count,policy_deadline_overrun_count,policy_schedule_resync_count,mpc_command_actual_lag_cm_mean,mpc_command_actual_lag_cm_p95,mpc_predicted_min_hand_distance_cm_mean,camera_update_rate_hz_mean,policy_inference_latency_ms_mean,policy_inference_latency_ms_p95,safety_stop_count,microrobot_detection_fraction,microrobot_tcp_error_cm_mean,microrobot_tcp_error_cm_p95,virtual_hand_actual_move_cm_mean,virtual_hand_actual_move_cm_p95,virtual_hand_actual_to_stride_ratio_mean,virtual_hand_accel_clipped_fraction,virtual_hand_workspace_clipped_fraction,virtual_hand_policy_latency_ms_mean,virtual_hand_policy_latency_ms_p95
trial001_league,trial001,1,1,0.202364325,0.803824171214,3,20.0,interpolated,125.0,0.15,0.05,committed_timestamped_segments_v1,committed_timestamped_segments_v1,1.5,3.0,1,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260826_164228_physical_dr40_virtual_pair\rollouts\20260826_164238_physical_dr40_trial001_league_virtual_h1_trial001,timeout,False,59.95241779927164,60.0,1200,49.139545696787536,0.8189924282797922,0.8191666666666667,0.8191666666666667,4.270902427236239,0.6551061642843439,2.6705431938171387,4.342562198638916,0.16166666666666665,0.019166666666666665,0.32022113800048757,0.04416666666666667,0.33416666666666667,0.0,20.045678992548556,20.045678992548556,124.43772460199087,0.052075815140269696,1.8281708184961714,2.138705268880558,14.310365403130445,2.899629136092699,4.8346795558929445,5.2549147605896,2.834679555892944,3.2549147605895996,2.0,0.5219484022704676,0.4847865104675293,7454.0,28.0,3.0,5.129822137298336,9.047823259606957,0.0,0,0,319,0,,,,16.71059779042491,1.81714956726258,2.456255303695798,0,,,,0.25367282851133494,0.2861848473548889,1.2535452012667496,0.01,0.0825,1.3445063354447484,1.9397249445319176
trial001_cv_mpc,trial001,1,1,0.202364325,0.803824171214,3,20.0,interpolated,125.0,0.15,0.05,committed_timestamped_segments_v1,committed_timestamped_segments_v1,1.5,3.0,2,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260826_164228_physical_dr40_virtual_pair\rollouts\20260826_164355_physical_dr40_trial001_cv_mpc_virtual_h1_trial001,caught,True,8.804087699390948,60.0,177,5.5087919998914,0.09181319999819,0.6214689265536724,0.6214689265536724,3.6020934137247376,0.9265196821849088,1.4274812936782837,1.4274812936782837,0.3785310734463277,0.0,0.5073167800903313,0.0,0.0,0.0,20.03182473424246,20.03182473424246,124.3298081575841,0.05020659965184112,1.5790265815971405,2.1248275010665307,5.0755359613501945,1.0327506188957987,2.8450436592102037,3.797685384750366,0.8450436592102039,1.7976853847503662,2.0,0.42843145473549765,0.5083237886428833,933.0,0.0,1.0,4.645878083961592,8.181849960237741,0.0,0,0,45,0,1.0227959456432556,2.8504010438919067,3.6974015642296183,17.04115523164477,1.1371863550845196,1.5762252733111382,0,,,,0.2417371068149805,0.28609753400087357,1.1945638482226573,0.03977272727272727,0.0,1.6904432136057452,2.313875127583742
trial002_cv_mpc,trial002,2,2,0.152322427,0.558178210011,0,20.0,interpolated,125.0,0.15,0.05,committed_timestamped_segments_v1,committed_timestamped_segments_v1,1.5,3.0,1,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260826_164228_physical_dr40_virtual_pair\rollouts\20260826_164420_physical_dr40_trial002_cv_mpc_virtual_h1_trial002,caught,True,10.804589000530541,60.0,217,7.656006599776447,0.1276001099962741,0.7050691244239631,0.7050691244239631,3.8200076961297595,0.8249536551850505,1.4501941204071045,1.4501941204071045,0.29493087557603687,0.0,1.0530288934707641,0.0,0.0,0.0,20.031268743525082,20.031268743525082,124.35904621653815,0.05025172934004788,1.5403958255050056,2.130150752557216,4.7329344590108855,0.9467157232294809,2.6927515029907223,3.734736680984497,0.6927515029907224,1.734736680984497,2.0,0.48018913347226927,0.48590153455734253,1014.0,0.0,2.0,4.634860484791851,8.142635226249695,0.0,0,0,53,0,0.9374822093629552,2.622089922428131,3.884120230873426,16.49905792917376,1.138010157134246,1.6368497163057327,0,,,,0.18293677053103843,0.21517572924494743,1.2009838218441626,0.0,0.0,1.7121009037105575,2.373400377109647
trial002_league,trial002,2,2,0.152322427,0.558178210011,0,20.0,interpolated,125.0,0.15,0.05,committed_timestamped_segments_v1,committed_timestamped_segments_v1,1.5,3.0,2,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260826_164228_physical_dr40_virtual_pair\rollouts\20260826_164448_physical_dr40_trial002_league_virtual_h1_trial002,timeout,False,59.9520953996107,60.0,1200,46.100187696516514,0.7683364616086086,0.7683333333333333,0.7683333333333333,4.408487836917241,0.7604158902373074,2.463399887084961,4.436697959899902,0.15166666666666667,0.08,0.3674394607543938,0.0125,0.3491666666666667,0.0,20.044421062278435,20.044421062278435,124.48237052510335,0.05186345234280452,1.8215783417744138,2.136504620485497,13.616354636136123,2.764444234736702,4.722503638267517,5.223385334014893,2.7225036382675167,3.2233853340148926,2.0,0.5336497582576921,0.49971459805965424,7435.0,25.0,2.0,5.002434735602521,8.70272945612669,0.0,0,0,311,0,,,,16.770200434046185,1.7828366726947327,2.458179416134953,0,,,,0.19038511170695224,0.21537023186683654,1.249882341403031,0.0,0.005,1.334251423055927,1.948354858905077
trial003_league,trial003,3,3,0.117129833,0.837225530542,1,20.0,interpolated,125.0,0.15,0.05,committed_timestamped_segments_v1,committed_timestamped_segments_v1,1.5,3.0,1,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260826_164228_physical_dr40_virtual_pair\rollouts\20260826_164605_physical_dr40_trial003_league_virtual_h1_trial003,timeout,False,59.95000119972974,60.0,1200,51.2029990023002,0.8533833167050033,0.8533333333333334,0.8533333333333334,4.489208707809448,0.6766824400451542,3.0756983757019043,3.4141314029693604,0.07916666666666666,0.0675,0.2650531053543091,0.029166666666666667,0.3925,0.0,20.050620586091185,20.050620586091185,124.46123153973002,0.05201834458935385,1.8315884181679303,2.142321826138272,12.040374952595227,2.440725344760722,4.645744228363037,5.222187042236328,2.645744228363037,3.222187042236328,2.0,0.6086809218468818,0.5258435606956482,7294.0,24.0,2.0,5.197724263297812,9.056184440851212,0.0,0,0,328,0,,,,16.525922274805314,1.834692748573919,2.4741556495428085,0,,,,0.15139844711559514,0.16564622521400452,1.2925694781413641,0.021666666666666667,0.0,1.3496012605416279,1.9624350126832724
trial003_cv_mpc,trial003,3,3,0.117129833,0.837225530542,1,20.0,interpolated,125.0,0.15,0.05,committed_timestamped_segments_v1,committed_timestamped_segments_v1,1.5,3.0,2,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260826_164228_physical_dr40_virtual_pair\rollouts\20260826_164721_physical_dr40_trial003_cv_mpc_virtual_h1_trial003,caught,True,19.100001899525523,60.0,383,14.552098599262536,0.2425349766543756,0.7597911227154047,0.7597911227154047,3.925170216174412,0.7727802618187085,1.4825314283370972,1.4825314283370972,0.2402088772845953,0.0,0.7693635940551751,0.0,0.0,0.0,20.042717359352828,20.042717359352828,124.42289588876979,0.050452907827461514,1.3836103415555454,2.1418280394359557,3.471519366756116,0.6997061598615589,2.2430083990097045,3.1207568645477295,0.24300839900970447,1.1207568645477295,2.0,0.3338185327284009,0.3907853066921234,1552.0,0.0,1.0,4.704453419230839,8.223998453468084,0.0,0,0,100,0,0.6976260909145083,2.243250501155853,3.914226679901802,16.669420888131597,1.167192409078332,1.9841254688799375,0,,,,0.14185852317519837,0.16564655303955078,1.2111220475760294,0.049738219895287955,0.0,1.679072792870992,2.286259736865759
trial004_cv_mpc,trial004,4,4,0.288611221,0.554899431908,2,20.0,interpolated,125.0,0.15,0.05,committed_timestamped_segments_v1,committed_timestamped_segments_v1,1.5,3.0,1,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260826_164228_physical_dr40_virtual_pair\rollouts\20260826_164757_physical_dr40_trial004_cv_mpc_virtual_h1_trial004,caught,True,4.200002699159086,60.0,85,2.896651499904692,0.048277524998411536,0.6823529411764706,0.6823529411764706,3.637568639306461,0.6057796844307138,1.4072898626327515,1.4072898626327515,0.3176470588235294,0.0,1.0545951843261712,0.0,0.0,0.0,20.03232560846306,20.03232560846306,124.31298271116054,0.04973101781352478,1.6842497972090582,2.1437981362901817,5.786276758122005,1.1643675416194395,2.1420093536376954,2.417619466781616,0.14200935363769523,0.4176194667816162,2.0,0.4957872205961715,0.4928344786167145,473.0,0.0,1.0,4.52100854766156,7.72475730627775,0.0,0,0,14,0,1.1632384605895605,2.1435040354728696,3.817688063496635,17.36666265222539,1.1584547326146137,1.8090751022100433,0,,,,0.31403518632231725,0.3885332807898521,1.088090702898614,0.0,0.0,1.7104476712466705,2.2192698437720537
trial004_league,trial004,4,4,0.288611221,0.554899431908,2,20.0,interpolated,125.0,0.15,0.05,committed_timestamped_segments_v1,committed_timestamped_segments_v1,1.5,3.0,2,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260826_164228_physical_dr40_virtual_pair\rollouts\20260826_164818_physical_dr40_trial004_league_virtual_h1_trial004,caught,True,1.8545717997476459,60.0,38,0.6013805000111461,0.010023008333519101,0.3157894736842105,0.3157894736842105,3.190356533778341,0.7143176771355512,1.4811923503875732,1.4811923503875732,0.6842105263157895,0.0,0.6527373909950256,0.0,0.39473684210526316,0.0,20.011171443530962,20.011171443530962,124.56859886613111,0.05078916124215251,1.830102277503821,2.138127228920348,12.687900547292692,2.5598318857695346,3.867754828929901,3.9855306148529053,1.867754828929901,1.9855306148529053,2.0,0.3734582796848069,0.4044751822948456,230.0,0.0,1.0,5.7206953296790255,9.856742434203621,0.0,0,0,13,0,,,,16.67551001136331,1.8766945781739983,2.4421798065304756,0,,,,0.33368542146038366,0.4078724145889282,1.1561761885217336,0.0,0.0,1.4319459379122064,2.1169792860746375
trial005_league,trial005,5,5,0.261000585,0.730207180583,0,20.0,interpolated,125.0,0.15,0.05,committed_timestamped_segments_v1,committed_timestamped_segments_v1,1.5,3.0,1,league,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260826_164228_physical_dr40_virtual_pair\rollouts\20260826_164836_physical_dr40_trial005_league_virtual_h1_trial005,caught,True,1.3038821006193757,60.0,27,0.8007932007312775,0.013346553345521291,0.5925925925925926,0.5925925925925926,3.4532722455483897,0.5366198946640044,1.489192008972168,1.489192008972168,0.4074074074074074,0.0,0.6598436355590813,0.0,0.37037037037037035,0.0,19.982732416235187,19.982732416235187,124.09004912819653,0.0500976174586901,1.72424641397294,2.1191693107479397,10.409571923895529,2.3550839549268994,4.493478584289551,4.566420555114746,2.4934785842895506,2.566420555114746,2.0,0.021377607532169506,0.3867744207382202,155.0,0.0,1.0,5.601029699811568,9.91312856785953,0.0,0,0,8,0,,,,19.77767415919803,1.846896054653021,2.4895246606320143,0,,,,0.345548805135947,0.3689952567219734,1.3239388146809976,0.0,0.0,1.4482883808131402,2.4153999984264374
trial005_cv_mpc,trial005,5,5,0.261000585,0.730207180583,0,20.0,interpolated,125.0,0.15,0.05,committed_timestamped_segments_v1,committed_timestamped_segments_v1,1.5,3.0,2,cv_mpc,completed,C:\Users\admin\Desktop\huifeng\RL\data\deployment_batches\20260826_164228_physical_dr40_virtual_pair\rollouts\20260826_164854_physical_dr40_trial005_cv_mpc_virtual_h1_trial005,caught,True,4.851879400201142,60.0,98,1.2500027995556593,0.020833379992594322,0.25510204081632654,0.25510204081632654,3.039361139949487,0.6857323746256643,1.4484333992004395,1.4484333992004395,0.7448979591836735,0.0,1.13250572681427,0.0,0.0,0.0,20.036216126104733,20.036216126104733,124.31707358813203,0.050415020017903676,1.8132637537770149,2.1420663280097716,10.389930412875426,2.1163630357857945,3.2441742777824394,3.8733816146850586,1.2441742777824394,1.8733816146850586,2.0,0.5858951072219047,0.5417530536651611,592.0,0.0,1.0,4.798592404299176,8.44145603477954,0.0,0,0,26,0,2.098249442188895,3.171476984024047,3.729674570339242,17.518624092189523,1.1427927877485138,1.4640603214502335,0,,,,0.31429217579131274,0.36864844560623167,1.2041818825475534,0.0,0.0,1.7378237290480703,2.3438399657607074
