step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,policy_dt_s,policy_loop_hz_inst,policy_deadline_overrun_s,policy_deadline_overrun,policy_schedule_resynced,policy_step_start_perf,servo_publish_perf,servo_publish_latency_ms,servo_endpoint_deadline_perf,servo_endpoint_lateness_s,servo_dt_s,servo_loop_hz_inst,servo_target_age_s,servo_interpolation_phase,servo_command_sequence,servo_policy_step,servo_commanded_world_x,servo_commanded_world_y,servo_commanded_world_z,servo_target_world_x,servo_target_world_y,servo_target_world_z,servo_segment_start_world_x,servo_segment_start_world_y,servo_segment_start_world_z,servo_segment_end_world_x,servo_segment_end_world_y,servo_segment_end_world_z,servo_segment_start_perf,servo_segment_end_perf,servo_segment_elapsed_s,servo_segment_duration_s,servo_pending_segment_count,servo_command_step_limited,servo_command_step_limited_count,servo_publish_rejected_count,servo_tracking_error_cm,servo_target_error_cm,servo_deadline_overrun_s,servo_deadline_overrun_count,servo_watchdog_stopped,servo_stop_reason,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,virtual_hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,virtual_hand_action_x,virtual_hand_action_y,virtual_hand_action_norm,virtual_hand_command_dx_cm,virtual_hand_command_dy_cm,virtual_hand_command_norm_cm,virtual_hand_delayed_dx_cm,virtual_hand_delayed_dy_cm,virtual_hand_delayed_norm_cm,virtual_hand_smoothed_dx_cm,virtual_hand_smoothed_dy_cm,virtual_hand_smoothed_norm_cm,virtual_hand_exec_dx_cm,virtual_hand_exec_dy_cm,virtual_hand_exec_norm_cm,virtual_hand_actual_dx_cm,virtual_hand_actual_dy_cm,virtual_hand_actual_norm_cm,virtual_hand_accel_clipped,virtual_hand_workspace_clipped,virtual_hand_policy_inference_ms,mpc_prediction_mode,mpc_tracking_alpha,mpc_command_actual_lag_cm,mpc_predicted_first_command_x_cm,mpc_predicted_first_command_y_cm,mpc_predicted_first_actual_x_cm,mpc_predicted_first_actual_y_cm,mpc_predicted_min_hand_distance_cm,mpc_hand_velocity_x_cm_step,mpc_hand_velocity_y_cm_step,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,planned_anchor_x_cm,planned_anchor_y_cm,planned_target_x_cm,planned_target_y_cm,planned_delta_dx_cm,planned_delta_dy_cm,planned_delta_norm_cm,actual_robot_move_dx_cm,actual_robot_move_dy_cm,actual_robot_move_norm_cm,actual_to_planned_step_projection,planned_endpoint_actual_lag_cm,planned_endpoint_actual_lag_excess_cm,servo_follower_lag_allowance_cm,servo_lag_warning_cm,servo_lag_hard_limit_cm,servo_publish_accepted,servo_publish_reject_reason,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1787744474.0726955,2.998858690261841e-07,,,,,2.998858690261841e-07,False,False,7285678.8381538,7285678.8424869,4.333100281655788,7285678.8881538,0.0,,,0.0004580998793244362,1.0,0,-1,-0.29911904876599055,-0.5454594722178443,0.113,-0.29911904876599055,-0.5454594722178443,0.113,-0.29911904876599055,-0.5454594722178443,0.113,-0.29911904876599055,-0.5454594722178443,0.113,7285678.8371436,7285678.8371436,0.0004580998793244362,0.0,1,False,0,0,0.003863832634900248,0.003863832634900248,0.0,0,False,,False,,,,,False,False,False,,4.494729042053223,8.350380897521973,7.499549865722656,5.000232219696045,,,4.500271797180176,True,0.173269383,0.622844029726,0,1.0,-1.0,1.4142135381698608,0.1732693761587143,-0.1732693761587143,0.2450398951768875,0.1732693761587143,-0.1732693761587143,0.2450398951768875,0.10791979730129242,-0.10791979730129242,0.15262164175510406,0.10791979730129242,-0.10791979730129242,0.15262164175510406,0.10791969299316406,-0.10791969299316406,0.15262149274349213,False,False,2.333499491214752,dual_command_actual,0.5,0.00046004680916666985,7.499092102050781,5.000186443328857,7.499320983886719,5.000209331512451,4.500008583068848,0.0,0.0,1.5866002067923546,0.0,0.0,0.0,0.0,0.0,767.9070434570312,524.01953125,767.9070434570312,524.01953125,7.499092102050781,5.000186443328857,7.499092102050781,5.000186443328857,0.0,0.0,0.0,0.0,0.0,0.0,,0.00046004680916666985,0.0,2.0,1.5,3.0,True,,False,False,-0.2991016863073116,-0.5454722562114999,0.11296793701826267,False,,False,caught
1,1787744474.123466,0.05140140000730753,0.0514011001214385,19.454836523682058,0.0514011001214385,19.454836523682058,0.0014014001935720444,True,False,7285678.8881538,7285678.8939165,5.762699991464615,7285678.9381538,0.0,0.008066300302743912,123.97257261297726,0.053058600053191185,1.0,1,0,-0.29947279542955774,-0.5452426469841037,0.113,-0.29947279542955774,-0.5452426469841037,0.113,-0.29911904876599055,-0.5454594722178443,0.113,-0.29947279542955774,-0.5452426469841037,0.113,7285678.8381538,7285678.8881538,0.053058600053191185,0.049999999813735485,1,False,0,0,0.04237328368350818,0.04237328368350818,6.630030274391158e-05,1,False,,True,2,0.0004636002704501152,0.028339000418782234,35.28705971355398,False,False,False,,4.602648735046387,8.242461204528809,7.499258995056152,5.000497817993164,,,4.3474907875061035,True,0.173269383,0.622844029726,0,1.0,-0.6974971294403076,1.2192219495773315,0.1732693761587143,-0.12085489183664322,0.2112538367509842,0.1732693761587143,-0.12085489183664322,0.2112538367509842,0.14862234890460968,-0.11597630381584167,0.18851818144321442,0.14862234890460968,-0.11597630381584167,0.18851818144321442,0.1486225128173828,-0.11597633361816406,0.18851833045482635,False,False,1.9349996000528336,dual_command_actual,0.5,0.0003532809787429869,7.749092102050781,4.750186443328857,7.624175548553467,4.87534236907959,4.371668338775635,0.10791969299316406,-0.10791969299316406,1.368899829685688,0.5,-0.5,0.7071067690849304,0.0,0.0,793.5070190429688,497.81951904296875,793.5070190429688,497.81951904296875,7.499092102050781,5.000186443328857,7.749092102050781,4.750186443328857,0.25,-0.25,0.3535533845424652,-0.00029087066650390625,0.0002655982971191406,0.0003938885638490319,,0.0003532809787429869,0.0,2.0,1.5,3.0,True,,False,False,-0.2991199650192168,-0.5454772960820652,0.11300013920064231,False,,False,caught
2,1787744474.17201,0.10000229999423027,0.04860089998692274,20.575750660359674,0.04860089998692274,20.575750660359674,2.300366759300232e-06,False,False,7285678.9381538,7285678.9421657,4.0119001641869545,7285678.988153799,0.0,0.008176900446414948,122.29572887100963,0.05128150060772896,1.0,2,1,-0.2848996931546428,-0.5403893707623267,0.113,-0.28280419820520536,-0.53969150865863,0.113,-0.29947279542955774,-0.5452426469841037,0.113,-0.28280419820520536,-0.53969150865863,0.113,7285678.8881538,7285678.9381538,0.05128150060772896,0.049999999813735485,1,True,6,0,1.4425878045122302,1.6634401430434753,0.00017690044641494734,1,False,,True,3,0.015883699990808964,0.030285400338470936,33.01921020768942,False,False,False,,4.7512712478637695,8.126484870910645,7.506187438964844,4.98822021484375,,,4.175915241241455,True,0.173269383,0.622844029726,0,-0.622995138168335,-1.0,1.178186297416687,-0.10794597864151001,-0.1732693761587143,0.20414359867572784,-0.10794597864151001,-0.1732693761587143,0.20414359867572784,-0.011179644614458084,-0.1516609638929367,0.1520724594593048,-0.011179640889167786,-0.1516609638929367,0.1520724594593048,-0.011179447174072266,-0.15166091918945312,0.15207239985466003,False,False,1.4747995883226395,dual_command_actual,0.5,0.340092271566391,7.999092102050781,4.500186443328857,7.7526397705078125,4.744203567504883,4.353133201599121,0.12827110290527344,-0.11194801330566406,1.215699128806591,0.5,-0.5,0.7071067690849304,0.5,-0.5,819.1070556640625,471.6195373535156,819.1070556640625,471.6195373535156,7.749092102050781,4.750186443328857,7.999092102050781,4.500186443328857,0.25,-0.25,0.3535533845424652,0.006928443908691406,-0.012277603149414062,0.014097618870437145,0.03841209411621094,0.340092271566391,0.0,2.0,1.5,3.0,True,,False,False,-0.29853746419027216,-0.5450919346993531,0.11305523559241577,False,,False,caught
3,1787744474.2216148,0.15000110026448965,0.04999880027025938,20.000479903411335,0.04999880027025938,20.000479903411335,1.1008232831954956e-06,False,False,7285678.988153799,7285678.9918629,3.7091001868247986,7285679.038153799,0.0,0.00801400002092123,124.78163181799535,0.049720400013029575,0.99440800396505,3,2,-0.27024843173165064,-0.5357775862310556,0.113,-0.26625871635675374,-0.5345317973739871,0.113,-0.28280419820520536,-0.53969150865863,0.113,-0.26625871635675374,-0.5345317973739871,0.113,7285678.9381538,7285678.988153799,0.049720400013029575,0.049999999813735485,1,True,12,0,2.113895266357954,2.531859941648996,1.400002092123015e-05,1,False,,True,4,0.0020419005304574966,0.03291109949350357,30.384885810253568,False,False,False,,4.740091800689697,7.974823951721191,7.62538480758667,4.856270790100098,,,4.248563289642334,True,0.173269383,0.622844029726,0,1.0,-1.0,1.4142135381698608,0.1732693761587143,-0.1732693761587143,0.2450398951768875,0.1732693761587143,-0.1732693761587143,0.2450398951768875,0.10370340198278427,-0.16511961817741394,0.1949843168258667,0.10370340198278427,-0.16511961817741394,0.1949843168258667,0.10370349884033203,-0.16511964797973633,0.19498439133167267,False,False,1.4395993202924728,dual_command_actual,0.5,0.5161910653114319,7.749092102050781,4.000186443328857,7.687238693237305,4.428228378295898,4.462771892547607,0.0817875862121582,-0.12518565356731415,1.114899292588234,-0.5,-1.0,1.1180340051651,0.5,-0.5,793.5070190429688,419.21954345703125,793.5070190429688,419.21954345703125,7.999092102050781,4.500186443328857,7.749092102050781,4.000186443328857,-0.25,-0.5,0.55901700258255,0.11919736862182617,-0.13194942474365234,0.17781637609004974,0.502293586730957,0.5161910653114319,0.0,2.0,1.5,3.0,True,,False,False,-0.29045155860264993,-0.541997294396761,0.11293507942682945,False,,False,caught
4,1787744474.2762713,0.20319769997149706,0.05319659970700741,18.79819397306842,0.05319659970700741,18.79819397306842,0.0031977007165551186,True,False,7285679.038153799,7285679.0456631,7.509300485253334,7285679.088153799,0.0,0.008014900609850883,124.76761081365485,0.05575330089777708,1.0,4,3,-0.26568054586215595,-0.5187367663971896,0.113,-0.2640787344197502,-0.5059439426850509,0.113,-0.26625871635675374,-0.5345317973739871,0.113,-0.2640787344197502,-0.5059439426850509,0.113,7285678.988153799,7285679.038153799,0.05575330089777708,0.049999999813735485,1,True,19,0,2.1044633936771646,3.3274640927675625,1.4900609850883317e-05,1,False,,False,,,,,False,False,False,,4.843795299530029,7.809704303741455,7.834705829620361,4.631909370422363,,,4.363934516906738,True,0.173269383,0.622844029726,0,1.0,-0.7780565023422241,1.2670327425003052,0.1732693761587143,-0.1348133683204651,0.21953797340393066,0.1732693761587143,-0.1348133683204651,0.21953797340393066,0.14703218638896942,-0.14624355733394623,0.20737801492214203,0.14703218638896942,-0.14624355733394623,0.20737801492214203,0.1470322608947754,-0.14624357223510742,0.2073780745267868,False,False,2.6914002373814583,dual_command_actual,0.5,0.6374979019165039,7.749092102050781,3.7501864433288574,7.791898727416992,4.191047668457031,4.432331085205078,0.08038219064474106,-0.14425230026245117,1.3113003224134445,0.0,-0.5,0.5,-0.5,-1.0,793.5070190429688,393.01953125,793.5070190429688,393.01953125,7.749092102050781,4.000186443328857,7.749092102050781,3.7501864433288574,0.0,-0.25,0.25,0.2093210220336914,-0.22436141967773438,0.30684414505958557,0.19152145087718964,0.6374979019165039,0.0,2.0,1.5,3.0,True,,False,False,-0.2763657576151662,-0.5368669147695538,0.11302423472942175,False,,False,caught
5,1787744474.3212492,0.25000139977782965,0.04680369980633259,21.365832276889765,0.04680369980633259,21.365832276889765,1.4007091522216797e-06,False,False,7285679.088153799,7285679.0917582,3.6044009029865265,7285679.138153799,0.0,0.008001599460840225,124.9750134200035,0.04577060043811798,0.9154120121725351,5,4,-0.26217446740570965,-0.5064414418728187,0.113,-0.2577539118968773,-0.49454516678249477,0.113,-0.2640787344197502,-0.5059439426850509,0.113,-0.2577539118968773,-0.49454516678249477,0.113,7285679.038153799,7285679.088153799,0.04577060043811798,0.049999999813735485,1,True,24,0,2.0195385387053317,3.279780801625729,1.5994608402250532e-06,1,False,,True,5,0.022088199853897095,0.06383670028299093,15.664970080955868,False,False,False,,4.990827560424805,7.663460731506348,7.911627292633057,4.3556389808654785,,,4.412794589996338,True,0.173269383,0.622844029726,0,1.0,-1.0,1.4142135381698608,0.1732693761587143,-0.1732693761587143,0.2450398951768875,0.1732693761587143,-0.1732693761587143,0.2450398951768875,0.1633738875389099,-0.16307643055915833,0.23083533346652985,0.1633738875389099,-0.16307643055915833,0.23083533346652985,0.1633739471435547,-0.16307640075683594,0.23083534836769104,False,False,1.4667995274066925,dual_command_actual,0.5,0.6268895268440247,7.749092102050781,3.5001864433288574,7.83035945892334,3.927912712097168,4.428969383239746,0.07985210418701172,-0.15434138476848602,1.0892003774642944,0.0,-0.5,0.5,0.0,-0.5,793.5070190429688,366.81951904296875,793.5070190429688,366.81951904296875,7.749092102050781,3.7501864433288574,7.749092102050781,3.5001864433288574,0.0,-0.25,0.25,0.07692146301269531,-0.27627038955688477,0.2867790758609772,1.105081558227539,0.6268895268440247,0.0,2.0,1.5,3.0,True,,False,False,-0.2662842536172678,-0.5262142223432252,0.11297998260749209,False,,False,caught
6,1787744474.3719096,0.30000120028853416,0.04999980051070452,20.000079796036562,0.04999980051070452,20.000079796036562,1.2014061212539673e-06,False,False,7285679.138153799,7285679.1422896,4.1358014568686485,7285679.188153799,0.0,0.008020799607038498,124.67584891691712,0.051908500492572784,1.0,6,5,-0.25485215052014293,-0.49009561806575813,0.113,-0.2511411630793067,-0.48262748188322874,0.113,-0.2577539118968773,-0.49454516678249477,0.113,-0.2511411630793067,-0.48262748188322874,0.113,7285679.088153799,7285679.138153799,0.051908500492572784,0.049999999813735485,1,True,31,0,1.9664584678248487,2.7942074980519096,2.0799607038497758e-05,1,False,,True,6,0.007772100158035755,0.08021869976073503,12.465921324861387,False,False,False,,5.154201507568359,7.500384330749512,7.830677509307861,4.015121936798096,,,4.39438009262085,True,0.173269383,0.622844029726,0,-0.3609888553619385,-1.0,1.0631617307662964,-0.06254831701517105,-0.1732693761587143,0.18421337008476257,-0.06254831701517105,-0.1732693761587143,0.18421337008476257,0.022659610956907272,-0.16942504048347473,0.17093361914157867,0.02265961468219757,-0.16942504048347473,0.17093361914157867,0.022659778594970703,-0.16942501068115234,0.17093361914157867,False,False,1.4164997264742851,dual_command_actual,0.5,0.5213585495948792,7.999092102050781,3.5001864433288574,7.914884567260742,3.7576541900634766,4.441566467285156,0.1380365639925003,-0.15814654529094696,1.3498999178409576,0.5,0.0,0.5,0.0,-0.5,819.1070556640625,366.81951904296875,819.1070556640625,366.81951904296875,7.749092102050781,3.5001864433288574,7.999092102050781,3.5001864433288574,0.25,0.0,0.25,-0.08094978332519531,-0.3405170440673828,0.35000675916671753,1.3620681762695312,0.5213585495948792,0.0,2.0,1.5,3.0,True,,False,False,-0.26096289101784065,-0.5087860522327751,0.11314970566525079,False,,False,caught
7,1787744474.4225864,0.35011240001767874,0.05011119972914457,19.955618811864166,0.05011119972914457,19.955618811864166,0.0001124013215303421,False,False,7285679.188153799,7285679.1917308,3.577001392841339,7285679.2381537985,0.0,0.00802330020815134,124.63699151928049,0.04996490105986595,0.9992980249199943,7,6,-0.24111784372532868,-0.48849554634215114,0.113,-0.2406542878202785,-0.4887190061272609,0.113,-0.2511411630793067,-0.48262748188322874,0.113,-0.2406542878202785,-0.4887190061272609,0.113,7285679.138153799,7285679.188153799,0.04996490105986595,0.049999999813735485,1,True,37,0,1.5774187594082556,1.6137046947629745,2.3300208151340318e-05,1,False,,False,,,,,False,False,False,,5.17686128616333,7.330959320068359,7.771135330200195,3.7222349643707275,,,4.444451332092285,True,0.173269383,0.622844029726,0,1.0,-1.0,1.4142135381698608,0.1732693761587143,-0.1732693761587143,0.2450398951768875,0.1732693761587143,-0.1732693761587143,0.2450398951768875,0.11646606773138046,-0.17181944847106934,0.2075723260641098,0.11646606773138046,-0.17181944847106934,0.2075723260641098,0.11646604537963867,-0.17181968688964844,0.20757250487804413,False,False,2.0396001636981964,dual_command_actual,0.5,0.31822922825813293,8.249092102050781,3.5001864433288574,8.010113716125488,3.611210823059082,4.453628063201904,0.1110219955444336,-0.15958166122436523,1.114499755203724,0.5,0.0,0.5,0.5,0.0,844.70703125,366.81951904296875,844.70703125,366.81951904296875,7.999092102050781,3.5001864433288574,8.249092102050781,3.5001864433288574,0.25,0.0,0.25,-0.059542179107666016,-0.29288697242736816,0.2988779842853546,-0.23816871643066406,0.31822922825813293,0.0,2.0,1.5,3.0,True,,False,False,-0.25593213531590864,-0.49391046497432983,0.11320103514484804,False,,False,caught
8,1787744474.473093,0.4010520000010729,0.050939599983394146,19.631092515959903,0.050939599983394146,19.631092515959903,0.001052001491189003,True,False,7285679.2381537985,7285679.2429431,4.789301194250584,7285679.288153798,0.0,0.008001700043678284,124.97344246114882,0.04798540100455284,0.9597080236662479,8,7,-0.230974993090937,-0.4943414300669522,0.113,-0.23056862166906206,-0.4945774795390103,0.113,-0.2406542878202785,-0.4887190061272609,0.113,-0.23056862166906206,-0.4945774795390103,0.113,7285679.188153799,7285679.2381537985,0.04798540100455284,0.049999999813735485,1,False,37,0,1.6884949659310207,1.7354398335265542,1.7000436782835249e-06,1,False,,True,7,0.04446280002593994,0.06405190005898476,15.612339354166075,False,False,False,,5.293327331542969,7.159139633178711,7.878996849060059,3.5071861743927,,,4.474645614624023,True,0.173269383,0.622844029726,0,1.0,-1.0,1.4142135381698608,0.1732693761587143,-0.1732693761587143,0.2450398951768875,0.1732693761587143,-0.1732693761587143,0.2450398951768875,0.15184566378593445,-0.17272260785102844,0.22997871041297913,0.15184566378593445,-0.17272260785102844,0.22997871041297913,0.15184545516967773,-0.17272281646728516,0.22997872531414032,False,False,1.4385003596544266,dual_command_actual,0.5,0.3701614439487457,8.249092102050781,3.2501864433288574,8.064044952392578,3.3786864280700684,4.491918087005615,0.10083325952291489,-0.1681070327758789,1.082499511539936,0.0,-0.5,0.5,0.5,0.0,844.70703125,340.6195373535156,844.70703125,340.6195373535156,8.249092102050781,3.5001864433288574,8.249092102050781,3.2501864433288574,0.0,-0.25,0.25,0.10786151885986328,-0.21504878997802734,0.24058280885219574,0.4314460754394531,0.3701614439487457,0.0,2.0,1.5,3.0,True,,False,False,-0.2459543428397778,-0.4865498426692284,0.11310849849296126,False,,False,caught
9,1787744474.5216663,0.4500027997419238,0.048950799740850925,20.42867543112824,0.048950799740850925,20.42867543112824,2.8014183044433594e-06,False,False,7285679.288153798,7285679.2920776,3.9238017052412033,7285679.338153798,0.0,0.008023399859666824,124.6354435140324,0.04603380151093006,0.9206760336483867,9,8,-0.22460124877930326,-0.4839740204156376,0.113,-0.22408710952834549,-0.4830604434309299,0.113,-0.23056862166906206,-0.4945774795390103,0.113,-0.22408710952834549,-0.4830604434309299,0.113,7285679.2381537985,7285679.288153798,0.04603380151093006,0.049999999813735485,1,False,37,0,1.1001073456425028,1.1892246418324843,2.3399859666824174e-05,1,False,,True,8,0.014855599962174892,0.06462629977613688,15.4735766006094,False,False,False,,5.4451727867126465,6.986416816711426,8.11633586883545,3.438183307647705,,,4.441291809082031,True,0.173269383,0.622844029726,0,1.0,-1.0,1.4142135381698608,0.1732693761587143,-0.1732693761587143,0.2450398951768875,0.1732693761587143,-0.1732693761587143,0.2450398951768875,0.1651892066001892,-0.1730632334947586,0.23924538493156433,0.1651892066001892,-0.1730632334947586,0.23924538493156433,0.16518926620483398,-0.1730632781982422,0.2392454594373703,False,False,1.4492003247141838,dual_command_actual,0.5,0.23014569282531738,8.249092102050781,3.0001864433288574,8.182714462280273,3.2191848754882812,4.461286544799805,0.0969904288649559,-0.1713225096464157,1.117299310863018,0.0,-0.5,0.5,0.0,-0.5,844.70703125,314.4195251464844,844.70703125,314.4195251464844,8.249092102050781,3.2501864433288574,8.249092102050781,3.0001864433288574,0.0,-0.25,0.25,0.23733901977539062,-0.06900286674499512,0.24716635048389435,0.27601146697998047,0.23014569282531738,0.0,2.0,1.5,3.0,True,,False,False,-0.23435992711656012,-0.48904655760624616,0.11324734743480783,False,,False,caught
