step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,policy_dt_s,policy_loop_hz_inst,policy_deadline_overrun_s,policy_deadline_overrun,policy_schedule_resynced,policy_step_start_perf,servo_publish_perf,servo_publish_latency_ms,servo_endpoint_deadline_perf,servo_endpoint_lateness_s,servo_dt_s,servo_loop_hz_inst,servo_target_age_s,servo_interpolation_phase,servo_command_sequence,servo_policy_step,servo_commanded_world_x,servo_commanded_world_y,servo_commanded_world_z,servo_target_world_x,servo_target_world_y,servo_target_world_z,servo_segment_start_world_x,servo_segment_start_world_y,servo_segment_start_world_z,servo_segment_end_world_x,servo_segment_end_world_y,servo_segment_end_world_z,servo_segment_start_perf,servo_segment_end_perf,servo_segment_elapsed_s,servo_segment_duration_s,servo_pending_segment_count,servo_command_step_limited,servo_command_step_limited_count,servo_publish_rejected_count,servo_tracking_error_cm,servo_target_error_cm,servo_deadline_overrun_s,servo_deadline_overrun_count,servo_watchdog_stopped,servo_stop_reason,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,virtual_hand_stride_cm,virtual_hand_smoothing_alpha,virtual_hand_delay_frames,virtual_hand_action_x,virtual_hand_action_y,virtual_hand_action_norm,virtual_hand_command_dx_cm,virtual_hand_command_dy_cm,virtual_hand_command_norm_cm,virtual_hand_delayed_dx_cm,virtual_hand_delayed_dy_cm,virtual_hand_delayed_norm_cm,virtual_hand_smoothed_dx_cm,virtual_hand_smoothed_dy_cm,virtual_hand_smoothed_norm_cm,virtual_hand_exec_dx_cm,virtual_hand_exec_dy_cm,virtual_hand_exec_norm_cm,virtual_hand_actual_dx_cm,virtual_hand_actual_dy_cm,virtual_hand_actual_norm_cm,virtual_hand_accel_clipped,virtual_hand_workspace_clipped,virtual_hand_policy_inference_ms,mpc_prediction_mode,mpc_tracking_alpha,mpc_command_actual_lag_cm,mpc_predicted_first_command_x_cm,mpc_predicted_first_command_y_cm,mpc_predicted_first_actual_x_cm,mpc_predicted_first_actual_y_cm,mpc_predicted_min_hand_distance_cm,mpc_hand_velocity_x_cm_step,mpc_hand_velocity_y_cm_step,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,planned_anchor_x_cm,planned_anchor_y_cm,planned_target_x_cm,planned_target_y_cm,planned_delta_dx_cm,planned_delta_dy_cm,planned_delta_norm_cm,actual_robot_move_dx_cm,actual_robot_move_dy_cm,actual_robot_move_norm_cm,actual_to_planned_step_projection,planned_endpoint_actual_lag_cm,planned_endpoint_actual_lag_excess_cm,servo_follower_lag_allowance_cm,servo_lag_warning_cm,servo_lag_hard_limit_cm,servo_publish_accepted,servo_publish_reject_reason,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1787744938.487766,2.998858690261841e-07,,,,,2.998858690261841e-07,False,False,7286143.2469276,7286143.2503741,3.446499817073345,7286143.2969276,0.0,,,0.0003847004845738411,1.0,0,-1,-0.2991317055410304,-0.545486005902565,0.113,-0.2991317055410304,-0.545486005902565,0.113,-0.2991317055410304,-0.545486005902565,0.113,-0.2991317055410304,-0.545486005902565,0.113,7286143.2460777,7286143.2460777,0.0003847004845738411,0.0,1,False,0,0,0.002655325783662744,0.002655325783662744,0.0,0,False,,False,,,,,False,False,False,,10.18593692779541,1.3909051418304443,7.499208450317383,5.000326633453369,,,4.499603748321533,True,0.270366787,0.604336423305,0,-1.0,1.0,1.4142135381698608,-0.2703667879104614,0.2703667879104614,0.3823563754558563,-0.2703667879104614,0.2703667879104614,0.3823563754558563,-0.16339249908924103,0.16339249908924103,0.23107188940048218,-0.16339249908924103,0.16339249908924103,0.23107188940048218,-0.1633920669555664,0.1633925437927246,0.2310716062784195,False,False,1.1928994208574295,,,,,,,,,,,1.9550994038581848,-0.3293224275112152,-0.14649994671344757,0.36043792963027954,0.0,0.0,751.049560546875,516.4032592773438,751.049560546875,516.4032592773438,7.499129772186279,5.000761985778809,7.334468364715576,4.927512168884277,-0.16466140747070312,-0.07324981689453125,0.18021906912326813,0.0,0.0,0.0,,0.00044240467832423747,0.0,2.0,1.5,3.0,True,,False,False,-0.2991177915463375,-0.5454684644885675,0.11298572502019652,False,,False,safety_servo_watchdog
1,1787744938.5396335,0.05000289995223284,0.05000260006636381,19.998960027534423,0.05000260006636381,19.998960027534423,2.9001384973526e-06,False,False,7286143.2969276,7286143.3015564,4.628799855709076,7286143.3469276,0.0,0.008019600063562393,124.6944974904134,0.04880869947373867,0.9761739931113049,1,0,-0.3038054170614575,-0.5383237125409356,0.113,-0.30391949086763065,-0.5381488985711134,0.113,-0.2991317055410304,-0.545486005902565,0.113,-0.30391949086763065,-0.5381488985711134,0.113,7286143.2469276,7286143.2969276,0.04880869947373867,0.049999999813735485,1,False,1,0,0.8228487455819207,0.8437227857387665,1.9600063562393022e-05,1,False,,True,2,0.019754400476813316,0.028850599192082882,34.66132517186741,False,False,False,,10.022544860839844,1.554297685623169,7.493159770965576,4.997664928436279,,,4.272536277770996,True,0.270366787,0.604336423305,0,-1.0,1.0,1.4142135381698608,-0.2703667879104614,0.2703667879104614,0.3823563754558563,-0.2703667879104614,0.2703667879104614,0.3823563754558563,-0.22804078459739685,0.22804097831249237,0.32249850034713745,-0.22804078459739685,0.22804097831249237,0.32249850034713745,-0.2280406951904297,0.2280409336090088,0.3224984109401703,False,False,1.3840999454259872,,,,,,,,,,,1.8511004745960236,-0.9111078381538391,-0.6454805731773376,1.1165852546691895,-0.3293224275112152,-0.14649994671344757,704.4008178710938,482.58013916015625,704.4008178710938,482.58013916015625,7.334468364715576,4.927512168884277,6.8789143562316895,4.604772090911865,-0.4555540084838867,-0.3227400779724121,0.5582926273345947,-0.006048679351806641,-0.0026617050170898438,0.00660841865465045,0.03666851297020912,0.17350611090660095,0.0,2.0,1.5,3.0,True,,False,False,-0.29929700991730007,-0.5452071813696205,0.1130113012214865,False,,False,safety_servo_watchdog
2,1787744938.5893323,0.10000279918313026,0.04999989923089743,20.000040307722266,0.04999989923089743,20.000040307722266,2.7995556592941284e-06,False,False,7286143.3469276,7286143.3517142,4.786600358784199,7286143.3969276,0.0,0.00800320040434599,124.95001367914873,0.04707599990069866,0.9415200015214086,2,1,-0.3097702495775439,-0.5241692788777635,0.113,-0.3145758995666336,-0.5126986009116472,0.113,-0.30391949086763065,-0.5381488985711134,0.113,-0.3145758995666336,-0.5126986009116472,0.113,7286143.2969276,7286143.3469276,0.04707599990069866,0.049999999813735485,1,True,7,0,1.668285377016443,2.911460514904922,3.2004043459890608e-06,1,False,,True,3,0.0297236992046237,0.029037700034677982,34.43798919355734,False,False,False,,9.794504165649414,1.7823386192321777,7.367554664611816,4.9319071769714355,,,3.9761621952056885,True,0.270366787,0.604336423305,0,-1.0,1.0,1.4142135381698608,-0.2703667879104614,0.2703667879104614,0.3823563754558563,-0.2703667879104614,0.2703667879104614,0.3823563754558563,-0.253619909286499,0.2536199986934662,0.3586727976799011,-0.253619909286499,0.2536199986934662,0.3586727976799011,-0.2536201477050781,0.253619909286499,0.3586728870868683,False,False,1.3179993256926537,,,,,,,,,,,1.779099926352501,-1.0,-0.29972678422927856,1.0439521074295044,-0.9111078381538391,-0.6454805731773376,653.2008666992188,466.87445068359375,653.2008666992188,466.87445068359375,6.8789143562316895,4.604772090911865,6.3789143562316895,4.454908847808838,-0.5,-0.14986324310302734,0.5219760537147522,-0.12560510635375977,-0.06575775146484375,0.14177702367305756,0.2516680657863617,0.588036298751831,0.0,2.0,1.5,3.0,True,,False,False,-0.30276289977639076,-0.5393088442235704,0.11309066322856007,False,,False,safety_servo_watchdog
3,1787744938.6385756,0.15000199992209673,0.049999200738966465,20.000319709524042,0.049999200738966465,20.000319709524042,2.000480890274048e-06,False,False,7286143.3969276,7286143.4010491,4.121500067412853,7286143.4469276,0.0,0.008003400638699532,124.94688759733131,0.05312530044466257,1.0,3,2,-0.3195363114221403,-0.5091919415852046,0.113,-0.33110696810307894,-0.49397086110332533,0.113,-0.3145758995666336,-0.5126986009116472,0.113,-0.33110696810307894,-0.49397086110332533,0.113,7286143.3469276,7286143.3969276,0.05312530044466257,0.049999999813735485,1,True,14,0,2.110913830947564,4.017019966194149,3.4006386995313886e-06,1,False,,True,4,0.016331300139427185,0.039711800403892994,25.181431963028523,False,False,False,,9.540884017944336,2.0359585285186768,7.134137153625488,4.786478042602539,,,3.6548306941986084,True,0.270366787,0.604336423305,0,-0.5895805358886719,1.0,1.160863995552063,-0.159402996301651,0.2703667879104614,0.3138590455055237,-0.159402996301651,0.2703667879104614,0.3138590455055237,-0.19668129086494446,0.2637406587600708,0.3290025293827057,-0.19668129086494446,0.2637406587600708,0.3290025293827057,-0.19668102264404297,0.26374077796936035,0.3290024697780609,False,False,1.124800182878971,,,,,,,,,,,1.5692999586462975,-1.0,0.16840122640132904,1.014080286026001,-1.0,-0.29972678422927856,602.0008544921875,475.6986389160156,602.0008544921875,475.6986389160156,6.3789143562316895,4.454908847808838,5.8789143562316895,4.539109230041504,-0.5,0.08420038223266602,0.5070401430130005,-0.23341751098632812,-0.14542913436889648,0.2750152051448822,0.5083452463150024,0.824802815914154,0.0,2.0,1.5,3.0,True,,False,False,-0.30864871420735446,-0.5272765491594772,0.1130539994604036,False,,False,safety_servo_watchdog
4,1787744938.6902988,0.2015354000031948,0.05153340008109808,19.404890778141954,0.05153340008109808,19.404890778141954,0.0015354007482528687,True,False,7286143.4469276,7286143.4526964,5.768800154328346,7286143.496927599,0.0,0.008004399947822094,124.93128860609828,0.05115010030567646,1.0,4,3,-0.33160791702499903,-0.4997785328551623,0.113,-0.3534476725638082,-0.48611037062813817,0.113,-0.33110696810307894,-0.49397086110332533,0.113,-0.3534476725638082,-0.48611037062813817,0.113,7286143.3969276,7286143.4469276,0.05115010030567646,0.049999999813735485,1,True,20,0,2.0025196974047508,4.56144942229014,4.399947822093797e-06,1,False,,False,,,,,False,False,False,,9.344202995300293,2.299699306488037,6.839361667633057,4.6292009353637695,,,3.4206442832946777,False,0.270366787,0.604336423305,0,-1.0,1.0,1.4142135381698608,-0.2703667879104614,0.2703667879104614,0.3823563754558563,-0.2703667879104614,0.2703667879104614,0.3823563754558563,-0.24121201038360596,0.26774513721466064,0.3603757619857788,-0.24121201038360596,0.26774513721466064,0.3603757619857788,-0.2412118911743164,0.2677450180053711,0.3603755831718445,False,False,1.4645000919699669,,,,,,,,,,,2.4636005982756615,-1.0,0.2898437976837158,1.0411577224731445,-1.0,0.16840122640132904,550.8008422851562,490.88641357421875,550.8008422851562,490.88641357421875,5.8789143562316895,4.539109230041504,5.3789143562316895,4.684031009674072,-0.5,0.14492177963256836,0.5205788612365723,-0.29477548599243164,-0.15727710723876953,0.33410879969596863,0.521782636642456,0.9646634459495544,0.0,2.0,1.5,3.0,True,,False,False,-0.3167587162455257,-0.5132139220706767,0.1129918337322201,False,,False,safety_servo_watchdog
5,1787744938.740591,0.25000139977782965,0.04846599977463484,20.63302118289036,0.04846599977463484,20.63302118289036,1.4007091522216797e-06,False,False,7286143.496927599,7286143.5022663,5.338700488209724,7286143.546927599,0.0,0.008011000230908394,124.82835740557789,0.04918540082871914,0.9837080202389807,5,4,-0.34551162986248807,-0.49328704721287653,0.113,-0.3774801305788812,-0.480657303830802,0.113,-0.3534476725638082,-0.48611037062813817,0.113,-0.3774801305788812,-0.480657303830802,0.113,7286143.4469276,7286143.496927599,0.04918540082871914,0.049999999813735485,1,True,26,0,1.9647921598519718,5.399776148783955,1.1000230908393693e-05,1,False,,True,5,0.03610310051590204,0.06339090038090944,15.775134822050202,False,False,False,,9.102991104125977,2.567444324493408,6.517105579376221,4.5412163734436035,,,3.2530877590179443,False,0.270366787,0.604336423305,0,-1.0,1.0,1.4142135381698608,-0.2703667879104614,0.2703667879104614,0.3823563754558563,-0.2703667879104614,0.2703667879104614,0.3823563754558563,-0.258831262588501,0.2693294584751129,0.3735397756099701,-0.258831262588501,0.2693294584751129,0.3735397756099701,-0.2588310241699219,0.2693295478820801,0.3735397160053253,False,False,2.2842995822429657,,,,,,,,,,,1.6477005556225777,-1.0,0.43432319164276123,1.0902462005615234,-1.0,0.2898437976837158,499.6008605957031,513.6449584960938,499.6008605957031,513.6449584960938,5.3789143562316895,4.684031009674072,4.8789143562316895,4.901192665100098,-0.5,0.2171616554260254,0.5451231002807617,-0.32225608825683594,-0.08798456192016602,0.3340512812137604,0.5475125312805176,1.1471160650253296,0.0,2.0,1.5,3.0,True,,False,False,-0.32770953700575534,-0.5016011326128816,0.11304792727057736,False,,False,safety_servo_watchdog
6,1787744938.7892613,0.3000027993693948,0.05000139959156513,19.99944017904436,0.05000139959156513,19.99944017904436,2.800486981868744e-06,False,False,7286143.546927599,7286143.5512627,4.3351007625460625,7286143.596927599,0.0,0.008004900068044662,124.92348330392932,0.04721630085259676,0.9443260205698237,6,5,-0.3602339795758369,-0.4889459311632932,0.113,-0.4027931106920025,-0.4789378597556805,0.113,-0.3774801305788812,-0.480657303830802,0.113,-0.4027931106920025,-0.4789378597556805,0.113,7286143.496927599,7286143.546927599,0.04721630085259676,0.049999999813735485,1,True,32,0,1.695172685981369,6.067134818389716,4.900068044662309e-06,1,False,,True,6,0.020968299359083176,0.08052439987659454,12.418596121579577,False,False,False,,8.844160079956055,2.8367738723754883,6.1279215812683105,4.548440933227539,,,3.210569381713867,False,0.270366787,0.604336423305,0,-0.47959423065185547,0.4389634132385254,0.6501534581184387,-0.12966635823249817,0.11868112534284592,0.17577990889549255,-0.12966635823249817,0.11868112534284592,0.17577990889549255,-0.18077212572097778,0.17828722298145294,0.25389939546585083,-0.18077212572097778,0.17828722298145294,0.25389939546585083,-0.1807718276977539,0.17828726768493652,0.2538992166519165,False,False,1.1753002181649208,,,,,,,,,,,1.5626000240445137,-1.0,0.6133551597595215,1.1731173992156982,-1.0,0.43432319164276123,448.4008483886719,545.7847900390625,448.4008483886719,545.7847900390625,4.8789143562316895,4.901192665100098,4.3789143562316895,5.2078704833984375,-0.5,0.30667781829833984,0.5865588784217834,-0.38918399810791016,0.007224559783935547,0.38925105333328247,0.6601205468177795,1.2978646755218506,0.0,2.0,1.5,3.0,True,,False,False,-0.3437097338418671,-0.49272764032585975,0.11309498559295653,False,,False,safety_servo_watchdog
7,1787744938.8390715,0.35000229999423027,0.04999950062483549,20.000199752060826,0.04999950062483549,20.000199752060826,2.3012980818748474e-06,False,False,7286143.596927599,7286143.6012549,4.327300935983658,7286143.646927599,0.0,0.008002299815416336,124.9640757115238,0.053561700507998466,1.0,7,6,-0.377946769426394,-0.48631584634017255,0.113,-0.42990952954101586,-0.4811265158306161,0.113,-0.4027931106920025,-0.4789378597556805,0.113,-0.42990952954101586,-0.4811265158306161,0.113,7286143.546927599,7286143.596927599,0.053561700507998466,0.049999999813735485,1,True,39,0,1.9285880049338524,7.150703811294208,2.299815416335893e-06,1,False,,True,7,0.010306400246918201,0.06483909953385592,15.422792839339898,False,False,False,,8.6633882522583,3.015061140060425,5.7997355461120605,4.619661808013916,,,3.2825677394866943,False,0.270366787,0.604336423305,0,-1.0,1.0,1.4142135381698608,-0.2703667879104614,0.2703667879104614,0.3823563754558563,-0.2703667879104614,0.2703667879104614,0.3823563754558563,-0.23491732776165009,0.23393428325653076,0.3315288722515106,-0.23491732776165009,0.23393428325653076,0.3315288722515106,-0.23491764068603516,0.2339341640472412,0.33152902126312256,False,False,1.205500215291977,,,,,,,,,,,1.6705002635717392,-1.0,0.8331854343414307,1.3016135692596436,-1.0,0.6133551597595215,397.2008361816406,589.4437255859375,397.2008361816406,589.4437255859375,4.3789143562316895,5.2078704833984375,3.8789143562316895,5.624463081359863,-0.5,0.4165925979614258,0.650806725025177,-0.32818603515625,0.07122087478637695,0.3358250856399536,0.5404278039932251,1.537765383720398,0.0,2.0,1.5,3.0,True,,False,False,-0.35875540552823115,-0.4882218015958072,0.11306368335170561,False,,False,safety_servo_watchdog
8,1787744938.892318,0.4025104995816946,0.05250819958746433,19.044644605158723,0.05250819958746433,19.044644605158723,0.0025105010718107224,True,False,7286143.646927599,7286143.6542536,7.326001301407814,7286143.696927599,0.0,0.008004499599337578,124.92973328186015,0.05159820057451725,1.0,8,7,-0.39329824156578697,-0.48619161976233405,0.113,-0.4593535869828952,-0.48845482127739215,0.113,-0.42990952954101586,-0.4811265158306161,0.113,-0.4593535869828952,-0.48845482127739215,0.113,7286143.596927599,7286143.646927599,0.05159820057451725,0.049999999813735485,1,True,45,0,1.9110179979861432,8.520265665887807,4.499599337577653e-06,1,False,,False,,,,,False,False,False,,8.428470611572266,3.248995304107666,5.4840545654296875,4.7301483154296875,,,3.2959673404693604,False,0.270366787,0.604336423305,0,-1.0,1.0,1.4142135381698608,-0.2703667879104614,0.2703667879104614,0.3823563754558563,-0.2703667879104614,0.2703667879104614,0.3823563754558563,-0.2563408613204956,0.25595173239707947,0.36224564909935,-0.2563408613204956,0.25595173239707947,0.36224564909935,-0.25634098052978516,0.2559516429901123,0.36224570870399475,False,False,2.0071007311344147,,,,,,,,,,,2.4025999009609222,-0.9121253490447998,0.9471008777618408,1.3149040937423706,-1.0,0.8331854343414307,350.5,639.0718383789062,350.5,639.0718383789062,3.8789143562316895,5.624463081359863,3.4228515625,6.098013401031494,-0.45606279373168945,0.47355031967163086,0.6574520468711853,-0.31568098068237305,0.11048650741577148,0.3344573974609375,0.4813331067562103,1.8374640941619873,0.0,2.0,1.5,3.0,True,,False,False,-0.37419198903742257,-0.4858110167073158,0.11307234984157966,False,,False,safety_servo_watchdog
9,1787744938.9395442,0.45000309962779284,0.04749260004609823,21.055911847937566,0.04749260004609823,21.055911847937566,3.1013041734695435e-06,False,False,7286143.696927599,7286143.7014089,4.4813016429543495,7286143.7469275985,0.0,0.008004600182175636,124.92816346115139,0.0496355015784502,0.9927100352671371,9,8,-0.40857041862006405,-0.48777551652730283,0.113,-0.488158687199418,-0.4991575873016449,0.113,-0.4593535869828952,-0.48845482127739215,0.113,-0.488158687199418,-0.4991575873016449,0.113,7286143.646927599,7286143.696927599,0.0496355015784502,0.049999999813735485,1,True,51,0,1.6432734920573442,9.683052523249815,4.600182175636125e-06,1,False,,True,8,0.028819999657571316,0.06066010054200888,16.48530073416992,False,False,False,,8.17212963104248,3.5049469470977783,5.136370658874512,4.9017653465271,,,3.341696262359619,False,0.270366787,0.604336423305,0,-1.0,0.45023858547210693,1.0966835021972656,-0.2703667879104614,0.12172956019639969,0.2965067923069,-0.2703667879104614,0.12172956019639969,0.2965067923069,-0.2648172974586487,0.17483635246753693,0.31732624769210815,-0.2648172974586487,0.17483635246753693,0.31732624769210815,-0.2648172378540039,0.1748363971710205,0.31732621788978577,False,False,1.1390997096896172,,,,,,,,,,,1.819799654185772,-0.7792832255363464,0.9948115348815918,1.263697862625122,-0.9121253490447998,0.9471008777618408,310.6007080078125,691.1998901367188,310.6007080078125,691.1998901367188,3.4228515625,6.098013401031494,3.033210039138794,6.595418930053711,-0.38964152336120605,0.4974055290222168,0.6318486928939819,-0.3476839065551758,0.1716170310974121,0.38773250579833984,0.5548612475395203,2.0897743701934814,0.08977437019348145,2.0,1.5,3.0,True,,False,False,-0.39230530059036683,-0.4854364586409613,0.11309757383971142,False,,False,safety_servo_watchdog
