step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1785758278.8220677,2.998858690261841e-07,,,False,,,,,False,False,True,,11.25,3.3333332538604736,7.500566482543945,4.999543190002441,,,4.102987766265869,True,3.386800177395344,-0.5120880007743835,-0.43088605999946594,0.669251024723053,0.0,0.0,752.4811992952923,510.63597273694927,749.6467666625977,508.1950988769531,False,True,-0.2270424272733399,-0.5227406469704312,0.11404246969348655,False,,False,timeout
1,1785758278.8734047,0.0537796001881361,0.053779300302267075,18.59451488545761,False,,,,,False,False,True,,11.25,3.3333332538604736,7.47889518737793,4.981222152709961,,,4.11543083190918,True,1.8992004916071892,-0.3296506404876709,-0.9744054675102234,1.0286571979522705,-0.5120880007743835,-0.43088605999946594,746.0533758651029,491.19083231703183,740.6665201494793,474.89477705823833,False,True,-0.22732679298730188,-0.5213448249375535,0.11399884591961224,False,,False,timeout
2,1785758278.93531,0.11568580009043217,0.061906199902296066,16.153470921785825,False,,,,,False,False,True,,11.25,3.3333332538604736,7.4156012535095215,4.9263691902160645,,,4.152153491973877,True,1.6852999106049538,-0.2869482934474945,-0.755621612071991,0.8082718253135681,-0.3296506404876709,-0.9744054675102234,738.9288247816208,471.990020567034,735.7691494475614,463.47463053480527,False,True,-0.2281179736361111,-0.5172104508460671,0.11392796767263796,False,,False,timeout
3,1785758278.998098,0.17746989987790585,0.06178409978747368,16.185394032442364,False,,,,,False,False,True,,11.25,3.3333332538604736,7.358081340789795,4.841782569885254,,,4.174020767211914,True,2.9023997485637665,-0.22663208842277527,-0.43158406019210815,0.4874699115753174,-0.2869482934474945,-0.755621612071991,730.8063310377244,456.15951710328886,730.8063310377244,456.15951710328886,False,False,-0.22781461594668004,-0.5119853582740244,0.11397400440027676,False,,False,timeout
4,1785758279.0602515,0.23960610013455153,0.06213620025664568,16.093678014903183,False,,,,,False,False,True,,11.25,3.3333332538604736,7.292660236358643,4.691580295562744,,,4.1839423179626465,True,2.646099776029587,-0.16586828231811523,-0.24133272469043732,0.2928374409675598,-0.22663208842277527,-0.43158406019210815,724.8616117231492,447.3074329434378,724.8616117231492,447.3074329434378,False,False,-0.2258773510469299,-0.5037511581253029,0.1138818472560857,False,,False,timeout
5,1785758279.1202595,0.3003700999543071,0.060763999819755554,16.457112812953447,False,,,,,False,False,True,,11.25,3.3333332538604736,7.2268500328063965,4.552508354187012,,,4.203822612762451,True,1.8549002707004547,-0.10882111638784409,-0.18644346296787262,0.2158777415752411,-0.16586828231811523,-0.24133272469043732,720.9614628545884,440.4686863957388,720.9614628545884,440.4686863957388,False,False,-0.22427968703636827,-0.49596116851381983,0.11384276663754148,False,,False,timeout
6,1785758279.1808553,0.3613817999139428,0.061011699959635735,16.390298920724753,False,,,,,False,False,True,,11.25,3.3333332538604736,7.1552910804748535,4.416640281677246,,,4.235586643218994,True,1.9426001235842705,-0.06856124848127365,-0.15028037130832672,0.1651812195777893,-0.10882111638784409,-0.18644346296787262,718.5042277567032,434.95640259370634,718.5042277567032,434.95640259370634,False,False,-0.22299315010846288,-0.488127460525356,0.11385757072186922,False,,False,timeout
7,1785758279.242222,0.42265900038182735,0.06127720046788454,16.31928339356987,False,,,,,False,False,True,,11.25,3.3333332538604736,7.094885349273682,4.311346530914307,,,4.26866340637207,True,1.612999476492405,-0.03690587729215622,-0.12722374498844147,0.132468581199646,-0.06856124848127365,-0.15028037130832672,717.1815210573319,430.28983574495146,717.1815210573319,430.28983574495146,False,False,-0.22218355060247502,-0.4819046344577135,0.11390291871948877,False,,False,timeout
8,1785758279.304051,0.48446920048445463,0.06181020010262728,16.178559498911806,False,,,,,False,False,True,,11.25,3.3333332538604736,7.057805061340332,4.2396674156188965,,,4.28904914855957,True,1.6606999561190605,-0.004252277314662933,-0.10153038799762726,0.10161939263343811,-0.03690587729215622,-0.12722374498844147,717.0291194312218,426.56570106134245,717.0291194312218,426.56570106134245,False,False,-0.22147740640794628,-0.47777989763595674,0.11395618682148342,False,,False,timeout
9,1785758279.3650517,0.5454553999006748,0.06098619941622019,16.397152299574763,False,,,,,False,False,True,,11.25,3.3333332538604736,7.030094623565674,4.173551559448242,,,4.30273962020874,True,1.6990993171930313,0.03266487270593643,-0.06924177706241608,0.0765598937869072,-0.004252277314662933,-0.10153038799762726,718.1998284451607,424.0259125767691,718.1998284451607,424.0259125767691,False,False,-0.22057729746092983,-0.4741585330704747,0.11402454236529073,False,,False,timeout
