step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1785758348.1971705,2.0023435354232788e-07,,,False,,,,,False,False,True,,11.25,3.3333332538604736,7.5000996589660645,5.000096321105957,,,4.103638648986816,True,1.7298003658652306,-0.5,0.0,0.5,0.0,0.0,750.079999923706,524.0,750.079999923706,524.0,False,False,-0.22707645318922454,-0.5227504939438102,0.11403495731280966,False,,False,timeout
1,1785758348.2539432,0.054744599387049675,0.05474439915269613,18.26670884104042,False,,,,,False,False,True,,11.25,3.3333332538604736,7.48462438583374,5.000089168548584,,,4.117782115936279,True,3.7043998017907143,-0.5,0.0,0.5,-0.5,0.0,732.1599998474121,524.0,732.1599998474121,524.0,False,False,-0.22766429094190788,-0.5223043175211438,0.11403585092899711,False,,False,timeout
2,1785758348.313312,0.11662309989333153,0.06187850050628185,16.160701888671024,False,,,,,False,False,True,,11.25,3.3333332538604736,7.404936790466309,5.001084327697754,,,4.191169738769531,True,1.4653997495770454,-0.5,0.0,0.5,-0.5,0.0,714.2399997711182,524.0,714.2399997711182,524.0,False,False,-0.23072038464468186,-0.5200510758000008,0.11399962466147029,False,,False,timeout
3,1785758348.3750308,0.17793099954724312,0.06130789965391159,16.311111710645555,False,,,,,False,False,True,,11.25,3.3333332538604736,7.309882164001465,5.000540733337402,,,4.278330326080322,True,3.0393004417419434,0.0,0.5,0.5,-0.5,0.0,714.2399997711182,542.3400001525879,714.2399997711182,542.3400001525879,False,False,-0.23431220440356226,-0.5172924906414378,0.11393943947420979,False,,False,timeout
4,1785758348.4375594,0.24085150007158518,0.06292050052434206,15.893071283072993,False,,,,,False,False,True,,11.25,3.3333332538604736,7.165885925292969,5.002103805541992,,,4.411890983581543,True,1.613900065422058,0.0,0.0,0.0,0.0,0.5,714.2399997711182,542.3400001525879,714.2399997711182,542.3400001525879,False,False,-0.23981774715226878,-0.5132183214405069,0.11391036230161053,False,,False,timeout
5,1785758348.5006905,0.30403569992631674,0.06318419985473156,15.826741531888132,False,,,,,False,False,True,,11.25,3.3333332538604736,7.067509651184082,5.050443649291992,,,4.521248817443848,True,1.5715006738901138,0.0,0.0,0.0,0.0,0.0,714.2399997711182,542.3400001525879,714.2399997711182,542.3400001525879,False,False,-0.24495633167630884,-0.5124283955247705,0.11400018631474257,False,,False,timeout
6,1785758348.56145,0.36528499983251095,0.06124929990619421,16.32671722830368,False,,,,,False,False,True,,11.25,3.3333332538604736,7.016188621520996,5.116580963134766,,,4.594032287597656,True,1.4392994344234467,0.0,-0.5,0.5,0.0,0.0,714.2399997711182,524.0,714.2399997711182,524.0,False,False,-0.2488268184257413,-0.5137378953069597,0.11399612049510988,False,,False,timeout
7,1785758348.6265268,0.4267841996625066,0.06149919982999563,16.26037416363684,False,,,,,False,False,True,,11.25,3.3333332538604736,6.99151086807251,5.147515296936035,,,4.62882137298584,True,4.063700325787067,0.0,-0.5,0.5,0.0,-0.5,714.2399997711182,505.6599998474121,714.2399997711182,505.6599998474121,False,False,-0.2506604350474592,-0.5143303583877696,0.11408754841157831,False,,False,timeout
8,1785758348.6851847,0.48849919997155666,0.06171500030905008,16.203516081865057,False,,,,,False,False,True,,11.25,3.3333332538604736,6.9789533615112305,5.1056647300720215,,,4.624175548553467,True,1.4577005058526993,0.0,-0.5,0.5,0.0,-0.5,714.2399997711182,487.3199996948242,714.2399997711182,487.3199996948242,False,False,-0.24991568315907944,-0.5122108593418667,0.11396101253445204,False,,False,timeout
9,1785758348.7472632,0.5505620995536447,0.062062899582087994,16.112685787059334,False,,,,,False,False,True,,11.25,3.3333332538604736,6.976353645324707,5.003880023956299,,,4.58854866027832,True,1.9008005037903786,0.0,-0.5,0.5,0.0,-0.5,714.2399997711182,468.9799995422363,714.2399997711182,468.9799995422363,False,False,-0.24704552048194398,-0.5078518110129346,0.11391876730783881,False,,False,timeout
