step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1785759415.3837132,2.998858690261841e-07,,,False,,,,,False,False,False,,3.012202262878418,4.666268825531006,7.499932765960693,5.00026273727417,,,4.500141620635986,True,1.5274006873369217,0.0,0.0,0.0,0.0,0.0,768.0,524.0,768.0,524.0,False,False,-0.2270876909554937,-0.5227526958248412,0.11400675897736892,False,,False,caught
1,1785759415.427037,0.05748500023037195,0.057484700344502926,17.395933074488518,False,,,,,False,False,False,,3.212202310562134,4.866268634796143,7.500110626220703,5.000567436218262,,,4.290010929107666,True,1.4458997175097466,0.5,-0.5,0.7071067690849304,0.0,0.0,788.480001449585,503.0399990081787,788.480001449585,503.0399990081787,False,False,-0.22708989455277337,-0.5227706656012616,0.1140037459934019,False,,False,caught
2,1785759415.489568,0.11817509960383177,0.060690099373459816,16.477152127341988,False,,,,,False,False,False,,3.4122023582458496,5.066268444061279,7.499810218811035,5.000594615936279,,,4.088135242462158,True,2.4366993457078934,1.0,0.0,1.0,0.5,-0.5,829.4400043487549,503.0399990081787,829.4400043487549,503.0399990081787,False,False,-0.22710210935488226,-0.522763105580616,0.11401327011770757,False,,False,caught
3,1785759415.5486572,0.17973029986023903,0.06155520025640726,16.245581134242354,False,,,,,False,False,False,,3.6122024059295654,5.163486003875732,7.550374984741211,4.945834636688232,,,3.9441823959350586,True,1.6866996884346008,1.0,0.0,1.0,1.0,0.0,870.4000072479248,503.0399990081787,870.4000072479248,503.0399990081787,False,False,-0.22356646703114752,-0.5219144481874469,0.11397566954469554,False,,False,caught
4,1785759415.611663,0.24220940005034208,0.062479100190103054,16.005352141073313,False,,,,,False,False,False,,3.8122024536132812,5.352506637573242,7.752064228057861,4.869309425354004,,,3.96938157081604,True,1.6976995393633842,1.0,0.0,1.0,1.0,0.0,911.3600101470947,503.0399990081787,911.3600101470947,503.0399990081787,False,False,-0.21362209783520553,-0.5245092437759896,0.1140137706841944,False,,False,caught
5,1785759415.6728718,0.3039055000990629,0.06169610004872084,16.208479939741885,False,,,,,False,False,False,,4.012202262878418,5.286649227142334,8.075934410095215,4.835846900939941,,,4.08866024017334,True,1.5630004927515984,1.0,0.0,1.0,1.0,0.0,952.3200130462646,503.0399990081787,952.3200130462646,503.0399990081787,False,False,-0.2002545602407815,-0.5324671863496689,0.11406556014152633,False,,False,caught
6,1785759415.7336087,0.3651989996433258,0.061293499544262886,16.314943793963884,False,,,,,False,False,False,,4.212202072143555,5.2983222007751465,8.399308204650879,4.8226447105407715,,,4.214039325714111,True,1.4198999851942062,0.5,-0.5,0.7071067690849304,1.0,0.0,972.8000144958496,482.0799980163574,972.8000144958496,482.0799980163574,False,False,-0.18746744817783292,-0.5412920624641417,0.11412426805819845,False,,False,caught
7,1785759415.7959104,0.42701989971101284,0.061820900067687035,16.175759312871712,False,,,,,False,False,False,,4.412201881408691,5.09832239151001,8.788804054260254,4.815239429473877,,,4.38574743270874,True,1.603499986231327,0.5,-0.5,0.7071067690849304,0.5,-0.5,993.2800159454346,461.11999702453613,993.2800159454346,461.11999702453613,False,False,-0.17227022215864096,-0.5523150123066467,0.1140723200745069,False,,False,caught
8,1785759415.856746,0.4873781995847821,0.06035829987376928,16.56772974207949,False,,,,,False,False,False,,4.612201690673828,5.160983085632324,9.133968353271484,4.744921684265137,,,4.540867805480957,True,1.4625005424022675,0.5,0.0,0.5,0.5,-0.5,1013.7600173950195,461.11999702453613,1013.7600173950195,461.11999702453613,False,False,-0.1568256347668701,-0.559428928146493,0.11404435375667435,False,,False,caught
9,1785759415.917606,0.5491546001285315,0.06177640054374933,16.187411231442848,False,,,,,False,False,False,,4.812201499938965,5.025111198425293,9.37254810333252,4.618773460388184,,,4.578413486480713,True,1.4727003872394562,0.5,0.0,0.5,0.5,0.0,1034.2400188446045,461.11999702453613,1034.2400188446045,461.11999702453613,False,False,-0.14374768437957675,-0.561090441402457,0.11402977266868701,False,,False,caught
