step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1785760387.2945175,2.998858690261841e-07,,,False,,,,,False,False,False,,3.0116348266601562,4.666287422180176,7.498810768127441,5.000161647796631,,,4.499579906463623,True,2.4568000808358192,0.2629743218421936,-0.4152267277240753,0.49149641394615173,0.0,0.0,777.4250001907349,508.7694835662842,777.4250001907349,508.7694835662842,False,False,-0.2271273559667703,-0.5227161000925791,0.1139994660169851,False,,False,caught
1,1785760387.3492677,0.059853400103747845,0.05985310021787882,16.707572312207287,False,,,,,False,False,False,,3.461634874343872,5.1162872314453125,7.510680675506592,4.979656219482422,,,4.051350116729736,True,1.7889002338051796,-0.1362866759300232,-1.0,1.0092443227767944,0.2629743218421936,-0.4152267277240753,774.7216325771276,488.46869039099914,772.5404853820801,472.0894832611084,False,True,-0.22607254782048958,-0.5221947823293852,0.11394470776196536,False,,False,caught
2,1785760387.412312,0.12192159984260798,0.06206819973886013,16.111309885050723,False,,,,,False,False,False,,3.911634922027588,5.566287040710449,7.55037784576416,4.909966468811035,,,3.6974594593048096,True,2.384800463914871,0.2921251058578491,0.28367817401885986,0.4071981906890869,-0.1362866759300232,-1.0,785.1913963329259,498.87400579016906,785.1913963329259,498.87400579016906,False,False,-0.22250856253057982,-0.5204027602472221,0.1139060460710842,False,,False,caught
3,1785760387.471189,0.1832601996138692,0.061338599771261215,16.302947959834697,False,,,,,False,False,False,,4.361634731292725,5.648785591125488,7.563869953155518,4.813313007354736,,,3.30942964553833,False,1.8543004989624023,0.8420903086662292,0.5523033738136292,1.0070526599884033,0.2921251058578491,0.28367817401885986,802.1957783266193,510.28809327067114,815.3719135295812,519.1324934915851,False,True,-0.21914061388102618,-0.5167135929082142,0.11385860634446102,False,,False,caught
4,1785760387.534208,0.24640490021556616,0.06314470060169697,15.836641720859244,False,,,,,False,False,False,,4.811634540557861,5.881702423095703,7.598764419555664,4.762485980987549,,,3.0034544467926025,False,1.72440055757761,1.0,0.4294716417789459,1.0883225202560425,0.8420903086662292,0.5523033738136292,820.9446260515958,518.5289129499047,838.0357784792072,526.0411135572313,False,True,-0.21630682532832965,-0.5155730197450393,0.11393026668317399,False,,False,caught
5,1785760387.5964642,0.30803109984844923,0.06162619963288307,16.22686464453685,False,,,,,False,False,False,,5.261634349822998,5.502220630645752,7.681467533111572,4.791594982147217,,,2.522019386291504,False,1.6783997416496277,1.0,0.18936161696910858,1.0177710056304932,1.0,0.4294716417789459,841.0505337943663,522.4254336850224,856.7846262041837,525.4746975186913,False,True,-0.21401358537613185,-0.5191902295166924,0.11393728011742596,False,,False,caught
6,1785760387.6579933,0.3690991997718811,0.06106809992343187,16.375161520561726,False,,,,,False,False,False,,5.711634159088135,5.492944717407227,7.817087650299072,4.857283592224121,,,2.1993179321289062,False,2.5909999385476112,1.0,0.32155224680900574,1.0504264831542969,1.0,0.18936161696910858,860.5041981063215,528.8274134442656,876.8905339469542,534.2199702755986,False,True,-0.21078454846468364,-0.5258809184477578,0.11400286794985766,False,,False,caught
7,1785760387.7189941,0.43113259971141815,0.06203339993953705,16.120348086267782,False,,,,,False,False,False,,6.1616339683532715,5.120985984802246,7.98702335357666,4.91841983795166,,,1.836594581604004,False,1.9169002771377563,1.0,0.5187332630157471,1.1265363693237305,1.0,0.32155224680900574,878.593097393273,538.4306484505812,896.3441982589094,547.8545492932647,False,True,-0.20610969260775935,-0.5333729857344375,0.11401409618000213,False,,False,caught
8,1785760387.7815378,0.49311049934476614,0.06197789963334799,16.134783623127774,False,,,,,False,False,False,,6.611633777618408,5.424026966094971,8.15397834777832,4.9683427810668945,,,1.6082521677017212,False,1.8028998747467995,1.0,0.5667327642440796,1.1494286060333252,1.0,0.5187332630157471,896.308816488107,548.7060412388366,914.4330975458608,559.2184063241164,False,True,-0.20121339531174898,-0.5403098290982112,0.1139695336516157,False,,False,caught
9,1785760387.842465,0.5550664998590946,0.06195600051432848,16.140486663091355,False,,,,,False,False,False,,7.061633586883545,5.454261302947998,8.340094566345215,5.0364580154418945,,,1.3449989557266235,False,1.6304999589920044,1.0,0.7482170462608337,1.2489310503005981,1.0,0.5667327642440796,912.5690426379533,561.1573642832305,932.1488166406949,576.1506422977966,False,True,-0.19612331380704437,-0.5485710276518807,0.11399718610137691,False,,True,caught
