step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1785926246.2760081,1.993030309677124e-07,,,False,,,,,False,False,False,,3.0116467475891113,4.666321754455566,7.499238967895508,5.000263214111328,,,4.5,True,0.9762002155184746,0.0,0.0,0.0,0.0,0.0,767.9220581054688,524.027587890625,767.9220581054688,524.027587890625,False,False,-0.227114063549723,-0.5227327635149525,0.1135049377198727,False,,False,caught
1,1785926246.3327985,0.058980999514460564,0.058980800211429596,16.9546699335255,False,,,,,False,False,False,,3.1116466522216797,4.765937805175781,7.498921871185303,5.000139236450195,,,4.393521785736084,True,1.1721998453140259,0.5,0.0,0.5,0.0,0.0,783.2496337890625,524.0145874023438,783.2496337890625,524.0145874023438,False,False,-0.22712247474282007,-0.5227183613907455,0.11351654448281227,False,,False,caught
2,1785926246.3944635,0.12061679922044277,0.06163579970598221,16.22433723209959,False,,,,,False,False,False,,3.211646556854248,4.86593770980835,7.495370864868164,5.000579357147217,,,4.285839557647705,True,1.226799562573433,0.5,0.0,0.5,0.5,0.0,782.885986328125,524.0606689453125,782.885986328125,524.0606689453125,False,False,-0.22727036017048985,-0.5226345426379404,0.11352439661986909,False,,False,caught
3,1785926246.45712,0.1833103997632861,0.06269360054284334,15.950591309819945,False,,,,,False,False,False,,3.3116464614868164,4.917961120605469,7.530534744262695,5.001467227935791,,,4.219714641571045,True,0.9040003642439842,1.0,0.0,1.0,0.5,0.0,801.8467407226562,524.1537475585938,801.8467407226562,524.1537475585938,False,True,-0.22596007690435221,-0.5236853491866951,0.11352929611214928,False,,False,caught
4,1785926246.5200982,0.24629510007798672,0.0629847003147006,15.87687160538256,False,,,,,False,False,False,,3.4116463661193848,5.017961025238037,7.590154647827148,5.0010504722595215,,,4.178542613983154,True,1.025400124490261,1.0,0.0,1.0,1.0,0.0,807.9518432617188,524.110107421875,807.9518432617188,524.110107421875,False,True,-0.22368098535609807,-0.5253866209447761,0.11351603094897242,False,,False,caught
5,1785926246.5803168,0.3070398001000285,0.0607447000220418,16.462341564566792,False,,,,,False,False,False,,3.511646270751953,5.019251346588135,7.658148288726807,5.001558303833008,,,4.146539688110352,True,0.9719999507069588,1.0,0.0,1.0,1.0,0.0,814.9143676757812,524.163330078125,814.9143676757812,524.163330078125,False,True,-0.2211093531281057,-0.527369409303187,0.11356908129888085,False,,False,caught
6,1785926246.6420438,0.3682391997426748,0.06119939964264631,16.340029572825383,False,,,,,False,False,False,,3.6116461753845215,5.071167945861816,7.760129928588867,5.001834869384766,,,4.1490631103515625,True,0.9019002318382263,1.0,0.0,1.0,1.0,0.0,825.3572998046875,524.1922607421875,825.3572998046875,524.1922607421875,False,True,-0.2172351109838718,-0.5303249495491643,0.1135612130566496,False,,False,caught
7,1785926246.7027562,0.4289522999897599,0.060713100247085094,16.470909835443813,False,,,,,False,False,False,,3.71164608001709,5.020546913146973,7.846349239349365,5.001349449157715,,,4.134747505187988,True,1.0741008445620537,1.0,0.0,1.0,1.0,0.0,834.1861572265625,524.1414184570312,834.1861572265625,524.1414184570312,False,True,-0.21393577397071514,-0.5327954093095992,0.11357845326563829,False,,False,caught
8,1785926246.7639978,0.49020159989595413,0.06124929990619421,16.32671722830368,False,,,,,False,False,False,,3.811645984649658,5.102029800415039,7.918458938598633,5.000608444213867,,,4.108065128326416,True,0.9135007858276367,1.0,0.0,1.0,1.0,0.0,841.5701904296875,524.0637817382812,841.5701904296875,524.0637817382812,False,True,-0.2111645302017259,-0.5348490031772605,0.1135452361560829,False,,False,caught
9,1785926246.8257744,0.5519760996103287,0.06177449971437454,16.18790932542844,False,,,,,False,False,False,,3.9116458892822266,5.097167015075684,8.016386985778809,5.001133918762207,,,4.105864524841309,True,1.0502999648451805,1.0,0.0,1.0,1.0,0.0,851.5980224609375,524.1188354492188,851.5980224609375,524.1188354492188,False,True,-0.2074437059197311,-0.5377042643707436,0.11352501912644178,False,,False,caught
10,1785926246.8866742,0.6128453994169831,0.06086929980665445,16.428643062699997,False,,,,,False,False,False,,4.011645793914795,5.130613803863525,8.106914520263672,5.00106143951416,,,4.097317695617676,True,0.873900018632412,1.0,-0.5,1.1180340051651,1.0,0.0,857.6248168945312,510.0508728027344,857.6248168945312,510.0508728027344,False,True,-0.20398469807807557,-0.5403224669446749,0.11358585438633492,False,,False,caught
11,1785926246.9482758,0.674282799474895,0.06143740005791187,16.276730445256213,False,,,,,False,False,False,,4.111645698547363,5.030613899230957,8.181929588317871,5.000849723815918,,,4.070392608642578,True,0.955299474298954,1.0,0.5,1.1180340051651,1.0,-0.5,865.306396484375,538.1494140625,865.306396484375,538.1494140625,False,True,-0.20111184786683883,-0.5424872176158406,0.11353497209842348,False,,False,caught
12,1785926247.0101333,0.7363157998770475,0.06203300040215254,16.120451912967603,False,,,,,False,False,False,,4.211645603179932,4.942928314208984,8.267447471618652,4.966011047363281,,,4.055867671966553,True,1.0361997410655022,1.0,0.5,1.1180340051651,1.0,0.5,874.0634155273438,534.4983520507812,874.0634155273438,534.4983520507812,False,True,-0.19680368974209436,-0.5435017894979897,0.11349248756431404,False,,False,caught
