step,t_wall_s,t_task_s,control_dt_s,control_loop_hz_inst,vision_frame_available,vision_frame_id,vision_age_s,camera_dt_s,camera_hz_inst,hand_detected,microrobot_detected,dead_reckoning_used,dead_reckoning_age_s,hand_x_cm,hand_y_cm,robot_x_cm,robot_y_cm,microrobot_x_cm,microrobot_y_cm,distance_cm,in_zpd,policy_inference_ms,action_x,action_y,action_norm,last_action_x,last_action_y,virtual_target_x_px,virtual_target_y_px,desired_target_x_px,desired_target_y_px,target_clipped,target_step_limited,robot_world_x,robot_world_y,robot_world_z,safety_stop,safety_reason,task_finished,done_reason
0,1785927856.0410354,2.998858690261841e-07,,,False,,,,,False,False,False,,3.012423038482666,4.666370868682861,7.50031852722168,5.0000200271606445,,,4.500280857086182,True,2.8651999309659004,0.2706072926521301,-0.41066357493400574,0.4918057322502136,0.0,0.0,784.6587524414062,498.1795959472656,784.6587524414062,498.1795959472656,False,False,-0.2270658860486804,-0.5227536027712694,0.11398842511458775,False,,False,timeout
1,1785927856.0898576,0.05015769973397255,0.05015739984810352,19.93723763648826,False,,,,,False,False,False,,3.1124229431152344,4.765946865081787,7.512565612792969,4.978634834289551,,,4.405280113220215,True,1.8055997788906097,-0.19071704149246216,-0.9522631764411926,0.9711735844612122,0.2706072926521301,-0.41066357493400574,757.5690307617188,461.88262939453125,757.5690307617188,461.88262939453125,False,False,-0.2259708215436712,-0.5222061150399083,0.11405890237526417,False,,False,timeout
2,1785927856.152641,0.11203119996935129,0.06187350023537874,16.162007906386528,False,,,,,False,False,False,,3.2124228477478027,4.8659467697143555,7.5443806648254395,4.829441070556641,,,4.332111835479736,True,1.886400394141674,-0.10017525404691696,-1.0,1.0050050020217896,-0.19071704149246216,-0.9522631764411926,766.4204711914062,443.55853271484375,766.4204711914062,443.55853271484375,False,True,-0.22035975657570211,-0.516832538362597,0.1140653307017185,False,,False,timeout
3,1785927856.2141206,0.17403090000152588,0.06199970003217459,16.129110293776463,False,,,,,False,False,False,,3.312422752380371,4.907230854034424,7.472744464874268,4.600797653198242,,,4.171591758728027,True,1.8755001947283745,-0.01827823370695114,-1.0,1.0001670122146606,-0.10017525404691696,-1.0,764.086181640625,419.2940979003906,764.086181640625,419.2940979003906,False,True,-0.2163277698751355,-0.5050934704462412,0.1138596608897254,False,,False,timeout
4,1785927856.2767227,0.23710940033197403,0.06307850033044815,15.853262121980054,False,,,,,False,False,False,,3.4124226570129395,4.996431350708008,7.451710224151611,4.438100814819336,,,4.07769250869751,True,1.8295999616384506,0.01438332349061966,-1.0,1.0001033544540405,-0.01827823370695114,-1.0,763.9387817382812,402.2394714355469,763.9387817382812,402.2394714355469,False,True,-0.21230537788325857,-0.49757933778125135,0.11392725106866267,False,,False,timeout
5,1785927856.3373191,0.2980925003066659,0.06098309997469187,16.397985678245323,False,,,,,False,False,False,,3.512422561645508,4.971458435058594,7.460906505584717,4.249777793884277,,,4.013894557952881,True,1.6069002449512482,0.0802266076207161,-1.0,1.0032130479812622,0.01438332349061966,-1.0,768.91015625,382.6980895996094,768.91015625,382.6980895996094,False,True,-0.206350176718744,-0.48982432480571203,0.11385884434838528,False,,False,timeout
6,1785927856.3995993,0.35952970013022423,0.06143719982355833,16.276783493907647,False,,,,,False,False,False,,3.612422466278076,4.986509799957275,7.46126651763916,4.081090927124023,,,3.9539074897766113,True,1.7355000600218773,0.10806215554475784,-1.0,1.005821704864502,0.0802266076207161,-1.0,770.6346435546875,365.18231201171875,770.6346435546875,365.18231201171875,False,True,-0.20130130565184645,-0.4826280431945726,0.11385507498378117,False,,False,timeout
7,1785927856.4615068,0.42193050030618906,0.06240080017596483,16.025435526148495,False,,,,,False,False,False,,3.7124223709106445,4.891916751861572,7.470099925994873,3.893130302429199,,,3.888150691986084,True,1.6470998525619507,0.16907617449760437,-1.0,1.0141927003860474,0.10806215554475784,-1.0,775.180908203125,346.0,775.180908203125,346.0,False,True,-0.19533307195461413,-0.47482775930132876,0.11388466061986033,False,,False,timeout
8,1785927856.5227103,0.48310079984366894,0.06117029953747988,16.347802897177026,False,,,,,False,False,False,,3.812422275543213,4.9160542488098145,7.494418144226074,3.7085702419281006,,,3.8749337196350098,True,1.7943000420928001,0.18000006675720215,-1.0,1.01607084274292,0.16907617449760437,-1.0,778.3126831054688,326.772705078125,778.3126831054688,326.772705078125,False,True,-0.18884915249551282,-0.4675948807250049,0.11393381781434406,False,,False,timeout
9,1785927856.5838578,0.5442928001284599,0.06119200028479099,16.342005414857237,False,,,,,False,False,False,,3.9124221801757812,4.839794635772705,7.521975994110107,3.549410581588745,,,3.8332715034484863,True,1.6948999837040901,0.22867289185523987,-1.0,1.0258125066757202,0.18000006675720215,-1.0,783.9464721679688,310.68048095703125,783.9464721679688,310.68048095703125,False,True,-0.1829846125404496,-0.4615276778546729,0.11388686609386547,False,,False,timeout
10,1785927856.646474,0.6063644997775555,0.062071699649095535,16.110401449504554,False,,,,,False,False,False,,4.01242208480835,4.792111873626709,7.557034969329834,3.363243818283081,,,3.821772336959839,True,1.7719995230436325,0.2568293809890747,-1.0,1.032454013824463,0.22867289185523987,-1.0,789.1239624023438,291.56451416015625,789.1239624023438,291.56451416015625,False,True,-0.17599248896297476,-0.45448905185319044,0.11386319812484258,False,,False,timeout
11,1785927856.7078106,0.6681666001677513,0.06180210039019585,16.18067984237374,False,,,,,False,False,False,,4.112421989440918,4.692111968994141,7.596625804901123,3.178882598876953,,,3.7986233234405518,True,1.7269998788833618,0.2857591509819031,-1.0,1.0400279760360718,0.2568293809890747,-1.0,794.7757568359375,272.6869812011719,794.7757568359375,272.6869812011719,False,True,-0.1688537377884852,-0.4476346770953275,0.11384865912847356,False,,False,timeout
12,1785927856.7694676,0.7298905998468399,0.06172399967908859,16.20115360636276,False,,,,,False,False,False,,4.212421894073486,4.592112064361572,7.6437788009643555,3.0004191398620605,,,3.7825515270233154,True,1.6816994175314903,0.3130108118057251,-0.9349972009658813,0.9859997630119324,0.2857591509819031,-1.0,801.954345703125,255.6512908935547,801.954345703125,255.6512908935547,False,False,-0.1615743915726978,-0.4412317219050953,0.11384145384301751,False,,False,timeout
13,1785927856.8305392,0.7909610001370311,0.061070400290191174,16.374544709847186,False,,,,,False,False,False,,4.312421798706055,4.492112159729004,7.6893439292907715,2.8388924598693848,,,3.759885311126709,True,1.700899563729763,0.34799468517303467,-0.8631404638290405,0.9306512475013733,0.3130108118057251,-0.9349972009658813,808.7696533203125,243.2416534423828,808.7696533203125,243.2416534423828,False,False,-0.15485041202884445,-0.4355003144065711,0.11384664052341542,False,,False,timeout
14,1785927856.8914394,0.8518277006223798,0.0608667004853487,16.42934465029382,False,,,,,False,False,False,,4.412421703338623,4.542112350463867,7.746875286102295,2.659621238708496,,,3.8291451930999756,True,1.5925001353025436,0.3937109708786011,-0.7155600786209106,0.8167218565940857,0.34799468517303467,-0.8631404638290405,817.4696655273438,233.73388671875,817.4696655273438,233.73388671875,False,False,-0.14708902889375364,-0.4293193031140458,0.1138398280083434,False,,False,timeout
15,1785927856.9528139,0.9132414003834128,0.06141369976103306,16.283011834348063,False,,,,,False,False,False,,4.512421607971191,4.442112445831299,7.811160564422607,2.5000510215759277,,,3.82796049118042,True,1.753699965775013,0.4206840395927429,-0.6481508612632751,0.7727060317993164,0.3937109708786011,-0.7155600786209106,825.7096557617188,221.2496337890625,825.7096557617188,221.2496337890625,False,False,-0.13964250880422802,-0.42417823516327313,0.11388927714866337,False,,False,timeout
16,1785927857.014799,0.975203599780798,0.06196219939738512,16.13887192071173,False,,,,,False,False,False,,4.61242151260376,4.368068218231201,7.8758544921875,2.3837931156158447,,,3.819337844848633,True,1.8293997272849083,0.4430287778377533,-0.5709794759750366,0.7226977944374084,0.4206840395927429,-0.6481508612632751,833.7072143554688,213.9183349609375,833.7072143554688,213.9183349609375,False,False,-0.13349807830203198,-0.42094100386629923,0.11389325735586416,False,,False,timeout
17,1785927857.0756829,1.036446500569582,0.06124290078878403,16.32842316612049,False,,,,,False,False,False,,4.712421417236328,4.268068313598633,7.956307888031006,2.2623860836029053,,,3.813864231109619,True,1.6246996819972992,0.4789571464061737,-0.4972534775733948,0.6904063820838928,0.4430287778377533,-0.5709794759750366,844.1530151367188,205.8307647705078,844.1530151367188,205.8307647705078,False,False,-0.12655526993601254,-0.41792664067933727,0.11392839900707766,False,,False,timeout
18,1785927857.140902,1.0997310001403093,0.06328449957072735,15.80165770106771,False,,,,,False,False,False,,4.8124213218688965,4.1680684089660645,8.035880088806152,2.1546835899353027,,,3.80057954788208,True,2.0847003906965256,0.5129761099815369,-0.43294209241867065,0.6712550520896912,0.4789571464061737,-0.4972534775733948,854.3914184570312,198.58743286132812,854.3914184570312,198.58743286132812,False,False,-0.12005507407897109,-0.4154842368463923,0.1139477021323632,False,,False,timeout
19,1785927857.2008743,1.1612403998151422,0.06150939967483282,16.25767777423391,False,,,,,False,False,False,,4.912421226501465,4.068068504333496,8.127572059631348,2.062713861465454,,,3.7892799377441406,True,1.6250004991889,0.5418297648429871,-0.3771621882915497,0.6601748466491699,0.5129761099815369,-0.43294209241867065,865.5534057617188,192.45645141601562,865.5534057617188,192.45645141601562,False,False,-0.11355027228223874,-0.4140862104754544,0.11392712789157267,False,,False,timeout
20,1785927857.2617717,1.2220376003533602,0.06079720053821802,16.448125754924934,False,,,,,False,False,False,,5.012421131134033,3.9680685997009277,8.21236801147461,1.9911750555038452,,,3.7613518238067627,True,1.7245002090930939,0.5683231353759766,-0.3407697081565857,0.6626576781272888,0.5418297648429871,-0.3771621882915497,875.8642578125,187.24754333496094,875.8642578125,187.24754333496094,False,False,-0.10794471156276934,-0.41338985494943087,0.1139654557337895,False,,False,timeout
21,1785927857.3241832,1.2840315997600555,0.061993999406695366,16.130593437596474,False,,,,,False,False,False,,5.112421035766602,3.8813424110412598,8.314672470092773,1.91884446144104,,,3.755770683288574,True,1.740800216794014,0.592735230922699,-0.3001372814178467,0.6643925309181213,0.5683231353759766,-0.3407697081565857,887.840087890625,182.22227478027344,887.840087890625,182.22227478027344,False,False,-0.10160678291847437,-0.4131687490045108,0.11397520058253885,False,,False,timeout
