robot,generation,learned_hand_mean_tis,learned_hand_worst_tis,learned_hand_cvar20_tis,scripted_tis
R1,1,0.20062000000000002,0.14160000000000003,0.15480000000000002,0.32420000000000004
R2,2,0.18784,0.15200000000000002,0.1523,0.33640000000000003
R3,3,0.20722000000000002,0.1372,0.1466,0.28
R4,4,0.21636000000000005,0.1408,0.14800000000000002,0.27880000000000005
R5,5,0.21884,0.14600000000000002,0.16230000000000003,0.31120000000000003
R6,6,0.2452,0.1512,0.15599999999999997,0.3036
R7,7,0.24087999999999998,0.17720000000000002,0.17760000000000004,0.32280000000000003
R8,8,0.25007999999999997,0.17220000000000002,0.1748,0.3044
R9,9,0.24375999999999998,0.18200000000000002,0.19090000000000001,0.3858
R10,10,0.25934,0.1486,0.17440000000000003,0.33399999999999996
