rank_input_order,horizon,velocity_window,action_grid,discount,boundary_guard,effort_weight,smoothness_weight,collision_penalty,oob_penalty,score_mean_tiz,score_min_tiz,scripted_tiz_mean,scripted_tiz_std,scripted_episode_length_mean,scripted_episode_length_std,scripted_catch_rate,scripted_too_close_rate,scripted_too_far_rate,scripted_avg_distance_mean,h1_tiz_mean,h1_tiz_std,h1_episode_length_mean,h1_episode_length_std,h1_catch_rate,h1_too_close_rate,h1_too_far_rate,h1_avg_distance_mean
1,3,2,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.0,40.0,80.0,0.19716666666666668,0.13796666666666668,0.13796666666666668,0.003000555504124744,22.626666666666665,0.49369356217529725,1.0,0.3287664520660094,0.07045702328732772,3.9927249229165938,0.2563666666666667,0.01054055659504435,39.73,1.2278029157808668,0.9,0.34490154466135525,0.05586459094012868,3.921606573421128
2,3,2,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.0,80.0,80.0,0.20328333333333337,0.13926666666666668,0.13926666666666668,0.0017156145643276958,23.203333333333333,0.2891942830232532,1.0,0.34195028384056486,0.06861947053742841,3.9662663154193485,0.26730000000000004,0.009853425800197577,42.24666666666667,1.6082392027721917,0.8866666666666667,0.35509210198824964,0.054705153392654145,3.9010539879819377
3,3,2,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.05,40.0,80.0,0.19765,0.13996666666666668,0.13996666666666668,0.003007213549672404,22.666666666666668,0.5314445722117529,1.0,0.3269366222471063,0.071734726651907,3.9999397904690213,0.2553333333333333,0.008775154319630678,39.373333333333335,2.058308366920109,0.9033333333333333,0.34610840719506447,0.05422225714586137,3.9095622621899424
4,3,2,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.05,80.0,80.0,0.20183333333333336,0.14123333333333335,0.14123333333333335,0.002417298767908784,23.25666666666667,0.4015387071420794,1.0,0.34079639274315093,0.06979518727866739,3.9729270357532065,0.26243333333333335,0.0031533051443419302,41.35,1.2156891049935423,0.8866666666666667,0.3599733641290503,0.05377104467311294,3.8920106407743957
5,3,2,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.0,40.0,80.0,0.19456666666666667,0.14266666666666666,0.14266666666666666,0.0055536774603260385,23.28333333333333,1.010461940566458,0.9899999999999999,0.3263240469590695,0.07505957756370303,4.027437694777974,0.24646666666666664,0.015223118384001784,39.23,1.1212047092302113,0.89,0.3518736749081564,0.05928036146222804,3.919609914114217
6,3,2,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.0,80.0,80.0,0.20003333333333334,0.1433,0.1433,0.005702630971753298,23.77,1.1274307074051162,0.9899999999999999,0.33898020938414913,0.073071066995969,4.0034507019407215,0.25676666666666664,0.01367491620937154,41.88333333333333,0.31069813860615847,0.8866666666666667,0.36650204794206437,0.05718604934790189,3.891863343870566
7,3,2,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.05,40.0,80.0,0.2015,0.14456666666666665,0.14456666666666665,0.0024006943440041256,23.77,0.5311308689955803,0.98,0.33134262386083985,0.07384959354998615,4.01300347514526,0.25843333333333335,0.009862217465323559,40.11666666666667,1.0428966072115367,0.8733333333333334,0.34795879719781714,0.05534660629006825,3.9120202681390364
8,3,2,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.05,80.0,80.0,0.2090333333333333,0.14493333333333333,0.14493333333333333,0.0025166114784235874,24.179999999999996,0.5597320787662613,0.98,0.34411632169852663,0.07231557322011783,3.9902009670269503,0.2731333333333333,0.006703978918025733,43.38666666666666,1.0206043960973976,0.8466666666666667,0.3659687127856132,0.0526298622516706,3.874189059083625
9,3,4,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.0,40.0,80.0,0.1959333333333333,0.14326666666666665,0.14326666666666665,0.007518200139217731,23.383333333333336,1.115407249991381,0.9966666666666667,0.3281194078456657,0.07141580775287952,3.9947514001585716,0.24859999999999996,0.019050459312048098,38.96666666666667,2.0419680049729827,0.9066666666666667,0.34463913105783145,0.05793591513978567,3.933467304749545
10,3,4,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.0,80.0,80.0,0.20056666666666667,0.14370000000000002,0.14370000000000002,0.007351190379795629,23.833333333333332,1.0623715608643385,0.9966666666666667,0.34145928145513343,0.0699011530516476,3.970358413138662,0.25743333333333335,0.015646511858345074,40.873333333333335,1.4629194555180869,0.8833333333333333,0.3591677614869857,0.05536383833500849,3.905795375204756
11,3,4,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.05,40.0,80.0,0.19583333333333336,0.1416666666666667,0.1416666666666667,0.004214656965084266,23.37,0.29206163733020396,1.0,0.3328302243041685,0.07289062285327898,3.9908608688060454,0.25,0.014144610280951533,39.663333333333334,1.413022764619642,0.9033333333333333,0.3549980377546063,0.056092311370992465,3.908278988963577
12,3,4,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.0,0.05,80.0,80.0,0.1996166666666667,0.14196666666666669,0.14196666666666669,0.0042594991880892845,23.8,0.3758989225842501,1.0,0.34616533488456364,0.07122348943876357,3.965475760285758,0.2572666666666667,0.006652317891782775,41.70666666666667,0.3181718613160676,0.9033333333333333,0.36946129078764484,0.05381043532642105,3.8800646339058082
13,3,4,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.0,40.0,80.0,0.20123333333333332,0.14703333333333332,0.14703333333333332,0.005244362052083497,23.959999999999997,0.5483611948342076,0.9933333333333333,0.3277145338629874,0.07463830710796204,4.019836343239714,0.25543333333333335,0.01564299630292528,41.64333333333334,2.2684429314693664,0.8633333333333333,0.36055218614599527,0.05582221347175914,3.8972420580565044
14,3,4,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.0,80.0,80.0,0.20395,0.1471,0.1471,0.006022457969965425,24.323333333333334,0.8632689808705826,0.9899999999999999,0.34032494847252975,0.07317721802795472,3.9946055168765398,0.2608,0.018167828709011957,43.06999999999999,2.6374040266898837,0.8766666666666666,0.3756015370787893,0.05399140705108704,3.8719174542774404
15,3,4,"-1.0,-0.5,0.0,0.5,1.0",0.95,0.2,0.02,0.05,40.0,80.0,0.20255,0.14923333333333333,0.14923333333333333,0.005351946686331383,24.56,0.7617742447733448,0.9833333333333334,0.3316029771367665,0.07326506524786477,4.0085579054948814,0.2558666666666667,0.004923751956926092,40.57333333333333,0.9183862658671113,0.87,0.35398839261105824,0.05583909426267924,3.9045331286828238
