robot,generation,learned_hand_mean_tis,learned_hand_worst_tis,learned_hand_cvar20_tis,scripted_tis
R1,1,0.18753999999999998,0.1384,0.1415,0.31140000000000007
R2,2,0.19241999999999998,0.1434,0.14500000000000002,0.2746
R3,3,0.20632,0.1548,0.15539999999999998,0.24700000000000003
R4,4,0.2246,0.16399999999999998,0.16499999999999998,0.27680000000000005
R5,5,0.23035999999999998,0.1508,0.1622,0.2618
R6,6,0.23496,0.1748,0.1764,0.3326
R7,7,0.23348,0.15,0.1644,0.2538
R8,8,0.2374,0.15460000000000002,0.1623,0.3146
R9,9,0.23264,0.17480000000000004,0.1843,0.3681999999999999
R10,10,0.28192,0.20380000000000004,0.20550000000000002,0.31679999999999997
