iteration,timesteps,total_timesteps,recent_tis_mean,recent_zpd_coverage_mean,recent_episode_length_mean,recent_too_close_rate_mean,recent_too_far_rate_mean
1,5010000,5000000,0.28605,0.5475392072928745,46.665,0.3777285491517175,0.07473224355540846
2,2010000,2000000,0.37525000000000014,0.6205004072180313,53.28,0.3094654897693468,0.0700341030126215
3,2010000,2000000,0.26975000000000005,0.5643946941314706,41.61,0.34105777898414547,0.0945475268843838
4,2010000,2000000,0.22860000000000003,0.5875328950308045,35.275,0.3008082074776807,0.11165889749151449
5,2010000,2000000,0.21475000000000008,0.5511896654896641,35.64,0.3450438123825685,0.10376652212776713
6,2010000,2000000,0.24855000000000016,0.588223146196778,39.475,0.3342329630358303,0.07754389076739183
7,2010000,2000000,0.29009999999999986,0.576872661576594,45.59,0.337373271841824,0.08575406658158212
8,2010000,2000000,0.24044999999999997,0.5656036651107308,38.775,0.3328845580239571,0.10151177686531203
9,2010000,2000000,0.23590000000000003,0.5678000118103982,38.26,0.33237354345500647,0.09982644473459532
10,2010000,2000000,0.24739999999999995,0.5930030775037026,38.93,0.3143509385380272,0.09264598395827017
