iteration,timesteps,iteration_progress,opponent_index,opponent,probability,pool_size,uniform_probability
2,10000,0.005,0,Scr,0.2,2,0.5
2,10000,0.005,1,H1,0.8,2,0.5
2,20000,0.01,0,Scr,0.2,2,0.5
2,20000,0.01,1,H1,0.8,2,0.5
2,30000,0.015,0,Scr,0.2,2,0.5
2,30000,0.015,1,H1,0.8,2,0.5
2,40000,0.02,0,Scr,0.2,2,0.5
2,40000,0.02,1,H1,0.8,2,0.5
2,50000,0.025,0,Scr,0.2,2,0.5
2,50000,0.025,1,H1,0.8,2,0.5
2,60000,0.03,0,Scr,0.2,2,0.5
2,60000,0.03,1,H1,0.8,2,0.5
2,70000,0.035,0,Scr,0.2,2,0.5
2,70000,0.035,1,H1,0.8,2,0.5
2,80000,0.04,0,Scr,0.2,2,0.5
2,80000,0.04,1,H1,0.8,2,0.5
2,90000,0.045,0,Scr,0.2,2,0.5
2,90000,0.045,1,H1,0.8,2,0.5
2,100000,0.05,0,Scr,0.2,2,0.5
2,100000,0.05,1,H1,0.8,2,0.5
2,110000,0.055,0,Scr,0.2,2,0.5
2,110000,0.055,1,H1,0.8,2,0.5
2,120000,0.06,0,Scr,0.2,2,0.5
2,120000,0.06,1,H1,0.8,2,0.5
2,130000,0.065,0,Scr,0.2,2,0.5
2,130000,0.065,1,H1,0.8,2,0.5
2,140000,0.07,0,Scr,0.2,2,0.5
2,140000,0.07,1,H1,0.8,2,0.5
2,150000,0.075,0,Scr,0.2,2,0.5
2,150000,0.075,1,H1,0.8,2,0.5
2,160000,0.08,0,Scr,0.2,2,0.5
2,160000,0.08,1,H1,0.8,2,0.5
2,170000,0.085,0,Scr,0.2,2,0.5
2,170000,0.085,1,H1,0.8,2,0.5
2,180000,0.09,0,Scr,0.2,2,0.5
2,180000,0.09,1,H1,0.8,2,0.5
2,190000,0.095,0,Scr,0.2,2,0.5
2,190000,0.095,1,H1,0.8,2,0.5
2,200000,0.1,0,Scr,0.2,2,0.5
2,200000,0.1,1,H1,0.8,2,0.5
2,210000,0.105,0,Scr,0.2,2,0.5
2,210000,0.105,1,H1,0.8,2,0.5
2,220000,0.11,0,Scr,0.2,2,0.5
2,220000,0.11,1,H1,0.8,2,0.5
2,230000,0.115,0,Scr,0.2,2,0.5
2,230000,0.115,1,H1,0.8,2,0.5
2,240000,0.12,0,Scr,0.2,2,0.5
2,240000,0.12,1,H1,0.8,2,0.5
2,250000,0.125,0,Scr,0.2,2,0.5
2,250000,0.125,1,H1,0.8,2,0.5
2,260000,0.13,0,Scr,0.2,2,0.5
2,260000,0.13,1,H1,0.8,2,0.5
2,270000,0.135,0,Scr,0.2,2,0.5
2,270000,0.135,1,H1,0.8,2,0.5
2,280000,0.14,0,Scr,0.2,2,0.5
2,280000,0.14,1,H1,0.8,2,0.5
2,290000,0.145,0,Scr,0.2,2,0.5
2,290000,0.145,1,H1,0.8,2,0.5
2,300000,0.15,0,Scr,0.2,2,0.5
2,300000,0.15,1,H1,0.8,2,0.5
2,310000,0.155,0,Scr,0.2,2,0.5
2,310000,0.155,1,H1,0.8,2,0.5
2,320000,0.16,0,Scr,0.2,2,0.5
2,320000,0.16,1,H1,0.8,2,0.5
2,330000,0.165,0,Scr,0.2,2,0.5
2,330000,0.165,1,H1,0.8,2,0.5
2,340000,0.17,0,Scr,0.2,2,0.5
2,340000,0.17,1,H1,0.8,2,0.5
2,350000,0.175,0,Scr,0.2,2,0.5
2,350000,0.175,1,H1,0.8,2,0.5
2,360000,0.18,0,Scr,0.2,2,0.5
2,360000,0.18,1,H1,0.8,2,0.5
2,370000,0.185,0,Scr,0.2,2,0.5
2,370000,0.185,1,H1,0.8,2,0.5
2,380000,0.19,0,Scr,0.2,2,0.5
2,380000,0.19,1,H1,0.8,2,0.5
2,390000,0.195,0,Scr,0.2,2,0.5
2,390000,0.195,1,H1,0.8,2,0.5
2,400000,0.2,0,Scr,0.2,2,0.5
2,400000,0.2,1,H1,0.8,2,0.5
2,410000,0.205,0,Scr,0.2,2,0.5
2,410000,0.205,1,H1,0.8,2,0.5
2,420000,0.21,0,Scr,0.2,2,0.5
2,420000,0.21,1,H1,0.8,2,0.5
2,430000,0.215,0,Scr,0.2,2,0.5
