时间,1-1路电阻,1-2路电阻,1-3路电阻,1-4路电阻,1-5路电阻,1-6路电阻,1-7路电阻,1-8路电阻,
2025-07-07 21:32:59 133,1652.922,146.262,201.242,1633.932,-,-,-,-,
2025-07-07 21:32:59 226,1652.922,146.262,201.242,1640.901,-,-,-,-,
2025-07-07 21:32:59 306,1652.922,146.262,201.242,1640.901,-,-,-,-,
2025-07-07 21:32:59 382,1652.922,146.262,201.242,1640.901,-,-,-,-,
2025-07-07 21:32:59 461,1652.922,146.262,201.242,1640.901,-,-,-,-,
2025-07-07 21:32:59 542,1652.922,146.262,201.242,1640.901,-,-,-,-,
2025-07-07 21:32:59 637,1652.922,146.262,201.242,1640.901,-,-,-,-,
2025-07-07 21:32:59 728,1652.922,146.262,201.242,1640.901,-,-,-,-,
2025-07-07 21:32:59 807,1652.922,146.262,201.242,1640.901,-,-,-,-,
2025-07-07 21:32:59 902,1652.922,146.262,201.242,1640.901,-,-,-,-,
2025-07-07 21:32:59 995,1652.922,146.262,201.242,1640.901,-,-,-,-,
2025-07-07 21:33:00 072,1652.922,146.262,201.242,1640.901,-,-,-,-,
2025-07-07 21:33:00 154,1652.922,146.262,201.242,1640.901,-,-,-,-,
2025-07-07 21:33:00 244,1654.109,146.262,201.242,1640.901,-,-,-,-,
2025-07-07 21:33:00 324,1654.109,166.303,201.242,1640.901,-,-,-,-,
2025-07-07 21:33:00 403,1654.109,166.303,241.429,1640.901,-,-,-,-,
2025-07-07 21:33:00 482,1654.109,166.303,241.429,2025.983,-,-,-,-,
2025-07-07 21:33:00 560,1654.109,166.303,241.429,2025.983,-,-,-,-,
2025-07-07 21:33:00 638,1654.109,166.303,241.429,2025.983,-,-,-,-,
2025-07-07 21:33:00 719,1654.109,166.303,241.429,2025.983,-,-,-,-,
2025-07-07 21:33:00 811,1654.109,166.303,241.429,2025.983,-,-,-,-,
2025-07-07 21:33:00 890,1654.109,166.303,241.429,2025.983,-,-,-,-,
2025-07-07 21:33:00 967,1654.109,166.303,241.429,2025.983,-,-,-,-,
2025-07-07 21:33:01 046,1654.109,166.303,241.429,2025.983,-,-,-,-,
2025-07-07 21:33:01 124,1654.109,166.303,241.429,2025.983,-,-,-,-,
2025-07-07 21:33:01 204,1654.109,166.303,241.429,2025.983,-,-,-,-,
2025-07-07 21:33:01 281,1654.109,166.303,241.429,2025.983,-,-,-,-,
2025-07-07 21:33:01 360,1654.109,166.303,241.429,2025.983,-,-,-,-,
