epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.89745,1.32224,7.27004,0.91096,0.03538,0.1,0.01257,0.00922,1.01949,6.53463,0.86718,2e-05,2e-05,2e-05
2,17.6005,1.23078,5.57276,0.91273,0.65534,0.6,0.55438,0.42485,0.86769,3.82223,0.8067,5.9406e-05,5.9406e-05,5.9406e-05
3,25.1352,1.01197,3.5643,0.86759,0.96998,0.3,0.40273,0.26926,0.90706,4.09801,0.80975,9.802e-05,9.802e-05,9.802e-05
4,32.1751,1.00915,3.22371,0.85321,0.49876,0.5,0.49854,0.35397,1.00032,3.64511,0.82149,0.000135842,0.000135842,0.000135842
5,39.0881,0.96522,2.36364,0.84656,0.21659,0.58118,0.16476,0.11236,1.00726,4.1418,0.84323,0.000172872,0.000172872,0.000172872
6,46.0545,0.80964,1.85557,0.82826,0.19758,0.5,0.1341,0.09543,1.13827,9.7649,0.87749,0.00020911,0.00020911,0.00020911
7,53.0551,0.88734,1.63659,0.86226,0.04977,0.4,0.03236,0.02246,1.15567,13.6368,0.88027,0.000244556,0.000244556,0.000244556
8,60.0595,0.87167,1.63108,0.82768,0.11354,0.6,0.1018,0.06898,1.03128,15.0933,0.84052,0.00027921,0.00027921,0.00027921
9,66.9202,0.82098,1.69208,0.8127,0.05514,0.5,0.04049,0.02812,1.12457,20.3504,0.8709,0.000313072,0.000313072,0.000313072
10,73.7871,0.85933,1.30243,0.82565,0.02682,0.3,0.01844,0.0134,1.09936,23.0472,0.8707,0.000346142,0.000346142,0.000346142
11,80.6669,0.94721,1.00787,0.8352,0.02982,0.7,0.02514,0.01783,0.99454,25.463,0.8509,0.00037842,0.00037842,0.00037842
12,87.543,0.91799,1.22428,0.86056,0.0202,0.6,0.01848,0.01346,1.02995,27.3028,0.86052,0.000409906,0.000409906,0.000409906
13,94.4835,0.91834,1.1547,0.82958,0.02149,0.7,0.02035,0.01374,1.11828,26.8258,0.88245,0.0004406,0.0004406,0.0004406
14,101.346,0.86893,0.92538,0.80868,0.02581,0.7,0.02374,0.01627,0.99548,23.3419,0.8598,0.000470502,0.000470502,0.000470502
15,108.118,0.9157,0.91326,0.89093,0.03393,0.7,0.03051,0.02001,1.00202,17.558,0.84795,0.000499612,0.000499612,0.000499612
16,114.967,1.00055,0.91059,0.84706,0.03103,0.7,0.02904,0.01655,1.13087,10.7503,0.90303,0.00052793,0.00052793,0.00052793
17,121.97,1.15526,0.89088,0.88748,0.01679,0.3,0.0135,0.0081,1.1927,8.81341,0.92238,0.000555456,0.000555456,0.000555456
18,128.822,1.13481,1.05553,0.8214,0.0182,0.2,0.00815,0.00506,1.29074,10.0193,0.93886,0.00058219,0.00058219,0.00058219
19,135.72,1.07659,1.0464,0.89277,0.00695,0.1,0.00552,0.00358,1.21635,11.5216,0.93717,0.000608132,0.000608132,0.000608132
20,142.552,1.09397,0.98708,0.89156,0.01427,0.3,0.01008,0.00671,1.07177,18.4348,0.8945,0.000633282,0.000633282,0.000633282
21,149.578,1.10595,1.01724,0.84695,0.04619,0.5,0.04126,0.02994,0.9772,19.3904,0.8449,0.00065764,0.00065764,0.00065764
22,156.558,1.05612,0.93531,0.85647,0.0585,0.6,0.05143,0.03627,0.94245,18.0687,0.84337,0.000681206,0.000681206,0.000681206
23,163.454,0.94696,1.00515,0.85999,0.01802,0.6,0.01728,0.01167,1.07022,30.4928,0.91597,0.00070398,0.00070398,0.00070398
24,170.309,0.98742,1.24077,0.86204,0.01953,0.7,0.019,0.01185,1.14949,21.7661,0.95081,0.000725962,0.000725962,0.000725962
25,177.357,1.04518,0.82862,0.86929,0.06429,0.7,0.05561,0.03178,1.25452,13.5617,0.99038,0.000747152,0.000747152,0.000747152
26,184.345,0.96002,0.71069,0.88673,0.17388,0.5,0.12577,0.08105,1.21469,5.02411,0.92201,0.00076755,0.00076755,0.00076755
27,191.286,1.0769,0.83729,0.83354,0.1524,0.3,0.11139,0.07089,1.10509,7.47046,0.91637,0.000787156,0.000787156,0.000787156
28,198.224,1.05694,0.8186,0.86323,0.1524,0.3,0.11139,0.07089,1.10509,7.47046,0.91637,0.00080597,0.00080597,0.00080597
29,205.161,1.01241,0.77144,0.82583,0.1544,0.6,0.13596,0.10072,1.01932,4.98701,0.86739,0.000823992,0.000823992,0.000823992
30,212.54,1.02567,0.64992,0.83365,0.02258,0.5,0.0179,0.01174,1.20586,15.3682,0.86958,0.000841222,0.000841222,0.000841222
31,219.513,1.16697,0.73999,0.92664,0.02258,0.5,0.0179,0.01174,1.20586,15.3682,0.86958,0.00085766,0.00085766,0.00085766
32,226.672,1.07328,0.64873,0.84423,0.00881,0.6,0.0072,0.00484,1.17491,98.4743,0.8736,0.000873306,0.000873306,0.000873306
33,233.884,0.91211,0.72701,0.87746,0.00812,0.5,0.00681,0.00517,1.09312,135.853,0.86902,0.00088816,0.00088816,0.00088816
34,241.262,0.85254,0.70246,0.87177,0.00812,0.5,0.00681,0.00517,1.09312,135.853,0.86902,0.000902222,0.000902222,0.000902222
35,248.616,0.85585,0.74779,0.83508,0.00514,0.5,0.00423,0.00307,1.04901,193.142,0.90654,0.000915492,0.000915492,0.000915492
36,255.653,0.85358,0.58679,0.84247,0.00448,0.5,0.00272,0.00184,1.09793,258.395,0.90905,0.00092797,0.00092797,0.00092797
37,262.915,0.82977,0.58793,0.81631,0.00448,0.5,0.00272,0.00184,1.09793,258.395,0.90905,0.000939656,0.000939656,0.000939656
38,270.146,0.90146,0.66802,0.85956,0.00624,0.5,0.0039,0.00277,1.19174,208.474,1.0414,0.00095055,0.00095055,0.00095055
39,277.492,0.88845,0.66404,0.82681,0.00827,0.5,0.00495,0.00369,1.38851,82.4138,1.35399,0.000960652,0.000960652,0.000960652
40,284.521,0.87219,0.75133,0.846,0.00827,0.5,0.00495,0.00369,1.38851,82.4138,1.35399,0.000969962,0.000969962,0.000969962
41,291.615,0.86554,0.63681,0.79948,0.0327,0.5,0.01793,0.01299,1.3212,19.04,1.08117,0.00097848,0.00097848,0.00097848
42,299.018,0.91054,0.60628,0.81108,0.05672,0.5,0.03623,0.02944,1.13078,16.3447,0.9422,0.000986206,0.000986206,0.000986206
43,306.126,0.85886,0.65095,0.81846,0.05672,0.5,0.03623,0.02944,1.13078,16.3447,0.9422,0.00099314,0.00099314,0.00099314
