epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.71795,1.25381,7.21916,0.92884,0.03413,0.4,0.02157,0.01759,0.89121,7.01106,0.79046,2e-05,2e-05,2e-05
2,12.5886,1.03557,4.42806,0.88309,0.96905,0.8,0.86167,0.72419,0.58098,3.50454,0.73742,5.9406e-05,5.9406e-05,5.9406e-05
3,17.9945,1.18975,3.21825,0.83024,0.95594,0.6,0.80019,0.69269,0.62279,2.76208,0.73258,9.802e-05,9.802e-05,9.802e-05
4,23.4065,1.20087,3.38251,0.82686,0.98641,1,0.995,0.86844,0.60568,1.86031,0.73272,0.000135842,0.000135842,0.000135842
5,28.7784,0.8285,2.75822,0.8169,0.84014,0.6,0.72556,0.62997,0.65883,3.53484,0.74116,0.000172872,0.000172872,0.000172872
6,34.1686,0.91873,3.03817,0.82422,0.96431,1,0.995,0.74496,0.86491,1.99532,0.76972,0.00020911,0.00020911,0.00020911
7,39.5835,1.1151,1.76822,0.88497,0.96994,0.6,0.84591,0.57118,1.03763,2.54506,0.79544,0.000244556,0.000244556,0.000244556
8,45.0647,1.13201,1.65068,0.88988,0.79326,0.77306,0.78611,0.66843,0.74434,2.20381,0.74955,0.00027921,0.00027921,0.00027921
9,50.4631,1.17924,1.59673,0.86301,0.24025,0.8,0.33179,0.25979,0.90603,2.67537,0.75605,0.000313072,0.000313072,0.000313072
10,55.7998,1.35064,1.91965,0.86453,0.65532,0.76596,0.63,0.44428,1.00416,2.39482,0.76445,0.000346142,0.000346142,0.000346142
11,61.1693,1.20804,1.44171,0.87901,0.89122,0.6,0.82833,0.54897,1.17265,2.48185,0.84622,0.00037842,0.00037842,0.00037842
12,66.5612,1.18491,1.38898,0.81181,0.04267,0.8,0.05117,0.03362,1.26347,4.41801,0.87033,0.000409906,0.000409906,0.000409906
13,71.9383,1.15554,1.07671,0.90664,0.01248,0.6,0.01734,0.01234,1.15703,7.17569,0.82909,0.0004406,0.0004406,0.0004406
14,77.3073,1.36145,1.28041,0.84327,0.03229,0.6,0.03176,0.02255,1.11118,7.68262,0.80126,0.000470502,0.000470502,0.000470502
15,82.6856,1.30895,1.24307,0.91328,0.03157,1,0.03361,0.0262,1.00129,6.31598,0.7844,0.000499612,0.000499612,0.000499612
16,88.1373,1.22392,1.07174,0.87398,0.02371,0.8,0.02909,0.0238,0.95921,6.34871,0.76759,0.00052793,0.00052793,0.00052793
17,93.5718,1.07714,0.95738,0.83613,0.05477,0.6,0.05467,0.0453,0.90193,4.80567,0.77177,0.000555456,0.000555456,0.000555456
18,98.9538,0.96676,0.8914,0.85819,0.01529,0.4,0.01818,0.01432,0.88361,4.70488,0.76907,0.00058219,0.00058219,0.00058219
19,104.29,0.97866,0.81009,0.83694,0.07997,0.8,0.0733,0.05783,0.85191,3.29604,0.76511,0.000608132,0.000608132,0.000608132
20,109.652,0.96101,0.79564,0.83032,0.06629,0.8,0.06531,0.05443,0.94389,4.10904,0.76748,0.000633282,0.000633282,0.000633282
21,115.02,0.8771,0.72941,0.89244,0.18074,0.6,0.21191,0.16864,0.95699,3.70058,0.76928,0.00065764,0.00065764,0.00065764
22,120.453,1.01115,0.85081,0.80936,1,0.99141,0.995,0.79582,0.86137,1.89483,0.77161,0.000681206,0.000681206,0.000681206
