epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.40892,1.58014,6.19403,1.0873,0.00067,0.2,0.00061,0.00048,0.90845,5.6446,0.85763,0,0,0
2,16.5511,1.38223,5.61434,0.97421,0.00133,0.4,0.00136,0.00103,0.85713,4.81908,0.84677,1.9604e-05,1.9604e-05,1.9604e-05
3,24.6228,1.28878,4.10956,1.02643,0.00468,1,0.09694,0.08392,0.71482,3.51607,0.81276,3.8416e-05,3.8416e-05,3.8416e-05
4,32.8531,0.97454,2.54885,0.93838,0.93191,1,0.995,0.84754,0.63379,1.53478,0.78642,5.6436e-05,5.6436e-05,5.6436e-05
5,41.0249,0.77027,1.41467,0.83501,0.9919,1,0.995,0.89943,0.64263,0.74373,0.77903,7.3664e-05,7.3664e-05,7.3664e-05
6,49.2431,0.67371,0.89778,0.86732,0.99039,1,0.995,0.87153,0.66795,0.83491,0.77579,9.01e-05,9.01e-05,9.01e-05
7,57.6494,0.71232,1.03565,0.84825,0.98957,1,0.995,0.86745,0.58003,1.17519,0.77071,0.000105744,0.000105744,0.000105744
8,66.3699,0.68251,1.05581,0.8296,0.9892,1,0.995,0.89943,0.55522,1.85304,0.77113,0.000120596,0.000120596,0.000120596
9,75.4257,0.64857,0.72671,0.85505,0.99031,1,0.995,0.83174,0.65381,1.89792,0.77215,0.000134656,0.000134656,0.000134656
10,85.729,0.60445,0.75558,0.85655,0.99082,1,0.995,0.8604,0.68851,1.77496,0.7738,0.000147924,0.000147924,0.000147924
11,94.5648,0.69887,0.64259,0.80683,0.99043,1,0.995,0.85054,0.68542,1.38406,0.77739,0.0001604,0.0001604,0.0001604
12,103.969,0.62381,0.82706,0.77688,0.98964,1,0.995,0.87007,0.69162,0.75664,0.78124,0.000172084,0.000172084,0.000172084
